Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.949071,0.988923,0.876636,0.988886,"1,136,310","36,043,300"
"Mar 22, 2018",0.959600,1.03,0.906022,0.949045,"1,285,530","36,436,300"
"Mar 21, 2018",0.994107,1.09,0.943159,0.958310,"2,000,560","37,718,600"
"Mar 20, 2018",0.824808,1.06,0.802895,0.994154,"2,698,290","31,288,300"
"Mar 19, 2018",0.801097,0.875182,0.779606,0.817808,"1,736,710","30,382,600"
"Mar 18, 2018",0.763811,0.825939,0.616662,0.798271,"2,210,570","28,963,300"
"Mar 17, 2018",0.857515,0.869519,0.750170,0.750280,"1,184,810","32,503,200"
"Mar 16, 2018",0.887966,0.927056,0.832706,0.857940,"1,100,750","33,640,100"
"Mar 15, 2018",0.953634,0.970360,0.885610,0.889930,"1,192,530","35,840,600"
"Mar 14, 2018",1.13,1.15,0.921942,0.949925,"1,286,990","42,371,200"
"Mar 13, 2018",1.14,1.17,1.09,1.12,"1,170,690","42,807,800"
"Mar 12, 2018",1.20,1.24,1.12,1.15,"1,668,170","45,142,800"
"Mar 11, 2018",1.14,1.27,1.09,1.20,"1,834,560","42,798,400"
"Mar 10, 2018",1.23,1.29,1.11,1.15,"1,803,690","46,158,600"
"Mar 09, 2018",1.23,1.26,1.09,1.23,"2,346,100","46,013,000"
"Mar 08, 2018",1.34,1.39,1.20,1.23,"2,052,830","50,281,700"
"Mar 07, 2018",1.49,1.50,1.26,1.34,"1,950,880","55,900,200"
"Mar 06, 2018",1.60,1.61,1.47,1.49,"1,242,330","60,014,600"
"Mar 05, 2018",1.68,1.68,1.60,1.61,"1,764,770","62,984,200"
"Mar 04, 2018",1.66,1.67,1.59,1.67,"1,865,800","62,094,600"
"Mar 03, 2018",1.67,1.73,1.62,1.66,"1,985,930","62,741,400"
"Mar 02, 2018",1.72,1.75,1.63,1.68,"1,887,250","64,522,200"
"Mar 01, 2018",1.60,1.74,1.58,1.74,"2,056,280","59,756,100"
"Feb 28, 2018",1.76,1.81,1.59,1.59,"2,962,200","66,079,400"
"Feb 27, 2018",1.72,1.82,1.70,1.76,"2,808,720","64,477,500"
"Feb 26, 2018",1.57,1.79,1.48,1.72,"2,518,180","58,819,300"
"Feb 25, 2018",1.60,1.66,1.50,1.57,"2,068,630","59,979,100"
"Feb 24, 2018",1.67,1.72,1.50,1.60,"1,911,860","62,460,400"
"Feb 23, 2018",1.59,1.76,1.49,1.68,"2,673,200","59,378,500"
"Feb 22, 2018",1.81,1.87,1.55,1.56,"2,506,340","67,655,200"
