Date,Open,High,Low,Close,Volume,Market Cap
"Mar 24, 2018",0.105311,0.119176,0.104258,0.109964,"1,001,110","22,863,300"
"Mar 23, 2018",0.107889,0.108003,0.098389,0.103992,"437,086","23,422,900"
"Mar 22, 2018",0.111701,0.115558,0.103716,0.107791,"463,105","24,250,600"
"Mar 21, 2018",0.109994,0.120333,0.109511,0.112148,"509,460","23,875,100"
"Mar 20, 2018",0.110664,0.113944,0.101981,0.109390,"845,776","24,020,600"
"Mar 19, 2018",0.095225,0.109873,0.093209,0.107657,"563,125","20,669,200"
"Mar 18, 2018",0.096204,0.096417,0.078221,0.095791,"536,227","20,881,800"
"Mar 17, 2018",0.105876,0.114886,0.094964,0.096468,"861,950","22,981,100"
"Mar 16, 2018",0.099957,0.115796,0.092438,0.104727,"2,120,470","21,696,400"
"Mar 15, 2018",0.089350,0.108751,0.081590,0.099516,"2,293,040","19,394,100"
"Mar 14, 2018",0.104463,0.107107,0.085939,0.088782,"538,711","22,674,500"
"Mar 13, 2018",0.103400,0.111697,0.101607,0.104244,"372,289","22,443,900"
"Mar 12, 2018",0.111263,0.116745,0.101591,0.104053,"307,648","24,147,400"
"Mar 11, 2018",0.105026,0.113473,0.099418,0.111547,"314,001","22,793,800"
"Mar 10, 2018",0.111018,0.115204,0.102669,0.105782,"386,800","24,094,100"
"Mar 09, 2018",0.113813,0.114468,0.098879,0.110639,"866,701","24,700,900"
"Mar 08, 2018",0.135509,0.146098,0.111999,0.113315,"5,181,160","29,409,500"
"Mar 07, 2018",0.127606,0.147698,0.100102,0.134763,"2,658,800","27,694,300"
"Mar 06, 2018",0.141677,0.141677,0.124869,0.127601,"519,088","30,748,200"
"Mar 05, 2018",0.147170,0.147170,0.139377,0.142448,"495,975","31,939,300"
"Mar 04, 2018",0.150111,0.151509,0.137596,0.146287,"827,358","32,577,600"
"Mar 03, 2018",0.145568,0.175801,0.140815,0.150246,"2,378,440","31,591,700"
"Mar 02, 2018",0.146113,0.148271,0.139238,0.144448,"531,300","31,709,900"
"Mar 01, 2018",0.142689,0.153827,0.141757,0.146296,"524,812","30,966,000"
"Feb 28, 2018",0.150417,0.154561,0.143695,0.143716,"741,927","32,643,200"
"Feb 27, 2018",0.155165,0.159708,0.147876,0.150397,"566,684","33,673,600"
"Feb 26, 2018",0.150731,0.157855,0.144336,0.154724,"532,240","32,711,300"
"Feb 25, 2018",0.144703,0.154789,0.143068,0.150808,"597,367","31,403,100"
"Feb 24, 2018",0.155625,0.161025,0.141630,0.144947,"804,605","33,773,300"
"Feb 23, 2018",0.155162,0.166351,0.149920,0.155639,"756,841","33,672,900"
"Feb 22, 2018",0.167014,0.180046,0.150934,0.155013,"778,925","36,245,100"
"Feb 21, 2018",0.193939,0.193939,0.166165,0.167897,"1,458,070","42,088,100"
