Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.129815,0.136094,0.119019,0.134583,"65,805","18,174,100"
"Mar 22, 2018",0.134010,0.141551,0.124524,0.128802,"85,460","18,761,400"
"Mar 21, 2018",0.133322,0.137973,0.127252,0.134151,"41,313","18,665,000"
"Mar 20, 2018",0.135580,0.137997,0.125731,0.133631,"29,843","18,981,200"
"Mar 19, 2018",0.124761,0.144425,0.122633,0.134444,"89,599","17,466,500"
"Mar 18, 2018",0.114895,0.135301,0.094935,0.126508,"94,134","16,085,300"
"Mar 17, 2018",0.128613,0.128613,0.107200,0.116562,"33,694","18,005,800"
"Mar 16, 2018",0.115364,0.137390,0.110475,0.124517,"88,962","16,150,900"
"Mar 15, 2018",0.121971,0.124857,0.109143,0.115371,"33,105","17,076,000"
"Mar 14, 2018",0.141496,0.148076,0.114378,0.122021,"57,898","19,809,400"
"Mar 13, 2018",0.129986,0.166867,0.121895,0.141656,"100,116","18,198,100"
"Mar 12, 2018",0.157214,0.162341,0.116481,0.129926,"186,717","22,009,900"
"Mar 11, 2018",0.151047,0.161719,0.146132,0.157682,"44,693","21,146,600"
"Mar 10, 2018",0.159201,0.181323,0.150790,0.151559,"58,218","22,288,200"
"Mar 09, 2018",0.149233,0.159894,0.130699,0.159188,"49,887","20,892,700"
"Mar 08, 2018",0.168047,0.177657,0.149579,0.150139,"60,304","23,526,500"
"Mar 07, 2018",0.179359,0.191989,0.160399,0.167405,"77,466","25,110,200"
"Mar 06, 2018",0.206259,0.209682,0.175405,0.179629,"80,498","28,876,300"
"Mar 05, 2018",0.222954,0.228007,0.206719,0.206790,"47,587","31,213,600"
"Mar 04, 2018",0.212517,0.240016,0.197637,0.223077,"88,027","29,752,400"
"Mar 03, 2018",0.195021,0.227587,0.190595,0.212799,"121,671","27,302,900"
"Mar 02, 2018",0.186255,0.208348,0.181667,0.193931,"256,550","26,075,700"
"Mar 01, 2018",0.185644,0.197116,0.169477,0.186632,"165,376","25,990,200"
"Feb 28, 2018",0.176075,0.224473,0.155508,0.185388,"100,662","24,650,500"
"Feb 27, 2018",0.160931,0.178664,0.158312,0.176224,"48,942","22,530,300"
"Feb 26, 2018",0.163475,0.176381,0.155481,0.160464,"104,984","22,886,500"
"Feb 25, 2018",0.164148,0.172792,0.156947,0.162125,"54,080","22,980,700"
"Feb 24, 2018",0.178014,0.179664,0.157259,0.164451,"48,234","24,922,000"
"Feb 23, 2018",0.155934,0.194283,0.152153,0.184041,"145,198","21,830,800"
"Feb 22, 2018",0.160004,0.171194,0.149942,0.156958,"56,610","22,400,500"
