Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.014719,0.015121,0.013916,0.014515,"45,038","10,182,400"
"Mar 24, 2018",0.015061,0.016037,0.014516,0.014924,"39,034","10,390,400"
"Mar 23, 2018",0.015881,0.015992,0.014506,0.014845,"46,668","10,917,800"
"Mar 22, 2018",0.016821,0.017187,0.015331,0.015881,"43,018","11,534,300"
"Mar 21, 2018",0.016722,0.017318,0.016250,0.016851,"49,672","11,440,700"
"Mar 20, 2018",0.015436,0.017351,0.014900,0.016692,"65,995","10,529,300"
"Mar 19, 2018",0.015196,0.015880,0.014507,0.015346,"66,220","10,338,200"
"Mar 18, 2018",0.013345,0.015191,0.011669,0.015191,"85,526","9,053,170"
"Mar 17, 2018",0.015600,0.015600,0.012842,0.013235,"109,779","10,554,500"
"Mar 16, 2018",0.016108,0.016275,0.015147,0.015575,"81,753","10,865,100"
"Mar 15, 2018",0.016757,0.016917,0.015135,0.016254,"66,288","11,273,400"
"Mar 14, 2018",0.018433,0.019264,0.016193,0.016832,"61,378","12,365,800"
"Mar 13, 2018",0.018932,0.020031,0.018054,0.018430,"63,383","12,664,500"
"Mar 12, 2018",0.020317,0.020748,0.018291,0.019041,"46,534","13,552,400"
"Mar 11, 2018",0.018672,0.020612,0.017786,0.020126,"58,934","12,419,400"
"Mar 10, 2018",0.019723,0.020340,0.018459,0.018893,"58,634","13,081,600"
"Mar 09, 2018",0.019935,0.020252,0.017084,0.019798,"104,826","13,184,600"
"Mar 08, 2018",0.020309,0.021733,0.019630,0.019980,"78,618","13,393,700"
"Mar 07, 2018",0.024486,0.025322,0.019377,0.020429,"171,735","16,101,900"
"Mar 06, 2018",0.027974,0.027974,0.023874,0.024119,"165,000","18,342,000"
"Mar 05, 2018",0.029666,0.029910,0.027946,0.028052,"201,094","19,396,800"
"Mar 04, 2018",0.029545,0.030188,0.027896,0.029782,"192,910","19,260,200"
"Mar 03, 2018",0.027280,0.031503,0.026047,0.029380,"566,577","17,731,800"
"Mar 02, 2018",0.032124,0.032554,0.025053,0.026900,"842,415","20,820,100"
"Mar 01, 2018",0.023025,0.034913,0.022267,0.033556,"1,527,350","14,875,800"
"Feb 28, 2018",0.021527,0.024807,0.021391,0.022700,"358,235","13,866,300"
"Feb 27, 2018",0.020115,0.022647,0.019595,0.021651,"191,872","12,917,800"
"Feb 26, 2018",0.018288,0.020741,0.018288,0.020057,"112,199","11,709,800"
