Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",3.47,3.82,3.15,3.82,"163,283","9,711,100"
"Mar 22, 2018",3.53,3.92,3.22,3.24,"150,261","9,892,350"
"Mar 21, 2018",3.13,4.23,3.12,3.53,"186,470","8,762,160"
"Mar 20, 2018",3.30,3.96,2.87,3.11,"91,668","9,244,900"
"Mar 19, 2018",2.94,3.64,2.92,3.27,"5,680","8,241,140"
"Mar 18, 2018",3.21,3.21,2.53,2.96,"14,481","8,994,770"
"Mar 17, 2018",3.15,3.56,2.93,3.22,"53,296","8,824,010"
"Mar 16, 2018",3.70,4.23,2.94,3.15,"30,352","10,358,700"
"Mar 15, 2018",3.92,3.94,3.21,3.70,"9,680","10,965,400"
"Mar 14, 2018",4.80,4.83,3.64,3.91,"85,390","13,445,900"
"Mar 13, 2018",5.27,5.37,4.66,4.68,"69,159","14,749,000"
"Mar 12, 2018",5.57,5.72,4.70,5.28,"109,643","15,592,500"
"Mar 11, 2018",4.50,6.02,4.10,5.59,"46,283","12,601,000"
"Mar 10, 2018",4.76,5.36,4.10,4.52,"8,017","13,322,700"
"Mar 09, 2018",5.09,5.18,4.44,4.76,"12,834","14,255,300"
"Mar 08, 2018",3.68,5.78,3.31,5.17,"289,877","10,296,700"
"Mar 07, 2018",3.31,3.98,3.20,3.68,"9,734","9,271,710"
"Mar 06, 2018",3.88,3.93,3.16,3.31,"82,383","10,872,400"
"Mar 05, 2018",4.03,4.23,3.79,3.88,"54,585","11,279,900"
"Mar 04, 2018",4.54,4.87,3.62,3.62,"34,509","12,711,900"
"Mar 03, 2018",3.47,4.97,3.47,4.73,"63,401","9,726,600"
"Mar 02, 2018",5.07,5.48,3.48,3.48,"23,039","14,205,400"
"Mar 01, 2018",4.99,5.64,4.58,5.08,"17,315","13,975,600"
"Feb 28, 2018",4.72,5.89,4.70,4.99,"31,237","13,209,700"
"Feb 27, 2018",4.69,6.88,4.54,4.72,"82,164","13,117,000"
"Feb 26, 2018",6.54,6.54,3.64,4.65,"217,375","18,311,800"
"Feb 25, 2018",6.75,6.92,5.93,6.52,"1,524,580","18,897,900"
"Feb 24, 2018",7.34,7.67,6.58,6.77,"2,239,160","20,549,600"
"Feb 23, 2018",6.80,7.61,6.67,7.51,"550,816","19,036,600"
"Feb 22, 2018",6.94,7.20,6.51,6.81,"605,268","19,418,000"
