Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.13,1.13,1.03,1.07,"492,355","71,016,500"
"Mar 22, 2018",1.17,1.23,1.07,1.14,"617,144","72,965,400"
"Mar 21, 2018",1.21,1.31,1.16,1.17,"1,260,310","75,763,600"
"Mar 20, 2018",1.05,1.25,1.02,1.21,"1,437,120","66,028,800"
"Mar 19, 2018",1.02,1.06,0.970973,1.04,"441,683","63,744,000"
"Mar 18, 2018",0.986683,1.02,0.816877,1.02,"717,287","61,745,600"
"Mar 17, 2018",1.10,1.11,0.978157,0.987902,"329,692","68,698,900"
"Mar 16, 2018",1.13,1.15,1.07,1.10,"440,710","71,017,800"
"Mar 15, 2018",1.18,1.19,1.07,1.14,"787,078","74,026,600"
"Mar 14, 2018",1.32,1.44,1.15,1.18,"1,765,540","82,280,300"
"Mar 13, 2018",1.36,1.39,1.29,1.31,"501,992","85,291,700"
"Mar 12, 2018",1.43,1.49,1.30,1.37,"440,196","89,675,800"
"Mar 11, 2018",1.32,1.46,1.27,1.44,"457,371","82,658,400"
"Mar 10, 2018",1.38,1.53,1.32,1.32,"1,148,310","86,448,200"
"Mar 09, 2018",1.40,1.46,1.25,1.38,"1,193,470","87,761,000"
"Mar 08, 2018",1.54,1.74,1.39,1.42,"4,074,930","96,249,200"
"Mar 07, 2018",1.67,2.12,1.42,1.55,"8,767,070","104,183,000"
"Mar 06, 2018",1.87,1.87,1.64,1.67,"731,364","116,846,000"
"Mar 05, 2018",1.90,1.95,1.88,1.90,"955,260","119,083,000"
"Mar 04, 2018",2.00,2.00,1.83,1.91,"894,811","125,079,000"
"Mar 03, 2018",1.89,2.01,1.82,2.00,"3,257,480","118,139,000"
"Mar 02, 2018",1.94,2.10,1.82,1.89,"3,516,920","121,556,000"
"Mar 01, 2018",1.82,1.97,1.81,1.95,"1,097,800","113,442,000"
"Feb 28, 2018",1.82,1.96,1.78,1.80,"1,596,080","113,892,000"
"Feb 27, 2018",1.75,1.90,1.73,1.83,"968,421","109,490,000"
"Feb 26, 2018",1.71,1.77,1.65,1.75,"688,900","106,809,000"
"Feb 25, 2018",1.70,1.75,1.64,1.71,"519,307","106,086,000"
"Feb 24, 2018",1.80,1.87,1.65,1.70,"703,733","112,542,000"
"Feb 23, 2018",1.67,1.85,1.63,1.80,"1,223,660","104,313,000"
"Feb 22, 2018",1.74,1.85,1.58,1.67,"1,726,190","108,620,000"
