Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",9.24,11.81,8.68,11.81,"24,330,300","119,425,000"
"Mar 22, 2018",9.94,10.14,8.81,9.26,"12,822,900","128,426,000"
"Mar 21, 2018",9.66,11.04,9.44,9.98,"13,945,800","124,795,000"
"Mar 20, 2018",8.85,9.82,8.53,9.63,"12,259,800","114,332,000"
"Mar 19, 2018",8.68,9.19,8.30,8.81,"9,804,430","112,077,000"
"Mar 18, 2018",8.86,8.91,6.65,8.65,"10,712,700","114,372,000"
"Mar 17, 2018",9.83,9.90,8.79,8.88,"9,337,750","126,853,000"
"Mar 16, 2018",10.40,10.98,9.33,9.84,"11,627,400","134,300,000"
"Mar 15, 2018",9.68,10.46,8.92,10.38,"8,666,500","124,886,000"
"Mar 14, 2018",11.41,11.79,9.36,9.70,"2,199,010","147,180,000"
"Mar 13, 2018",11.85,12.34,11.26,11.45,"2,210,290","152,855,000"
"Mar 12, 2018",12.73,13.44,11.30,11.88,"3,715,790","164,202,000"
"Mar 11, 2018",11.34,13.06,10.90,12.71,"3,499,730","146,233,000"
"Mar 10, 2018",11.93,12.87,11.08,11.38,"3,596,990","153,823,000"
"Mar 09, 2018",11.82,12.07,9.35,11.97,"3,621,810","152,269,000"
"Mar 08, 2018",13.05,13.34,11.52,11.86,"3,001,220","168,170,000"
"Mar 07, 2018",15.28,15.72,11.85,13.09,"6,447,580","196,810,000"
"Mar 06, 2018",15.87,18.98,14.88,15.28,"15,203,600","204,497,000"
"Mar 05, 2018",16.44,16.58,15.92,15.95,"3,684,860","212,146,000"
"Mar 04, 2018",17.01,17.01,15.70,16.55,"4,977,800","228,200,000"
"Mar 03, 2018",15.64,18.59,15.32,17.08,"11,323,300","201,291,000"
"Mar 02, 2018",16.01,16.01,14.92,15.56,"4,074,000","205,917,000"
"Mar 01, 2018",16.13,17.79,15.43,15.96,"14,257,000","207,385,000"
"Feb 28, 2018",14.11,20.06,14.02,16.05,"39,374,500","181,360,000"
"Feb 27, 2018",13.94,15.00,13.73,14.09,"3,494,090","179,236,000"
"Feb 26, 2018",13.67,14.95,13.39,13.93,"4,307,770","175,634,000"
"Feb 25, 2018",13.11,14.99,12.92,13.66,"5,732,600","168,453,000"
"Feb 24, 2018",14.27,14.53,12.67,13.14,"2,625,070","183,261,000"
"Feb 23, 2018",13.33,14.65,12.80,14.29,"3,479,680","171,188,000"
"Feb 22, 2018",15.17,15.80,13.13,13.31,"3,096,320","194,753,000"
