Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",6.13,6.15,5.70,6.12,"8,663,740","217,608,000"
"Mar 22, 2018",5.96,6.45,5.35,6.13,"9,282,230","211,737,000"
"Mar 21, 2018",5.39,6.28,5.39,5.96,"9,373,150","191,498,000"
"Mar 20, 2018",5.02,5.41,4.82,5.37,"8,300,320","178,221,000"
"Mar 19, 2018",4.43,5.05,4.32,5.02,"7,191,900","157,398,000"
"Mar 18, 2018",4.81,4.81,3.65,4.46,"8,669,350","170,737,000"
"Mar 17, 2018",5.16,5.43,4.70,4.82,"6,892,330","183,257,000"
"Mar 16, 2018",5.14,5.30,4.94,5.18,"7,289,760","182,645,000"
"Mar 15, 2018",5.50,5.50,5.10,5.15,"8,470,930","195,292,000"
"Mar 14, 2018",6.08,6.18,5.30,5.50,"7,683,750","215,933,000"
"Mar 13, 2018",6.05,6.30,5.88,6.08,"8,086,130","214,610,000"
"Mar 12, 2018",6.27,6.52,5.92,6.07,"22,974,400","222,474,000"
"Mar 11, 2018",5.75,6.42,5.60,6.28,"5,371,070","204,251,000"
"Mar 10, 2018",5.91,6.62,5.77,5.77,"6,834,320","209,756,000"
"Mar 09, 2018",5.84,5.92,5.25,5.91,"7,059,530","207,399,000"
"Mar 08, 2018",6.40,6.61,5.74,5.85,"6,536,680","227,069,000"
"Mar 07, 2018",7.02,7.12,6.04,6.42,"6,587,540","249,307,000"
"Mar 06, 2018",7.91,7.91,6.85,7.07,"7,998,320","280,927,000"
"Mar 05, 2018",8.03,8.06,7.89,7.92,"6,728,760","285,113,000"
"Mar 04, 2018",7.84,8.07,7.71,8.06,"6,486,680","278,380,000"
"Mar 03, 2018",8.04,8.16,7.82,7.85,"6,660,700","285,569,000"
"Mar 02, 2018",8.42,8.46,7.90,8.05,"7,114,150","299,071,000"
"Mar 01, 2018",8.17,8.50,8.08,8.44,"7,480,770","289,987,000"
"Feb 28, 2018",8.63,8.78,8.15,8.16,"7,080,960","306,338,000"
"Feb 27, 2018",8.54,8.85,8.33,8.60,"9,223,900","303,103,000"
"Feb 26, 2018",7.62,8.73,7.49,8.52,"9,547,460","270,548,000"
"Feb 25, 2018",7.89,7.90,7.44,7.60,"6,952,650","280,215,000"
"Feb 24, 2018",8.16,8.42,7.65,7.90,"6,797,450","289,640,000"
"Feb 23, 2018",7.77,8.37,7.57,8.18,"7,735,880","275,849,000"
"Feb 22, 2018",8.31,8.66,7.65,7.78,"7,357,000","294,900,000"
