Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.415737,0.415856,0.396882,0.414508,"127,974","11,941,000"
"Mar 22, 2018",0.427716,0.436970,0.407569,0.415742,"112,475","12,285,100"
"Mar 21, 2018",0.415304,0.431504,0.412006,0.427703,"110,573","11,928,600"
"Mar 20, 2018",0.443864,0.465525,0.381748,0.413847,"97,940","12,748,900"
"Mar 19, 2018",0.396216,0.463492,0.390494,0.440487,"338,450","11,381,100"
"Mar 18, 2018",0.436872,0.436872,0.358443,0.399259,"91,665","12,548,900"
"Mar 17, 2018",0.488369,0.488369,0.430166,0.437551,"98,700","14,028,100"
"Mar 16, 2018",0.509269,0.541506,0.488097,0.489122,"124,377","14,629,900"
"Mar 15, 2018",0.509245,0.604734,0.485226,0.510883,"101,292","14,629,200"
"Mar 14, 2018",0.542335,0.553797,0.489364,0.509287,"89,396","15,579,800"
"Mar 13, 2018",0.552162,0.564378,0.535835,0.540851,"103,219","15,862,100"
"Mar 12, 2018",0.554861,0.590131,0.538970,0.553335,"123,713","15,939,700"
"Mar 11, 2018",0.494843,0.557355,0.488757,0.555783,"118,329","14,215,500"
"Mar 10, 2018",0.508258,0.529659,0.493252,0.495824,"99,083","14,600,900"
"Mar 09, 2018",0.475116,0.509121,0.445496,0.508013,"84,656","13,648,800"
"Mar 08, 2018",0.514042,0.519709,0.472872,0.476217,"112,486","14,767,000"
"Mar 07, 2018",0.624685,0.630940,0.512199,0.514820,"110,654","17,945,500"
"Mar 06, 2018",0.666954,0.666954,0.620811,0.624780,"147,706","19,159,800"
"Mar 05, 2018",0.692217,0.697071,0.663851,0.667795,"167,139","19,885,500"
"Mar 04, 2018",0.698533,0.700496,0.676106,0.691593,"169,132","20,067,000"
"Mar 03, 2018",0.696871,0.705771,0.689299,0.695393,"157,394","20,019,200"
"Mar 02, 2018",0.723395,0.732431,0.695656,0.697187,"145,043","20,781,900"
"Mar 01, 2018",0.656143,0.727522,0.650969,0.724597,"160,119","18,849,800"
"Feb 28, 2018",0.701544,0.714339,0.654641,0.656611,"143,371","20,154,100"
"Feb 27, 2018",0.704487,0.740672,0.698485,0.699785,"162,189","20,238,700"
"Feb 26, 2018",0.649598,0.710192,0.641621,0.703026,"51,366","18,661,800"
"Feb 25, 2018",0.606141,0.655007,0.600190,0.649407,"151,122","17,413,400"
"Feb 24, 2018",0.610825,0.627056,0.589054,0.606990,"150,091","17,547,900"
"Feb 23, 2018",0.621991,0.621991,0.576974,0.611254,"119,129","17,868,700"
"Feb 22, 2018",0.674035,0.699651,0.623329,0.627118,"152,194","19,363,900"
