Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.000198,0.000199,0.000121,0.000133,"17,010","26,110,200"
"Mar 05, 2018",0.000176,0.000205,0.000127,0.000129,"25,066","23,245,500"
"Mar 04, 2018",0.000207,0.000207,0.000123,0.000176,"22,437","27,313,500"
"Mar 03, 2018",0.000148,0.000208,0.000123,0.000207,"61,976","19,609,000"
"Mar 02, 2018",0.000190,0.000193,0.000147,0.000149,"31,136","25,099,100"
"Mar 01, 2018",0.000165,0.000191,0.000132,0.000190,"29,661","21,745,100"
"Feb 28, 2018",0.000134,0.000180,0.000129,0.000164,"18,782","17,683,600"
"Feb 27, 2018",0.000171,0.000177,0.000134,0.000168,"18,710","22,603,100"
"Feb 26, 2018",0.000136,0.000173,0.000129,0.000143,"19,677","17,976,200"
"Feb 25, 2018",0.000132,0.000188,0.000129,0.000135,"32,564","17,414,000"
"Feb 24, 2018",0.000159,0.000166,0.000120,0.000132,"26,354","21,042,900"
"Feb 23, 2018",0.000154,0.000159,0.000112,0.000159,"19,256","20,381,400"
"Feb 22, 2018",0.000155,0.000173,0.000113,0.000152,"16,673","20,442,100"
"Feb 21, 2018",0.000166,0.000169,0.000120,0.000156,"23,776","21,951,800"
"Feb 20, 2018",0.000142,0.000173,0.000122,0.000166,"26,854","18,729,500"
"Feb 19, 2018",0.000160,0.000174,0.000118,0.000142,"18,458","21,091,200"
"Feb 18, 2018",0.000185,0.000188,0.000119,0.000160,"15,052","24,451,700"
"Feb 17, 2018",0.000137,0.000185,0.000126,0.000185,"18,658","18,145,700"
"Feb 16, 2018",0.000161,0.000175,0.000125,0.000136,"17,693","21,239,800"
"Feb 15, 2018",0.000136,0.000172,0.000128,0.000161,"35,152","17,917,500"
"Feb 14, 2018",0.000151,0.000166,0.000132,0.000132,"33,652","19,993,500"
"Feb 13, 2018",0.000157,0.000159,0.000123,0.000151,"23,024","20,803,100"
"Feb 12, 2018",0.000147,0.000159,0.000117,0.000155,"23,255","19,453,100"
"Feb 11, 2018",0.000137,0.000157,0.000114,0.000147,"26,323","18,067,600"
"Feb 10, 2018",0.000154,0.000175,0.000130,0.000136,"32,778","20,380,600"
"Feb 09, 2018",0.000138,0.000157,0.000102,0.000154,"35,106","18,204,400"
"Feb 08, 2018",0.000096,0.000144,0.000090,0.000135,"24,726","12,747,600"
"Feb 07, 2018",0.000101,0.000129,0.000079,0.000097,"1,058","13,322,000"
"Feb 06, 2018",0.000101,0.000114,0.000085,0.000101,"1,109","13,361,700"
"Feb 05, 2018",0.000128,0.000135,0.000101,0.000101,"31,578","16,925,300"
"Feb 04, 2018",0.000160,0.000163,0.000102,0.000129,"46,801","21,110,900"
"Feb 03, 2018",0.000111,0.000177,0.000110,0.000157,"52,867","14,665,600"
"Feb 02, 2018",0.000181,0.000181,0.000110,0.000111,"38,929","23,876,700"
"Feb 01, 2018",0.000198,0.000205,0.000143,0.000181,"75,894","26,160,900"
"Jan 31, 2018",0.000207,0.000208,0.000147,0.000147,"46,031","27,302,700"
"Jan 30, 2018",0.000214,0.000220,0.000162,0.000206,"47,919","28,261,300"
"Jan 29, 2018",0.000211,0.000222,0.000166,0.000214,"58,059","27,887,400"
"Jan 28, 2018",0.000165,0.000244,0.000163,0.000202,"89,832","21,796,600"
"Jan 27, 2018",0.000204,0.000211,0.000162,0.000205,"59,960","26,933,900"
"Jan 26, 2018",0.000210,0.000218,0.000168,0.000195,"55,278","27,796,400"
"Jan 25, 2018",0.000181,0.000220,0.000157,0.000216,"52,710","23,983,700"
"Jan 24, 2018",0.000187,0.000228,0.000173,0.000181,"61,964","24,713,100"
"Jan 23, 2018",0.000234,0.000234,0.000174,0.000228,"63,624","30,938,100"
"Jan 22, 2018",0.000280,0.000282,0.000278,0.000281,"106,970","36,970,400"
"Jan 21, 2018",0.000310,0.000358,0.000277,0.000279,"105,788","41,017,200"
"Jan 20, 2018",0.000356,0.000367,0.000304,0.000310,"112,375","47,001,400"
"Jan 19, 2018",0.000345,0.000355,0.000291,0.000355,"179,654","45,654,800"
"Jan 18, 2018",0.000319,0.000370,0.000260,0.000344,"158,133","42,140,000"
"Jan 17, 2018",0.000273,0.000346,0.000240,0.000260,"194,798","36,036,500"
"Jan 16, 2018",0.000422,0.000422,0.000239,0.000318,"229,725","55,735,000"
"Jan 15, 2018",0.000400,0.000440,0.000315,0.000349,"469,801","52,844,300"
"Jan 14, 2018",0.000292,0.000401,0.000186,0.000401,"348,302","38,576,400"
"Jan 13, 2018",0.000393,0.000417,0.000177,0.000292,"322,918","51,928,400"
"Jan 12, 2018",0.000314,0.000429,0.000288,0.000393,"475,706","41,481,000"
"Jan 11, 2018",0.000483,0.000582,0.000308,0.000409,"612,186","63,823,700"
"Jan 10, 2018",0.000363,0.000596,0.000296,0.000583,"747,832","46,818,200"
"Jan 09, 2018",0.000622,0.000749,0.000355,0.000459,"951,137","80,308,900"
"Jan 08, 2018",0.000860,0.001123,0.000498,0.000616,"2,028,190","110,985,000"
"Jan 07, 2018",0.000481,0.001162,0.000352,0.000971,"4,300,490","62,046,300"
"Jan 06, 2018",0.000159,0.000508,0.000153,0.000483,"1,217,110","20,537,300"
"Jan 05, 2018",0.000136,0.000160,0.000127,0.000159,"108,098","17,579,400"
"Jan 04, 2018",0.000136,0.000142,0.000126,0.000136,"41,487","17,544,300"
"Jan 03, 2018",0.000134,0.000143,0.000128,0.000129,"67,004","17,230,200"
"Jan 02, 2018",0.000114,0.000134,0.000111,0.000134,"45,727","14,709,400"
"Jan 01, 2018",0.000125,0.000125,0.000111,0.000114,"27,064","16,162,700"
"Dec 31, 2017",0.000085,0.000128,0.000081,0.000125,"42,926","10,906,500"
"Dec 30, 2017",0.000093,0.000096,0.000068,0.000085,"19,580","11,967,800"
"Dec 29, 2017",0.000145,0.000151,0.000088,0.000099,"26,611","18,667,900"
"Dec 28, 2017",0.000155,0.000156,0.000136,0.000143,"36,227","20,020,600"
"Dec 27, 2017",0.000158,0.000166,0.000147,0.000155,"25,776","20,434,900"
"Dec 26, 2017",0.000139,0.000161,0.000139,0.000158,"71,389","17,973,800"
"Dec 25, 2017",0.000141,0.000145,0.000133,0.000139,"21,373","18,176,700"
"Dec 24, 2017",0.000061,0.000139,0.000041,0.000139,"6,671","7,913,430"
"Dec 23, 2017",0.000068,0.000079,0.000061,0.000061,"23,922","8,758,300"
"Dec 22, 2017",0.000039,0.000073,0.000025,0.000067,"15,067","5,008,310"
"Dec 21, 2017",0.000038,0.000043,0.000031,0.000039,"18,576","4,884,890"
"Dec 20, 2017",0.000053,0.000054,0.000030,0.000038,"17,489","6,832,580"
"Dec 19, 2017",0.000048,0.000054,0.000035,0.000053,"12,163","6,197,630"
"Dec 18, 2017",0.000055,0.000061,0.000043,0.000048,"33,210","7,117,010"
"Dec 17, 2017",0.000086,0.000086,0.000053,0.000054,"23,699","11,065,400"
"Dec 16, 2017",0.000073,0.000090,0.000061,0.000086,"36,761","9,468,740"
"Dec 15, 2017",0.000073,0.000096,0.000064,0.000073,"32,033","9,425,720"
"Dec 14, 2017",0.000031,0.000075,0.000030,0.000072,"9,630","3,944,390"
"Dec 13, 2017",0.000043,0.000049,0.000030,0.000032,"16,186","5,542,150"
"Dec 12, 2017",0.000086,0.000086,0.000043,0.000043,"16,750","11,123,500"
"Dec 11, 2017",0.000040,0.000093,0.000039,0.000086,"7,456","5,217,460"
"Dec 10, 2017",0.000032,0.000042,0.000025,0.000041,"4,805","4,105,490"
"Dec 09, 2017",0.000089,0.000092,0.000032,0.000032,"23,025","11,507,900"
"Dec 08, 2017",0.000059,0.000096,0.000053,0.000089,"27,162","7,598,360"
"Dec 07, 2017",0.000065,0.000072,0.000059,0.000072,"13,663","8,400,500"
"Dec 06, 2017",0.000046,0.000072,0.000044,0.000072,"6,218","5,871,660"
"Dec 05, 2017",0.000030,0.000047,0.000026,0.000046,"2,791","3,883,200"
