Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",2.09,2.39,2.08,2.29,"220,451","21,922,200"
"Mar 20, 2018",1.95,2.11,1.90,2.08,"133,393","20,484,100"
"Mar 19, 2018",1.81,1.96,1.75,1.94,"170,734","18,987,100"
"Mar 18, 2018",1.83,1.86,1.57,1.82,"199,956","19,246,700"
"Mar 17, 2018",2.19,2.22,1.82,1.83,"171,027","22,945,700"
"Mar 16, 2018",2.09,2.28,2.09,2.19,"180,542","21,947,500"
"Mar 15, 2018",2.02,2.09,1.85,2.09,"158,300","21,232,700"
"Mar 14, 2018",2.45,2.48,1.97,2.02,"181,533","25,758,400"
"Mar 13, 2018",2.32,2.62,2.31,2.47,"210,692","24,332,200"
"Mar 12, 2018",2.44,2.64,2.27,2.32,"260,089","25,608,600"
"Mar 11, 2018",2.43,2.61,2.32,2.53,"228,903","25,546,200"
"Mar 10, 2018",2.48,2.66,2.39,2.43,"170,873","26,078,000"
"Mar 09, 2018",2.44,2.50,2.20,2.47,"205,718","25,623,900"
"Mar 08, 2018",2.57,2.70,2.38,2.46,"228,189","26,944,300"
"Mar 07, 2018",2.79,3.14,2.50,2.56,"331,487","29,281,500"
"Mar 06, 2018",3.70,3.70,2.20,2.80,"668,943","38,865,800"
"Mar 05, 2018",3.74,3.78,3.69,3.70,"171,309","39,264,200"
"Mar 04, 2018",3.73,3.75,3.61,3.75,"177,156","39,208,200"
"Mar 03, 2018",3.68,3.76,3.68,3.74,"238,525","38,681,700"
"Mar 02, 2018",3.64,3.74,3.51,3.68,"208,078","38,251,000"
"Mar 01, 2018",3.50,3.77,3.45,3.65,"272,352","36,786,100"
"Feb 28, 2018",3.77,3.82,3.51,3.51,"282,960","39,605,400"
"Feb 27, 2018",4.01,4.07,3.71,3.75,"279,250","42,142,400"
"Feb 26, 2018",4.03,4.12,3.88,4.01,"116,493","42,312,500"
"Feb 25, 2018",4.02,4.09,3.93,4.03,"120,919","42,231,200"
"Feb 24, 2018",4.24,4.34,3.82,4.03,"216,132","44,472,700"
"Feb 23, 2018",3.54,4.24,3.50,4.24,"293,179","37,157,500"
"Feb 22, 2018",4.04,4.05,3.14,3.52,"335,520","42,386,100"
"Feb 21, 2018",4.07,4.33,3.76,4.05,"265,964","42,696,300"
"Feb 20, 2018",4.74,4.82,3.87,4.00,"245,494","49,821,000"
"Feb 19, 2018",4.93,5.04,4.70,4.74,"215,595","51,721,900"
"Feb 18, 2018",4.87,5.12,4.54,4.93,"270,052","51,150,400"
"Feb 17, 2018",4.48,4.87,4.44,4.87,"170,213","47,032,700"
"Feb 16, 2018",4.57,4.63,4.32,4.45,"155,055","47,966,300"
"Feb 15, 2018",3.98,4.60,3.98,4.58,"247,785","41,831,700"
"Feb 14, 2018",3.56,3.99,3.48,3.98,"184,825","37,372,900"
"Feb 13, 2018",3.66,3.69,3.51,3.55,"207,105","38,474,900"
"Feb 12, 2018",3.10,3.72,3.10,3.67,"416,489","32,601,500"
"Feb 11, 2018",3.18,3.24,2.83,3.12,"168,583","33,358,900"
"Feb 10, 2018",3.17,3.33,3.11,3.18,"223,808","33,276,700"
"Feb 09, 2018",2.97,3.22,2.87,3.16,"133,234","31,136,800"
"Feb 08, 2018",2.65,3.18,2.65,2.96,"149,169","27,868,500"
"Feb 07, 2018",2.61,3.13,2.25,2.67,"292,013","27,408,000"
"Feb 06, 2018",2.35,2.64,1.80,2.62,"281,064","24,655,400"
"Feb 05, 2018",2.90,3.03,2.06,2.35,"242,683","30,476,400"
"Feb 04, 2018",3.41,3.41,2.81,2.94,"152,586","35,842,500"
"Feb 03, 2018",3.32,3.53,3.06,3.42,"281,477","34,895,300"
"Feb 02, 2018",3.31,3.43,2.76,3.32,"312,009","34,724,100"
"Feb 01, 2018",4.39,4.55,3.14,3.33,"417,154","46,086,100"
"Jan 31, 2018",4.54,4.58,3.98,4.40,"256,554","47,709,800"
"Jan 30, 2018",5.74,5.80,4.24,4.52,"414,284","60,289,800"
"Jan 29, 2018",5.85,6.00,5.42,5.72,"303,933","61,453,700"
"Jan 28, 2018",5.36,6.23,5.33,5.87,"509,452","56,240,400"
"Jan 27, 2018",5.02,5.42,4.90,5.33,"265,374","52,688,900"
"Jan 26, 2018",4.90,5.26,4.65,4.99,"354,603","51,420,200"
"Jan 25, 2018",5.18,5.41,4.73,4.95,"353,422","54,396,800"
"Jan 24, 2018",4.81,5.27,4.70,5.05,"338,416","50,503,900"
"Jan 23, 2018",4.66,5.29,4.47,4.81,"380,965","48,906,000"
"Jan 22, 2018",4.78,5.34,4.32,5.08,"412,945","50,141,500"
"Jan 21, 2018",4.99,4.99,4.51,4.77,"365,629","52,392,900"
"Jan 20, 2018",4.12,5.13,4.12,4.99,"480,604","43,261,500"
"Jan 19, 2018",4.74,4.87,3.92,4.08,"443,501","49,794,900"
"Jan 18, 2018",4.76,5.25,4.64,4.79,"430,808","50,010,700"
