Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.104899,0.107124,0.091080,0.094185,"197,248","21,567,700"
"Mar 22, 2018",0.105375,0.125355,0.104081,0.104749,"262,983","21,665,500"
"Mar 21, 2018",0.096580,0.128740,0.096286,0.105568,"326,505","19,857,200"
"Mar 20, 2018",0.082737,0.096922,0.078805,0.096807,"142,148","17,010,900"
"Mar 19, 2018",0.068196,0.082485,0.067816,0.082485,"133,137","14,021,400"
"Mar 18, 2018",0.083234,0.083234,0.047246,0.068485,"585,145","17,113,100"
"Mar 17, 2018",0.088844,0.088844,0.079438,0.083436,"116,299","18,266,700"
"Mar 16, 2018",0.085391,0.098482,0.082691,0.087820,"214,450","17,556,800"
"Mar 15, 2018",0.087452,0.089717,0.077906,0.084945,"168,252","17,980,500"
"Mar 14, 2018",0.090175,0.096403,0.081726,0.087490,"252,704","18,540,200"
"Mar 13, 2018",0.094071,0.099768,0.088195,0.090633,"120,288","19,341,200"
"Mar 12, 2018",0.101405,0.109974,0.090470,0.094614,"249,889","20,849,100"
"Mar 11, 2018",0.094592,0.105451,0.089609,0.102202,"125,882","19,448,400"
"Mar 10, 2018",0.098634,0.106064,0.094255,0.094919,"111,510","20,279,400"
"Mar 09, 2018",0.100432,0.101617,0.089223,0.098614,"80,974","20,649,100"
"Mar 08, 2018",0.105996,0.114512,0.097053,0.101064,"95,925","21,793,200"
"Mar 07, 2018",0.116376,0.121026,0.097293,0.105994,"99,418","23,927,300"
"Mar 06, 2018",0.137520,0.148506,0.111941,0.116527,"197,296","28,274,500"
"Mar 05, 2018",0.152806,0.157274,0.137215,0.137981,"157,140","31,417,400"
"Mar 04, 2018",0.152778,0.163096,0.144785,0.152918,"254,659","31,411,700"
"Mar 03, 2018",0.145464,0.166851,0.145464,0.153617,"77,840","29,907,900"
"Mar 02, 2018",0.163834,0.169252,0.142533,0.146454,"197,201","33,684,900"
"Mar 01, 2018",0.130038,0.162527,0.126097,0.162527,"171,212","26,736,300"
"Feb 28, 2018",0.120888,0.147153,0.119170,0.129847,"149,566","24,854,900"
"Feb 27, 2018",0.113113,0.130541,0.108537,0.120988,"106,474","23,256,500"
"Feb 26, 2018",0.118149,0.125126,0.107564,0.111250,"143,273","24,291,800"
"Feb 25, 2018",0.109270,0.125331,0.106757,0.117992,"50,379","22,466,300"
"Feb 24, 2018",0.111293,0.122430,0.102735,0.108332,"105,780","22,882,200"
"Feb 23, 2018",0.106923,0.123382,0.104337,0.111347,"189,131","21,983,800"
"Feb 22, 2018",0.123895,0.133538,0.103259,0.107098,"55,475","25,473,300"
