Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",3.92,3.93,3.78,3.92,"15,469","7,906,360"
"Mar 22, 2018",4.06,4.14,3.86,3.93,"10,825","8,171,510"
"Mar 21, 2018",4.02,4.16,3.98,4.06,"23,233","8,100,280"
"Mar 20, 2018",3.91,4.06,3.79,4.02,"21,359","7,885,600"
"Mar 19, 2018",3.84,3.92,3.73,3.88,"13,414","7,732,770"
"Mar 18, 2018",3.70,3.86,3.41,3.85,"38,430","7,458,780"
"Mar 17, 2018",3.93,3.93,3.68,3.70,"16,075","7,925,710"
"Mar 16, 2018",3.91,4.05,3.78,3.92,"24,901","7,877,800"
"Mar 15, 2018",4.03,4.04,3.82,3.93,"19,877","8,105,240"
"Mar 14, 2018",4.40,4.46,3.95,4.00,"30,580","8,854,730"
"Mar 13, 2018",4.43,4.54,4.27,4.36,"13,773","8,904,340"
"Mar 12, 2018",4.58,4.68,4.33,4.44,"30,957","9,199,950"
"Mar 11, 2018",4.32,4.67,4.20,4.60,"16,633","8,670,560"
"Mar 10, 2018",4.51,4.58,4.31,4.32,"18,492","9,061,070"
"Mar 09, 2018",4.57,4.62,4.25,4.51,"50,208","9,160,840"
"Mar 08, 2018",4.76,4.85,4.51,4.58,"51,544","9,553,430"
"Mar 07, 2018",5.04,5.11,4.59,4.77,"46,338","10,110,600"
"Mar 06, 2018",5.49,5.49,4.98,5.05,"60,572","10,992,100"
"Mar 05, 2018",5.37,5.53,5.34,5.51,"48,147","10,750,500"
"Mar 04, 2018",5.33,5.38,5.17,5.38,"15,678","10,674,800"
"Mar 03, 2018",5.24,5.43,5.10,5.38,"26,505","10,483,500"
"Mar 02, 2018",5.31,5.38,5.16,5.25,"17,653","10,622,900"
"Mar 01, 2018",4.98,5.35,4.93,5.32,"22,231","9,954,530"
"Feb 28, 2018",5.14,5.38,4.97,4.97,"50,937","10,254,700"
"Feb 27, 2018",4.82,5.18,4.78,5.11,"70,213","9,620,140"
"Feb 26, 2018",4.56,4.88,4.46,4.80,"19,927","9,092,760"
"Feb 25, 2018",4.51,4.63,4.44,4.55,"37,283","8,995,820"
"Feb 24, 2018",4.80,4.86,4.42,4.52,"23,362","9,572,460"
"Feb 23, 2018",4.65,4.89,4.57,4.78,"19,279","9,259,940"
"Feb 22, 2018",4.95,5.12,4.58,4.65,"23,906","9,864,420"
