Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",0.945183,0.954267,0.838498,0.904815,"4,622,710","10,476,800"
"Mar 20, 2018",0.998150,0.998150,0.917398,0.952301,"7,202,220","11,511,100"
"Mar 19, 2018",0.951205,1.01,0.951205,0.978304,"20,470,200","11,043,500"
"Mar 18, 2018",0.993979,1.01,0.955167,0.964344,"23,495,900","13,765,600"
"Mar 17, 2018",0.990754,1.01,0.974921,0.996360,"24,550,100","11,641,100"
"Mar 16, 2018",0.990206,1.01,0.977660,0.979631,"17,532,800","10,904,600"
"Mar 15, 2018",0.992154,1.01,0.971520,0.991832,"32,698,500","10,684,300"
"Mar 14, 2018",0.986033,1.01,0.970693,0.992860,"22,639,400","10,182,300"
"Mar 13, 2018",0.993599,1.02,0.979735,0.997138,"28,423,400","10,062,200"
"Mar 12, 2018",0.998227,1.01,0.973808,0.991220,"24,390,400","10,738,300"
"Mar 11, 2018",0.991501,1.03,0.975063,1.00,"23,102,600","12,485,300"
"Mar 10, 2018",0.987348,1.01,0.977823,0.994952,"18,341,500","9,697,120"
"Mar 09, 2018",0.992600,1.02,0.968922,0.993082,"45,334,200","9,569,030"
"Mar 08, 2018",0.996028,1.02,0.954085,0.998916,"14,821,300","10,665,800"
"Mar 07, 2018",1.00,1.01,0.949691,0.998499,"18,710,700","11,235,200"
"Mar 06, 2018",0.998577,1.01,0.981404,1.00,"10,765,100","8,809,170"
"Mar 05, 2018",0.997791,1.00,0.975523,0.987394,"1,457,880","8,838,630"
"Mar 04, 2018",1.00,1.01,0.985392,0.998572,"4,595,630","10,721,500"
"Mar 03, 2018",0.998915,1.01,0.909230,1.00,"4,082,090","8,869,220"
"Mar 02, 2018",0.992671,1.01,0.988457,0.997094,"4,656,820","9,966,700"
"Mar 01, 2018",0.993452,1.01,0.990557,1.00,"9,008,800","10,510,500"
"Feb 28, 2018",1.01,1.01,0.981864,0.992790,"11,711,500","8,946,750"
"Feb 27, 2018",0.993487,1.02,0.988415,0.994027,"4,428,200","9,516,490"
"Feb 26, 2018",0.997906,1.01,0.985216,0.990942,"8,680,030","10,538,900"
"Feb 25, 2018",1.01,1.01,0.987286,0.996853,"12,535,700","12,449,100"
"Feb 24, 2018",1.00,1.02,0.972961,1.01,"14,337,100","12,026,700"
