Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",14.65,14.90,13.15,13.56,"244,457","19,863,200"
"Mar 22, 2018",15.24,15.79,14.15,14.65,"261,898","20,660,800"
"Mar 21, 2018",16.03,16.96,14.72,15.05,"366,476","21,730,600"
"Mar 20, 2018",16.43,16.69,14.30,15.98,"586,392","22,280,900"
"Mar 19, 2018",14.64,16.99,13.72,16.25,"410,934","18,829,900"
"Mar 18, 2018",15.31,15.42,12.19,14.70,"252,955","19,684,100"
"Mar 17, 2018",16.21,17.04,15.25,15.34,"232,748","20,845,200"
"Mar 16, 2018",16.70,18.23,15.68,16.02,"308,110","21,475,700"
"Mar 15, 2018",17.16,17.16,15.00,16.79,"363,443","22,068,700"
"Mar 14, 2018",20.34,20.34,16.43,16.89,"578,683","26,162,300"
"Mar 13, 2018",19.99,21.64,19.49,20.21,"896,226","25,716,400"
"Mar 12, 2018",21.58,22.12,19.10,20.08,"511,742","27,751,800"
"Mar 11, 2018",20.19,22.16,19.24,21.88,"283,704","25,970,300"
"Mar 10, 2018",21.05,25.66,20.24,20.26,"4,378,180","27,099,900"
"Mar 09, 2018",22.36,22.36,18.59,21.06,"687,268","28,792,000"
"Mar 08, 2018",23.93,27.70,21.87,22.53,"3,508,340","30,813,300"
"Mar 07, 2018",25.16,27.45,21.55,23.89,"5,717,690","32,398,000"
"Mar 06, 2018",28.30,28.32,24.24,25.64,"3,058,340","36,444,000"
"Mar 05, 2018",31.88,32.70,28.55,29.69,"15,256,700","41,044,400"
"Mar 04, 2018",21.88,39.94,21.72,39.06,"29,044,000","28,171,100"
"Mar 03, 2018",23.20,23.47,21.46,21.96,"354,844","29,907,900"
"Mar 02, 2018",23.93,24.23,22.17,23.56,"491,238","30,843,400"
"Mar 01, 2018",19.37,23.60,19.22,23.36,"1,682,660","24,971,100"
"Feb 28, 2018",21.12,22.13,19.26,19.47,"110,274","27,220,400"
"Feb 27, 2018",20.86,22.11,20.44,21.14,"78,730","26,892,600"
"Feb 26, 2018",19.46,21.49,18.92,20.80,"159,978","25,083,500"
"Feb 25, 2018",19.91,21.34,18.91,19.45,"258,240","25,669,300"
"Feb 24, 2018",20.09,21.50,18.85,19.95,"93,322","25,935,700"
"Feb 23, 2018",19.69,22.62,19.22,20.11,"198,316","25,426,300"
"Feb 22, 2018",22.96,23.58,19.68,19.71,"203,935","29,639,800"
