Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.750543,0.813181,0.691670,0.797048,358,"11,258,100"
"Mar 22, 2018",0.788820,0.822887,0.717115,0.750381,442,"11,832,300"
"Mar 21, 2018",0.917655,0.923877,0.748192,0.787829,"4,452","13,764,800"
"Mar 20, 2018",0.807323,0.929467,0.718850,0.916503,779,"12,109,800"
"Mar 19, 2018",0.680654,0.806852,0.678927,0.806748,"2,217","10,209,800"
"Mar 18, 2018",0.681123,0.688482,0.567041,0.677274,"5,866","10,216,800"
"Mar 17, 2018",0.750263,0.768469,0.667596,0.678912,"2,931","11,253,900"
"Mar 16, 2018",0.752268,0.843259,0.621519,0.746957,"6,374","11,284,000"
"Mar 15, 2018",0.657796,0.785063,0.592877,0.752971,171,"9,866,940"
"Mar 14, 2018",0.840970,0.917161,0.639420,0.658628,590,"12,614,600"
"Mar 13, 2018",0.737828,1.05,0.736243,0.841709,"3,573","11,067,400"
"Mar 12, 2018",0.813549,1.08,0.698247,0.738051,"4,646","12,203,200"
"Mar 11, 2018",0.888903,0.948229,0.766757,0.809593,"1,542","13,333,500"
"Mar 10, 2018",0.804409,0.923137,0.768891,0.899184,"1,490","12,066,100"
"Mar 09, 2018",0.804257,0.865773,0.689475,0.806552,"6,827","12,063,900"
"Mar 08, 2018",1.22,1.24,0.561812,0.804907,"7,465","18,344,000"
"Mar 07, 2018",0.828357,1.22,0.739382,1.22,"3,148","12,425,400"
"Mar 06, 2018",1.15,1.15,0.818521,0.837133,"1,164","17,197,600"
"Mar 05, 2018",0.912089,1.17,0.874157,1.15,"7,750","13,681,300"
"Mar 04, 2018",0.923222,0.923222,0.885235,0.911405,548,"13,848,300"
"Mar 03, 2018",1.19,1.26,0.910646,0.924103,668,"17,871,400"
"Mar 02, 2018",0.845871,1.20,0.836962,1.19,"1,454","12,688,100"
"Mar 01, 2018",1.16,1.18,0.839743,0.841835,169,"17,412,700"
"Feb 28, 2018",1.34,1.36,1.10,1.16,"5,213","20,146,500"
"Feb 27, 2018",0.895613,1.36,0.720283,1.32,"7,588","13,434,200"
"Feb 26, 2018",0.690780,1.13,0.677697,0.893863,"2,432","10,361,700"
"Feb 25, 2018",0.983238,0.993864,0.694522,0.694522,"1,428","14,748,600"
"Feb 24, 2018",1.04,1.08,0.949135,0.982225,619,"15,579,300"
"Feb 23, 2018",1.16,1.17,1.01,1.04,"1,267","17,371,300"
"Feb 22, 2018",1.28,1.36,1.10,1.19,411,"19,194,500"
