Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.139399,0.139399,0.131986,0.136920,"1,267,770","139,259,000"
"Mar 22, 2018",0.143243,0.151853,0.134655,0.138915,"1,652,600","143,099,000"
"Mar 21, 2018",0.148287,0.152210,0.141396,0.143532,"2,145,130","148,138,000"
"Mar 20, 2018",0.137619,0.152624,0.132617,0.148169,"2,727,070","137,481,000"
"Mar 19, 2018",0.126147,0.136624,0.123735,0.136624,"2,373,760","126,021,000"
"Mar 18, 2018",0.125844,0.127676,0.110102,0.126069,"2,343,110","125,718,000"
"Mar 17, 2018",0.134218,0.134550,0.123683,0.126197,"1,733,040","134,084,000"
"Mar 16, 2018",0.136494,0.139645,0.131055,0.134394,"2,038,830","136,357,000"
"Mar 15, 2018",0.137374,0.139413,0.125586,0.136578,"2,713,740","137,237,000"
"Mar 14, 2018",0.154087,0.165705,0.135068,0.137336,"5,088,980","153,932,000"
"Mar 13, 2018",0.155829,0.157676,0.147874,0.154294,"2,390,770","155,673,000"
"Mar 12, 2018",0.164166,0.166638,0.151689,0.156616,"2,155,070","164,002,000"
"Mar 11, 2018",0.154132,0.170013,0.148455,0.164678,"2,011,500","153,978,000"
"Mar 10, 2018",0.162101,0.166545,0.152341,0.154180,"2,332,510","161,939,000"
"Mar 09, 2018",0.170139,0.171638,0.147512,0.162465,"4,420,440","169,969,000"
"Mar 08, 2018",0.177420,0.188586,0.168235,0.170869,"5,920,550","177,243,000"
"Mar 07, 2018",0.181979,0.271781,0.167550,0.178277,"21,469,500","181,797,000"
"Mar 06, 2018",0.194125,0.194125,0.179620,0.181949,"2,841,240","193,931,000"
"Mar 05, 2018",0.200906,0.200906,0.194073,0.194073,"3,144,750","200,705,000"
"Mar 04, 2018",0.196608,0.200503,0.189894,0.200503,"2,677,280","196,411,000"
"Mar 03, 2018",0.198317,0.201172,0.194461,0.197287,"2,778,300","198,118,000"
"Mar 02, 2018",0.202318,0.204930,0.192285,0.198653,"4,112,730","202,116,000"
"Mar 01, 2018",0.188443,0.206685,0.186997,0.203014,"4,710,680","188,254,000"
"Feb 28, 2018",0.211166,0.214649,0.188393,0.189062,"3,499,800","210,955,000"
"Feb 27, 2018",0.211515,0.217430,0.208379,0.210379,"3,542,740","211,304,000"
"Feb 26, 2018",0.210095,0.216446,0.202409,0.211454,"3,157,290","209,885,000"
"Feb 25, 2018",0.203944,0.214444,0.202580,0.210489,"5,056,980","203,740,000"
"Feb 24, 2018",0.211927,0.219563,0.199376,0.203329,"4,702,280","211,715,000"
"Feb 23, 2018",0.204499,0.224427,0.197179,0.212067,"5,629,210","204,294,000"
"Feb 22, 2018",0.222587,0.231838,0.199172,0.204858,"5,363,360","222,365,000"
