Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",11.53,11.53,10.59,11.50,"30,954,000","1,177,000,000"
"Mar 22, 2018",11.86,12.39,10.78,11.57,"36,755,900","1,210,440,000"
"Mar 21, 2018",12.15,12.65,11.56,11.86,"33,733,200","1,240,030,000"
"Mar 20, 2018",11.54,12.53,10.66,12.08,"46,839,900","1,177,690,000"
"Mar 19, 2018",10.52,11.45,10.06,11.45,"42,172,600","1,073,390,000"
"Mar 18, 2018",9.83,10.53,8.44,10.47,"39,837,300","1,002,780,000"
"Mar 17, 2018",11.22,11.26,9.82,9.86,"30,985,800","1,145,240,000"
"Mar 16, 2018",11.32,11.83,10.83,11.22,"28,698,800","1,155,630,000"
"Mar 15, 2018",11.70,11.73,10.34,11.31,"44,593,200","1,193,950,000"
"Mar 14, 2018",13.61,13.75,11.34,11.69,"28,942,400","1,388,970,000"
"Mar 13, 2018",13.74,14.14,12.98,13.75,"24,721,000","1,401,840,000"
"Mar 12, 2018",14.66,14.84,13.47,13.78,"23,439,900","1,496,030,000"
"Mar 11, 2018",13.41,14.98,12.85,14.68,"30,486,600","1,368,720,000"
"Mar 10, 2018",15.01,15.36,13.25,13.44,"44,982,900","1,531,680,000"
"Mar 09, 2018",13.72,15.11,11.75,15.02,"59,857,400","1,400,490,000"
"Mar 08, 2018",14.47,15.27,13.37,13.74,"41,855,800","1,476,880,000"
"Mar 07, 2018",15.87,16.46,13.71,14.50,"52,446,000","1,619,230,000"
"Mar 06, 2018",17.20,17.20,15.57,15.86,"38,911,600","1,755,260,000"
"Mar 05, 2018",17.96,18.08,17.16,17.22,"39,490,400","1,832,480,000"
"Mar 04, 2018",17.88,18.48,17.09,17.94,"39,416,700","1,824,380,000"
"Mar 03, 2018",18.52,19.02,17.72,17.90,"49,308,100","1,889,880,000"
"Mar 02, 2018",19.19,19.36,17.82,18.52,"50,691,600","1,958,280,000"
"Mar 01, 2018",18.61,19.95,18.46,19.21,"67,000,600","1,899,330,000"
"Feb 28, 2018",20.13,20.93,18.62,18.62,"108,895,000","2,054,370,000"
"Feb 27, 2018",18.01,20.90,17.80,20.14,"114,453,000","1,837,970,000"
"Feb 26, 2018",16.77,18.21,16.29,17.97,"37,163,300","1,711,420,000"
"Feb 25, 2018",16.72,17.48,16.32,16.77,"36,436,400","1,706,350,000"
"Feb 24, 2018",17.51,18.46,16.49,16.75,"51,605,900","1,786,500,000"
"Feb 23, 2018",16.54,17.96,15.83,17.57,"63,981,000","1,687,410,000"
"Feb 22, 2018",18.05,18.72,15.96,16.60,"65,150,100","1,842,340,000"
