Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",28.90,29.59,27.25,29.25,"14,086","16,205,500"
"Mar 22, 2018",31.55,31.99,27.49,28.90,"143,926","17,691,200"
"Mar 21, 2018",31.02,32.64,30.62,31.61,"35,482","17,392,300"
"Mar 20, 2018",29.90,32.52,27.54,31.31,"2,135,550","16,763,900"
"Mar 19, 2018",27.17,29.68,26.03,29.43,"2,003,930","15,236,000"
"Mar 18, 2018",27.87,28.31,23.93,27.29,"151,671","15,627,000"
"Mar 17, 2018",27.76,29.52,26.73,27.95,"1,418,390","15,567,300"
"Mar 16, 2018",27.83,28.60,26.42,27.31,"34,480","15,607,300"
"Mar 15, 2018",29.54,30.05,26.23,28.00,"72,313","16,565,000"
"Mar 14, 2018",32.39,33.77,28.63,29.79,"2,241,160","18,162,900"
"Mar 13, 2018",34.71,35.78,31.04,33.02,"193,612","19,464,200"
"Mar 12, 2018",35.17,37.12,33.44,34.95,"117,683","19,719,700"
"Mar 11, 2018",30.95,36.70,29.58,35.28,"2,318,060","17,352,400"
"Mar 10, 2018",31.88,34.45,30.80,30.95,"57,110","17,875,500"
"Mar 09, 2018",31.06,35.11,28.61,32.05,"4,975,330","17,416,900"
"Mar 08, 2018",34.37,35.15,30.36,31.26,"70,144","19,271,600"
"Mar 07, 2018",39.62,40.04,32.05,34.21,"89,719","22,217,400"
"Mar 06, 2018",43.41,43.78,38.45,39.68,"87,534","24,341,700"
"Mar 05, 2018",44.37,45.43,43.45,43.54,"102,395","24,877,700"
"Mar 04, 2018",45.08,45.59,43.26,44.37,"100,180","25,277,500"
"Mar 03, 2018",40.41,50.14,40.41,45.31,"670,215","22,657,500"
"Mar 02, 2018",39.82,41.17,38.83,40.87,"73,174","22,328,600"
"Mar 01, 2018",35.92,40.32,35.65,39.23,"83,120","20,140,700"
"Feb 28, 2018",39.34,40.72,35.76,35.96,"162,081","22,055,300"
"Feb 27, 2018",37.72,40.13,37.46,39.38,"48,871","21,145,200"
"Feb 26, 2018",36.57,39.32,35.33,37.61,"80,725","20,502,800"
"Feb 25, 2018",37.05,37.99,35.26,36.52,"75,125","20,770,700"
"Feb 24, 2018",39.88,40.36,35.57,37.10,"43,648","22,361,100"
"Feb 23, 2018",36.57,41.51,35.13,38.99,"150,321","20,505,200"
"Feb 22, 2018",40.11,41.86,36.55,36.61,"210,547","22,488,100"
