Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",2.65,2.81,1.88,2.11,"43,482","9,515,440"
"Mar 25, 2018",2.42,3.07,2.39,2.65,"179,440","8,679,920"
"Mar 24, 2018",2.65,2.66,2.44,2.45,"53,510","9,520,160"
"Mar 23, 2018",2.46,2.67,2.35,2.61,"57,497","8,825,170"
"Mar 22, 2018",2.78,3.60,2.39,2.44,"63,547","9,998,670"
"Mar 21, 2018",2.36,2.85,2.35,2.78,"106,050","8,461,460"
"Mar 20, 2018",2.04,2.94,1.96,2.35,"98,004","7,326,370"
"Mar 19, 2018",1.52,3.15,1.52,2.01,"56,109","5,477,830"
"Mar 18, 2018",1.22,2.96,1.15,1.53,"40,951","4,394,940"
"Mar 17, 2018",2.59,3.18,1.18,1.22,"28,450","9,287,990"
"Mar 16, 2018",2.54,2.67,2.45,2.58,"69,970","9,131,690"
"Mar 15, 2018",2.54,2.64,2.41,2.55,"70,408","9,129,380"
"Mar 14, 2018",3.31,3.40,2.46,2.54,"74,987","11,903,500"
"Mar 13, 2018",3.30,3.46,3.22,3.32,"76,820","11,839,100"
"Mar 12, 2018",3.66,3.80,3.19,3.31,"64,766","13,158,100"
"Mar 11, 2018",3.38,3.82,3.26,3.65,"64,823","12,150,300"
"Mar 10, 2018",3.54,3.66,3.36,3.40,"56,947","12,726,200"
"Mar 09, 2018",3.59,3.64,3.20,3.54,"60,590","12,895,900"
"Mar 08, 2018",3.86,4.57,3.48,3.62,"58,332","13,860,900"
"Mar 07, 2018",4.52,4.63,3.62,3.86,"73,609","16,223,200"
"Mar 06, 2018",5.04,5.11,4.49,4.52,"50,024","18,096,000"
"Mar 05, 2018",4.93,5.14,4.50,5.05,"65,427","17,725,100"
"Mar 04, 2018",4.89,4.93,4.58,4.93,"55,612","17,576,000"
"Mar 03, 2018",4.81,5.31,4.81,4.90,"64,029","17,275,100"
"Mar 02, 2018",4.74,4.93,4.70,4.82,"51,923","17,014,400"
"Mar 01, 2018",5.10,5.18,4.56,4.73,"55,527","18,322,100"
"Feb 28, 2018",5.56,5.70,5.09,5.10,"65,278","19,979,500"
"Feb 27, 2018",5.40,5.81,5.31,5.56,"90,000","19,413,500"
"Feb 26, 2018",5.87,6.01,5.28,5.40,"76,686","21,079,000"
"Feb 25, 2018",5.93,7.36,5.67,5.87,"76,561","21,288,100"
"Feb 24, 2018",6.27,6.48,5.74,5.93,"57,918","22,540,700"
"Feb 23, 2018",6.06,7.84,5.89,6.25,"57,147","21,783,300"
"Feb 22, 2018",7.28,7.50,6.05,6.05,"56,281","26,161,100"
"Feb 21, 2018",7.93,7.93,7.14,7.32,"81,309","28,475,600"
"Feb 20, 2018",7.89,8.30,7.82,7.91,"85,473","28,359,800"
"Feb 19, 2018",7.06,7.95,7.03,7.88,"71,103","25,378,800"
"Feb 18, 2018",7.58,7.66,6.89,7.10,"42,544","27,230,000"
"Feb 17, 2018",7.17,8.88,7.17,7.57,"91,359","25,759,500"
"Feb 16, 2018",7.15,8.31,6.83,7.22,"84,137","25,683,200"
"Feb 15, 2018",6.90,8.37,6.73,7.17,"74,113","24,785,000"
"Feb 14, 2018",6.27,6.94,6.25,6.92,"69,248","22,515,000"
"Feb 13, 2018",7.00,7.04,5.92,6.27,"57,958","25,159,000"
"Feb 12, 2018",6.50,8.41,5.97,6.98,"70,697","23,367,600"
"Feb 11, 2018",6.27,7.39,6.13,6.48,"74,449","22,530,400"
"Feb 10, 2018",5.95,7.47,5.63,6.29,"68,954","21,383,600"
"Feb 09, 2018",5.45,6.12,5.11,5.95,"61,503","19,588,700"
"Feb 08, 2018",5.80,6.81,5.44,5.45,"60,058","20,852,800"
"Feb 07, 2018",6.63,6.84,5.52,5.76,"81,360","23,810,300"
"Feb 06, 2018",5.62,6.75,4.73,6.69,"240,707","20,200,100"
"Feb 05, 2018",7.02,7.74,5.29,5.61,"166,412","25,234,800"
"Feb 04, 2018",9.43,9.44,6.90,7.09,"66,854","33,893,300"
"Feb 03, 2018",7.64,10.11,7.50,9.26,"132,591","27,452,800"
"Feb 02, 2018",8.10,8.11,6.71,7.62,"117,950","29,105,200"
"Feb 01, 2018",9.02,10.27,7.87,8.12,"169,045","32,395,900"
"Jan 31, 2018",8.25,10.39,8.00,9.02,"134,528","29,647,200"
"Jan 30, 2018",9.78,11.51,8.23,8.25,"155,658","35,137,900"
"Jan 29, 2018",10.78,11.29,9.66,9.84,"183,363","38,738,800"
"Jan 28, 2018",11.34,12.81,10.33,10.79,"466,863","40,744,200"
"Jan 27, 2018",7.78,25.65,7.20,11.28,"3,335,090","27,935,400"
"Jan 26, 2018",7.88,10.83,6.64,7.78,"791,829","28,309,400"
"Jan 25, 2018",8.97,9.42,7.85,7.89,"194,571","32,222,400"
"Jan 24, 2018",8.04,8.97,7.65,8.85,"87,038","28,885,800"
"Jan 23, 2018",7.44,8.32,6.71,8.04,"79,835","26,731,300"
"Jan 22, 2018",7.91,8.27,7.06,7.46,"81,392","28,405,800"
"Jan 21, 2018",8.67,8.67,7.75,7.82,"29,049","31,132,900"
"Jan 20, 2018",8.10,9.17,8.01,8.65,"33,716","29,081,700"
"Jan 19, 2018",8.20,8.60,7.68,8.02,"42,728","29,454,700"
"Jan 18, 2018",8.02,9.33,7.66,8.28,"79,330","28,811,900"
"Jan 17, 2018",8.31,8.86,6.80,7.99,"85,749","29,864,100"
"Jan 16, 2018",11.32,11.32,7.79,8.35,"75,586","40,668,400"
"Jan 15, 2018",11.62,12.85,10.84,11.31,"100,106","41,749,800"
"Jan 14, 2018",11.49,12.52,10.58,11.70,"97,297","41,261,700"
"Jan 13, 2018",10.78,12.02,10.63,11.61,"78,495","38,724,400"
"Jan 12, 2018",10.31,10.82,9.84,10.79,"65,134","37,041,100"
"Jan 11, 2018",11.08,11.56,9.84,10.24,"109,716","39,817,300"
"Jan 10, 2018",10.64,11.36,10.31,11.10,"156,259","38,228,600"
"Jan 09, 2018",10.23,12.88,10.08,10.63,"230,728","36,743,300"
"Jan 08, 2018",9.14,13.07,8.76,10.20,"296,381","32,851,700"
"Jan 07, 2018",8.99,9.45,8.39,9.15,"123,601","32,311,500"
"Jan 06, 2018",8.52,9.20,8.44,9.00,"92,562","30,605,100"
"Jan 05, 2018",9.05,10.63,8.28,8.47,"155,770","32,512,000"
"Jan 04, 2018",8.87,9.94,8.55,9.05,"133,071","46,653,000"
"Jan 03, 2018",9.61,9.61,8.63,8.85,"126,275","50,530,700"
"Jan 02, 2018",9.16,10.23,8.68,9.64,"158,920","48,180,400"
"Jan 01, 2018",10.15,10.15,8.72,9.16,"68,835","53,394,300"
"Dec 31, 2017",10.12,10.61,9.40,10.12,"112,671","53,227,000"
"Dec 30, 2017",11.00,11.30,9.70,10.35,"85,451","54,429,000"
"Dec 29, 2017",12.12,12.39,10.74,11.02,"107,129","59,982,900"
"Dec 28, 2017",13.01,13.91,10.97,12.16,"297,006","64,406,100"
"Dec 27, 2017",8.15,22.66,7.73,12.47,"708,435","40,359,100"
"Dec 26, 2017",7.31,8.80,7.19,8.15,"107,558","36,182,000"
"Dec 25, 2017",7.00,7.63,6.77,7.32,"45,427","34,629,800"
"Dec 24, 2017",7.43,7.78,6.24,6.93,"50,645","36,793,800"
"Dec 23, 2017",6.73,8.48,6.72,7.36,"65,090","33,313,800"
"Dec 22, 2017",8.42,8.50,5.59,6.87,"93,523","41,684,800"
"Dec 21, 2017",7.98,8.54,7.67,8.47,"119,339","39,480,000"
"Dec 20, 2017",8.37,8.66,7.32,7.96,"99,098","41,414,300"
"Dec 19, 2017",9.10,9.71,8.20,8.37,"106,487","45,023,000"
"Dec 18, 2017",10.34,10.36,8.87,9.09,"89,240","47,908,200"
"Dec 17, 2017",10.22,10.92,9.27,10.31,"114,864","47,372,200"
"Dec 16, 2017",9.85,10.78,9.83,10.22,"162,071","45,647,400"
"Dec 15, 2017",10.38,11.24,9.78,9.80,"129,122","48,112,700"
"Dec 14, 2017",10.70,11.31,10.16,10.37,"158,124","49,597,400"
"Dec 13, 2017",12.12,12.37,10.46,10.59,"189,293","56,175,700"
"Dec 12, 2017",11.44,12.79,10.99,12.12,"148,430","53,045,500"
"Dec 11, 2017",12.74,14.18,10.96,11.58,"241,773","54,988,900"
"Dec 10, 2017",14.04,14.63,12.14,12.82,"161,020","60,588,400"
"Dec 09, 2017",17.50,19.23,13.58,14.24,"431,775","75,557,100"
"Dec 08, 2017",8.86,18.75,7.70,15.44,"775,529","38,264,800"
"Dec 07, 2017",9.56,10.66,7.08,8.83,"348,937","41,252,500"
"Dec 06, 2017",12.41,12.89,8.56,9.58,"286,785","53,477,800"
"Dec 05, 2017",11.63,16.92,11.04,12.80,"373,142","50,146,100"
"Dec 04, 2017",13.34,14.05,9.40,11.37,"366,954","53,223,600"
"Dec 03, 2017",13.61,15.72,11.90,13.24,"375,995","54,278,000"
"Dec 02, 2017",16.97,18.32,12.56,13.60,"380,574","67,679,600"
"Dec 01, 2017",16.75,19.00,15.71,16.98,"340,310","43,181,500"
"Nov 30, 2017",17.07,18.38,14.72,16.84,"447,589","43,984,900"
"Nov 29, 2017",20.66,21.09,15.62,16.63,"629,989","53,247,300"
"Nov 28, 2017",20.84,21.67,17.24,21.13,"1,275,750","53,710,900"
"Nov 27, 2017",23.10,25.62,18.71,20.82,"1,616,410","59,528,600"
"Nov 26, 2017",25.78,28.31,22.17,23.13,"3,655,190","66,457,700"
"Nov 25, 2017",19.10,31.86,19.00,25.86,"6,779,220","49,223,000"
"Nov 24, 2017",16.93,20.38,16.49,19.08,"4,389,790","43,624,400"
"Nov 23, 2017",15.83,18.48,15.81,17.02,"4,357,250","40,792,400"
"Nov 22, 2017",19.12,22.06,15.09,15.16,"4,295,210","32,672,400"
"Nov 21, 2017",28.10,28.19,14.92,19.44,"5,678,160","48,019,600"
"Nov 20, 2017",36.56,37.54,27.47,28.16,"5,619,530","62,487,700"
"Nov 19, 2017",34.81,39.76,32.66,38.26,"7,825,690","59,488,300"
"Nov 18, 2017",35.95,40.07,27.88,34.86,"7,546,300","61,442,000"
"Nov 17, 2017",48.53,50.57,11.92,36.67,"14,911,200","82,943,000"
"Nov 16, 2017",48.00,50.77,45.44,49.03,"13,735,000","82,031,600"
"Nov 15, 2017",53.40,57.16,44.73,47.91,"9,864,870","73,439,600"
"Nov 14, 2017",41.38,56.23,41.18,53.21,"17,748,600","56,907,300"
"Nov 13, 2017",36.34,45.97,33.28,41.26,"12,814,400","49,981,700"
"Nov 12, 2017",26.62,37.66,22.49,36.90,"14,833,500","36,613,200"
"Nov 11, 2017",25.59,27.85,23.89,26.68,"11,586,400","35,186,300"
"Nov 10, 2017",28.56,30.81,25.05,25.67,"11,214,100","39,272,200"
"Nov 09, 2017",30.36,32.37,21.99,28.49,"10,571,600","41,755,000"
"Nov 08, 2017",34.96,44.58,22.85,30.39,"2,639,010","48,072,800"
"Nov 07, 2017",13.86,35.07,13.86,35.07,"13,561,800",-
"Nov 06, 2017",9.75,15.75,9.13,13.88,"5,403,300",-
"Nov 05, 2017",5.94,9.92,5.88,9.89,"5,052,850",-
"Nov 04, 2017",5.49,6.31,5.29,5.94,"2,967,070",-
"Nov 03, 2017",5.29,6.11,4.87,5.23,"2,375,510",-
"Nov 02, 2017",5.86,6.62,5.09,5.21,"2,244,530",-
"Nov 01, 2017",7.63,7.99,4.88,5.34,"1,929,840",-
