Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",0.427753,0.433323,0.353500,0.391997,"3,997","12,832,600"
"Mar 25, 2018",0.426583,0.445247,0.419778,0.427550,"1,291","12,797,500"
"Mar 24, 2018",0.425395,0.449569,0.417716,0.428992,"3,641","12,761,800"
"Mar 23, 2018",0.417883,0.438012,0.394447,0.422793,"4,462","12,536,500"
"Mar 22, 2018",0.439242,0.474186,0.381338,0.417883,"88,300","13,177,300"
"Mar 21, 2018",0.384911,0.452809,0.367124,0.436900,"7,252","11,547,300"
"Mar 20, 2018",0.345241,0.404236,0.343628,0.384890,"2,461","10,357,200"
"Mar 19, 2018",0.279392,0.356325,0.272581,0.343911,"2,418","8,381,750"
"Mar 18, 2018",0.283308,0.294901,0.238220,0.281493,"16,386","8,499,230"
"Mar 17, 2018",0.337146,0.337496,0.282996,0.282996,"2,826","10,114,400"
"Mar 16, 2018",0.323480,0.344179,0.298199,0.338128,"5,749","9,704,410"
"Mar 15, 2018",0.352060,0.372542,0.315395,0.323543,"42,577","10,561,800"
"Mar 14, 2018",0.381342,0.433781,0.339211,0.351031,"2,406","11,440,300"
"Mar 13, 2018",0.373588,0.390394,0.366717,0.382149,"11,498","11,207,600"
"Mar 12, 2018",0.374433,0.403329,0.352190,0.375132,"24,803","11,233,000"
"Mar 11, 2018",0.340009,0.387756,0.327720,0.374236,"10,293","10,200,300"
"Mar 10, 2018",0.357236,0.393420,0.342473,0.342473,"5,589","10,717,100"
"Mar 09, 2018",0.453936,0.455900,0.325697,0.358916,"48,018","13,618,100"
"Mar 08, 2018",0.453073,0.493800,0.413506,0.453976,"6,394","13,592,200"
"Mar 07, 2018",0.547511,0.583085,0.441535,0.453640,"11,908","16,425,300"
"Mar 06, 2018",0.489197,0.566846,0.460006,0.547275,"97,769","14,675,900"
"Mar 05, 2018",0.516251,0.517592,0.487839,0.489292,"5,575","15,487,500"
"Mar 04, 2018",0.517180,0.526399,0.467748,0.516434,"13,173","15,515,400"
"Mar 03, 2018",0.491834,0.537044,0.491834,0.518280,"2,243","14,755,000"
"Mar 02, 2018",0.536116,0.563385,0.483771,0.491948,"9,192","16,083,500"
"Mar 01, 2018",0.533949,0.588741,0.524011,0.535129,"9,287","16,018,500"
"Feb 28, 2018",0.564920,0.618188,0.534072,0.534072,"1,868","16,947,600"
"Feb 27, 2018",0.543260,0.593759,0.518738,0.564919,"2,648","16,297,800"
"Feb 26, 2018",0.510334,0.576367,0.498605,0.543370,"34,817","15,310,000"
"Feb 25, 2018",0.514900,0.522067,0.481001,0.511464,"12,364","15,447,000"
"Feb 24, 2018",0.580811,0.587048,0.489128,0.515085,"9,367","17,424,300"
"Feb 23, 2018",0.537999,0.609294,0.513162,0.580935,"1,473","16,140,000"
"Feb 22, 2018",0.578300,0.620622,0.529833,0.540160,"4,642","17,349,000"
"Feb 21, 2018",0.593633,0.621529,0.553645,0.579309,"8,399","17,809,000"
"Feb 20, 2018",0.655434,0.665525,0.591458,0.592944,"9,939","19,663,000"
"Feb 19, 2018",0.591514,0.661205,0.591129,0.653029,"8,775","17,745,400"
"Feb 18, 2018",0.632250,0.680208,0.591367,0.595331,"23,473","18,967,500"
"Feb 17, 2018",0.620341,0.666857,0.602935,0.631295,"97,427","18,610,200"
"Feb 16, 2018",0.633222,0.645433,0.575946,0.620158,"11,960","18,996,700"
"Feb 15, 2018",0.640233,0.652249,0.597803,0.635258,"14,008","19,207,000"
"Feb 14, 2018",0.581290,0.644131,0.566603,0.640743,"8,438","17,438,700"
"Feb 13, 2018",0.593477,0.607116,0.542425,0.580413,"8,116","17,804,300"
"Feb 12, 2018",0.517988,0.631668,0.517988,0.611731,"51,718","15,539,600"
