Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.181128,0.181135,0.158962,0.177070,"3,163,090","52,258,300"
"Mar 22, 2018",0.188520,0.221156,0.165492,0.181589,"6,579,730","54,390,900"
"Mar 21, 2018",0.165395,0.196458,0.164895,0.188191,"3,901,860","47,719,000"
"Mar 20, 2018",0.157120,0.169929,0.146288,0.164448,"2,081,440","45,331,600"
"Mar 19, 2018",0.149055,0.160963,0.141352,0.155973,"2,219,590","43,004,600"
"Mar 18, 2018",0.150021,0.150021,0.118430,0.149102,"3,628,720","43,283,300"
"Mar 17, 2018",0.170755,0.179715,0.149768,0.150658,"2,390,450","49,265,600"
"Mar 16, 2018",0.171852,0.185038,0.157541,0.171189,"3,860,130","49,582,100"
"Mar 15, 2018",0.166533,0.172778,0.149134,0.172533,"2,457,850","48,047,300"
"Mar 14, 2018",0.195194,0.208979,0.161247,0.165170,"2,982,420","56,316,400"
"Mar 13, 2018",0.198493,0.208601,0.191299,0.195679,"1,982,400","57,268,300"
"Mar 12, 2018",0.213487,0.221048,0.190821,0.200113,"1,855,860","61,594,300"
"Mar 11, 2018",0.191558,0.214070,0.184129,0.213939,"1,365,760","55,267,600"
"Mar 10, 2018",0.204923,0.224002,0.191221,0.192398,"1,603,580","59,123,500"
"Mar 09, 2018",0.207988,0.209700,0.171835,0.205138,"2,727,690","60,007,700"
"Mar 08, 2018",0.240714,0.247060,0.202261,0.208949,"2,395,360","69,449,900"
"Mar 07, 2018",0.291135,0.293263,0.211387,0.240469,"3,746,100","83,994,600"
"Mar 06, 2018",0.342066,0.342066,0.273736,0.289741,"4,747,000","98,688,400"
"Mar 05, 2018",0.299219,0.358667,0.296951,0.336395,"10,855,000","81,653,800"
"Mar 04, 2018",0.298440,0.315910,0.274049,0.298232,"3,818,880","81,441,000"
"Mar 03, 2018",0.278074,0.325948,0.277022,0.301252,"7,491,730","75,883,400"
"Mar 02, 2018",0.249457,0.283892,0.244288,0.277108,"4,280,580","68,074,300"
"Mar 01, 2018",0.239221,0.255765,0.236385,0.248703,"2,248,100","65,280,800"
"Feb 28, 2018",0.259102,0.264400,0.237089,0.238708,"1,765,810","70,706,200"
"Feb 27, 2018",0.252077,0.280377,0.248734,0.259898,"3,710,190","68,789,000"
"Feb 26, 2018",0.249785,0.257518,0.238980,0.250769,"2,094,040","68,163,600"
"Feb 25, 2018",0.263551,0.267721,0.244241,0.249729,"2,556,470","71,920,200"
"Feb 24, 2018",0.292904,0.324318,0.251819,0.264777,"10,964,600","79,930,400"
"Feb 23, 2018",0.236424,0.372303,0.231165,0.289872,"15,248,000","64,517,700"
"Feb 22, 2018",0.260175,0.282565,0.235137,0.235746,"1,981,780","70,999,000"
