Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",0.841817,0.946045,0.841817,0.901402,"528,038","59,993,700"
"Mar 20, 2018",0.832074,0.895317,0.789673,0.839385,"404,468","59,299,300"
"Mar 19, 2018",0.807876,0.868575,0.777266,0.815247,"426,411","57,574,800"
"Mar 18, 2018",0.762384,0.837238,0.661551,0.823220,"612,454","54,332,700"
"Mar 17, 2018",0.850164,0.853498,0.715672,0.771576,"304,811","60,588,600"
"Mar 16, 2018",0.789103,0.897822,0.738681,0.839548,"694,336","56,237,000"
"Mar 15, 2018",0.837430,0.849027,0.739525,0.794507,"654,366","59,681,100"
"Mar 14, 2018",0.964331,0.993602,0.787121,0.837089,"719,832","68,724,900"
"Mar 13, 2018",0.961459,1.01,0.932552,0.955810,"453,989","68,520,200"
"Mar 12, 2018",0.938777,1.11,0.913497,0.966493,"739,051","66,903,800"
"Mar 11, 2018",0.808506,0.956362,0.773017,0.938681,"888,206","57,619,800"
"Mar 10, 2018",0.896191,0.989139,0.819571,0.822229,"723,807","63,868,800"
"Mar 09, 2018",0.870580,0.897244,0.728663,0.890775,"1,214,660","62,043,600"
"Mar 08, 2018",0.968046,0.999025,0.840062,0.865128,"826,617","68,989,700"
"Mar 07, 2018",1.07,1.19,0.846525,0.967719,"1,310,550","76,507,900"
"Mar 06, 2018",1.27,1.27,1.06,1.07,"1,044,000","90,553,600"
"Mar 05, 2018",1.28,1.37,1.22,1.27,"997,329","91,350,900"
"Mar 04, 2018",1.31,1.32,1.17,1.28,"936,626","93,023,900"
"Mar 03, 2018",1.38,1.42,1.18,1.31,"1,326,880","98,215,900"
"Mar 02, 2018",1.42,1.46,1.37,1.38,"695,263","101,243,000"
"Mar 01, 2018",1.41,1.56,1.38,1.44,"1,863,740","100,663,000"
"Feb 28, 2018",1.40,1.43,1.33,1.41,"1,032,860","99,306,100"
"Feb 27, 2018",1.43,1.48,1.33,1.41,"982,122","101,271,000"
"Feb 26, 2018",1.26,1.48,1.26,1.42,"1,060,230","89,232,600"
"Feb 25, 2018",1.41,1.46,1.21,1.26,"1,157,330","99,849,200"
"Feb 24, 2018",1.53,1.57,1.35,1.41,"930,961","108,411,000"
"Feb 23, 2018",1.41,1.60,1.37,1.55,"1,152,730","99,468,200"
"Feb 22, 2018",1.46,1.57,1.36,1.41,"1,716,840","103,130,000"
