Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.000261,0.000342,0.000176,0.000212,"5,340","8,480,940"
"Mar 22, 2018",0.000227,0.000343,0.000184,0.000261,"13,269","7,387,350"
"Mar 21, 2018",0.000223,0.000328,0.000222,0.000228,"12,129","7,244,630"
"Mar 20, 2018",0.000258,0.000311,0.000196,0.000223,"13,122","8,387,750"
"Mar 19, 2018",0.000239,0.000327,0.000172,0.000255,"12,036","7,779,560"
"Mar 18, 2018",0.000202,0.000288,0.000195,0.000240,"17,429","6,561,660"
"Mar 17, 2018",0.000273,0.000286,0.000197,0.000202,"2,596","8,879,330"
"Mar 16, 2018",0.000313,0.000341,0.000228,0.000273,"6,735","10,174,400"
"Mar 15, 2018",0.000236,0.000324,0.000224,0.000314,"8,268","7,662,800"
"Mar 14, 2018",0.000274,0.000292,0.000177,0.000236,"15,518","8,913,730"
"Mar 13, 2018",0.000273,0.000330,0.000216,0.000274,"4,787","8,862,310"
"Mar 12, 2018",0.000292,0.000301,0.000193,0.000274,"7,560","9,498,030"
"Mar 11, 2018",0.000285,0.000346,0.000212,0.000293,"23,029","9,279,100"
"Mar 10, 2018",0.000359,0.000375,0.000207,0.000286,"25,657","11,675,600"
"Mar 09, 2018",0.000361,0.000370,0.000262,0.000359,"49,701","11,726,700"
"Mar 08, 2018",0.000382,0.000401,0.000278,0.000363,"19,752","12,423,600"
"Mar 07, 2018",0.000322,0.000428,0.000291,0.000384,"9,802","10,453,600"
"Mar 06, 2018",0.000410,0.000452,0.000319,0.000322,"8,048","13,342,400"
"Mar 05, 2018",0.000440,0.000463,0.000342,0.000411,"7,132","14,295,800"
"Mar 04, 2018",0.000343,0.000456,0.000335,0.000440,"26,904","11,139,000"
"Mar 03, 2018",0.000440,0.000457,0.000339,0.000343,"7,460","14,293,800"
"Mar 02, 2018",0.000340,0.000445,0.000325,0.000440,"11,046","11,068,600"
"Mar 01, 2018",0.000310,0.000438,0.000308,0.000341,"18,806","10,092,700"
"Feb 28, 2018",0.000427,0.000501,0.000343,0.000399,"37,801","13,869,700"
"Feb 27, 2018",0.000418,0.000512,0.000370,0.000480,"20,373","13,602,300"
"Feb 26, 2018",0.000466,0.000486,0.000365,0.000419,"24,058","15,145,900"
"Feb 25, 2018",0.000437,0.000477,0.000339,0.000465,"36,628","14,193,900"
"Feb 24, 2018",0.000490,0.000525,0.000327,0.000437,"73,917","15,929,800"
"Feb 23, 2018",0.000426,0.000507,0.000391,0.000491,"42,752","13,846,600"
"Feb 22, 2018",0.000448,0.000543,0.000399,0.000426,"17,452","14,570,100"
