Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.054224,0.057109,0.043467,0.046554,"69,759","16,518,100"
"Mar 05, 2018",0.058078,0.065276,0.050511,0.052647,"151,262","17,692,200"
"Mar 04, 2018",0.052198,0.063511,0.045844,0.056137,"168,070","15,900,900"
"Mar 03, 2018",0.055592,0.058032,0.050869,0.052248,"55,558","16,934,700"
"Mar 02, 2018",0.054007,0.058363,0.051245,0.055190,"78,667","16,437,000"
"Mar 01, 2018",0.056828,0.060341,0.053704,0.054079,"113,838","12,074,500"
"Feb 28, 2018",0.067501,0.073049,0.056744,0.056798,"144,914","14,342,200"
"Feb 27, 2018",0.071704,0.077727,0.066668,0.068795,"192,926","15,055,900"
"Feb 26, 2018",0.073260,0.076751,0.068678,0.073853,"231,358","15,382,600"
"Feb 25, 2018",0.071128,0.073205,0.062637,0.073205,"167,578","14,935,100"
"Feb 24, 2018",0.081782,0.082845,0.069068,0.071606,"141,212","17,172,000"
"Feb 23, 2018",0.073137,0.083492,0.067360,0.081868,"186,219","15,356,800"
"Feb 22, 2018",0.070889,0.083675,0.070762,0.073121,"178,134","14,884,900"
"Feb 21, 2018",0.085229,0.085229,0.070709,0.070987,"362,961","17,045,700"
"Feb 20, 2018",0.100029,0.103234,0.084876,0.085335,"598,593","20,005,700"
"Feb 19, 2018",0.089539,0.102889,0.084675,0.099314,"429,849","17,907,800"
"Feb 18, 2018",0.086089,0.089353,0.077162,0.088664,"414,492","17,217,800"
"Feb 17, 2018",0.083342,0.099915,0.081180,0.083991,"848,710","16,668,400"
"Feb 16, 2018",0.076922,0.099876,0.074951,0.083373,"1,766,850","15,384,500"
"Feb 15, 2018",0.062827,0.077976,0.057238,0.076423,"425,987","12,565,400"
"Feb 14, 2018",0.046575,0.066444,0.046575,0.063578,"334,286","9,315,040"
"Feb 13, 2018",0.052583,0.060656,0.046568,0.047169,"353,568","10,516,700"
"Feb 12, 2018",0.040667,0.057272,0.039982,0.052505,"467,926","8,133,450"
"Feb 11, 2018",0.047414,0.049255,0.034436,0.040493,"38,167","9,482,820"
"Feb 10, 2018",0.043193,0.066499,0.042281,0.047491,"172,137","8,638,580"
"Feb 09, 2018",0.041007,0.047724,0.038280,0.043208,"42,768","8,201,440"
"Feb 08, 2018",0.036880,0.047276,0.036073,0.040956,"62,386",-
"Feb 07, 2018",0.038158,0.050409,0.036728,0.036975,"37,140",-
"Feb 06, 2018",0.038875,0.041146,0.021861,0.040682,"36,940",-
"Feb 05, 2018",0.046311,0.049306,0.031195,0.038737,"39,947",-
"Feb 04, 2018",0.059793,0.063097,0.043614,0.046765,"40,159",-
"Feb 03, 2018",0.051324,0.065062,0.047419,0.059810,"71,711",-
"Feb 02, 2018",0.049522,0.073814,0.044728,0.051080,"90,088",-
