Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.944964,0.956796,0.807854,0.926620,"65,656","17,902,900"
"Mar 22, 2018",0.986870,1.00,0.937415,0.944117,"59,381","18,665,600"
"Mar 21, 2018",0.934777,1.04,0.932841,0.980562,"47,786","17,653,800"
"Mar 20, 2018",0.863530,0.954250,0.843537,0.926331,"45,929","16,282,100"
"Mar 19, 2018",0.786350,0.903515,0.745820,0.864322,"85,241","14,803,000"
"Mar 18, 2018",0.665389,0.821376,0.604935,0.795846,"128,834","12,506,300"
"Mar 17, 2018",0.781744,0.813954,0.663378,0.667011,"68,219","14,671,500"
"Mar 16, 2018",0.772366,0.844033,0.743835,0.780458,"25,263","14,471,600"
"Mar 15, 2018",0.821693,0.833454,0.766486,0.792969,"53,291","15,372,900"
"Mar 14, 2018",0.958300,0.999381,0.803571,0.822062,"95,221","17,897,600"
"Mar 13, 2018",0.998308,1.01,0.925475,0.958169,"39,195","18,616,800"
"Mar 12, 2018",1.09,1.12,0.947879,1.00,"46,027","20,356,300"
"Mar 11, 2018",1.01,1.12,0.965075,1.10,"45,905","18,721,700"
"Mar 10, 2018",1.07,1.19,1.00,1.01,"96,852","19,779,500"
"Mar 09, 2018",0.992629,1.07,0.874567,1.07,"78,853","18,392,800"
"Mar 08, 2018",1.07,1.10,0.945151,0.999609,"33,151","19,798,900"
"Mar 07, 2018",1.22,1.26,1.04,1.07,"51,729","22,534,300"
"Mar 06, 2018",1.22,1.38,1.17,1.22,"156,138","22,568,800"
"Mar 05, 2018",1.44,1.45,1.23,1.23,"109,128","26,601,100"
"Mar 04, 2018",1.52,1.59,1.36,1.44,"108,845","27,944,000"
"Mar 03, 2018",1.51,1.61,1.47,1.53,"114,710","27,752,500"
"Mar 02, 2018",1.43,1.58,1.35,1.52,"174,805","26,121,500"
"Mar 01, 2018",1.38,1.52,1.36,1.43,"58,240","25,284,700"
"Feb 28, 2018",1.55,1.62,1.37,1.38,"116,505","28,238,700"
"Feb 27, 2018",1.63,1.70,1.51,1.55,"131,776","29,720,400"
"Feb 26, 2018",1.55,1.68,1.45,1.65,"127,971","28,168,600"
"Feb 25, 2018",1.42,1.83,1.41,1.55,"396,770","25,831,800"
"Feb 24, 2018",1.50,1.63,1.38,1.42,"71,249","27,126,700"
"Feb 23, 2018",1.45,1.57,1.40,1.52,"85,885","26,335,800"
"Feb 22, 2018",1.59,1.66,1.41,1.44,"120,160","28,808,100"
