Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.828507,0.846446,0.743484,0.821837,"54,489","68,351,800"
"Mar 22, 2018",0.851692,0.877490,0.764712,0.828648,"58,062","70,264,600"
"Mar 21, 2018",0.882611,0.907073,0.827126,0.849611,"50,700","72,815,400"
"Mar 20, 2018",0.885950,0.893640,0.790949,0.877222,"37,100","73,090,900"
"Mar 19, 2018",0.704223,0.879956,0.663278,0.878931,"63,307","58,098,400"
"Mar 18, 2018",0.754583,0.764820,0.590359,0.707055,"103,077","62,253,100"
"Mar 17, 2018",0.872610,0.904938,0.729207,0.755264,"70,820","71,990,300"
"Mar 16, 2018",0.884949,0.921102,0.824805,0.872047,"99,097","73,008,300"
"Mar 15, 2018",0.884993,0.908258,0.798466,0.885978,"84,188","73,011,900"
"Mar 14, 2018",1.10,1.11,0.868604,0.884367,"95,058","90,863,700"
"Mar 13, 2018",1.20,1.25,0.965756,1.10,"161,966","98,832,500"
"Mar 12, 2018",1.34,1.37,1.13,1.20,"171,612","110,280,000"
"Mar 11, 2018",1.28,1.48,1.20,1.34,"211,398","105,476,000"
"Mar 10, 2018",1.23,1.44,1.05,1.28,"361,382","101,558,000"
"Mar 09, 2018",0.964556,1.25,0.893071,1.23,"538,713","79,575,800"
"Mar 08, 2018",1.03,1.09,0.712848,0.966330,"402,962","84,745,800"
"Mar 07, 2018",1.27,1.27,0.982300,1.03,"110,683","104,544,000"
"Mar 06, 2018",1.16,1.27,1.08,1.27,"77,775","95,447,600"
"Mar 05, 2018",1.26,1.36,1.14,1.15,"41,502","104,273,000"
"Mar 04, 2018",1.31,1.31,1.10,1.26,"191,825","107,975,000"
"Mar 03, 2018",1.01,1.35,0.961861,1.31,"139,732","83,388,000"
"Mar 02, 2018",1.04,1.04,0.874954,1.01,"187,790","86,035,000"
"Mar 01, 2018",1.03,1.10,0.876680,1.04,"170,752","85,338,300"
"Feb 28, 2018",1.10,1.13,1.03,1.03,"144,634","90,338,600"
"Feb 27, 2018",1.08,1.18,0.983603,1.09,"126,868","89,285,900"
"Feb 26, 2018",1.15,1.27,1.04,1.17,"87,934","94,586,100"
"Feb 25, 2018",1.01,1.25,1.01,1.15,"60,765","83,511,900"
"Feb 24, 2018",1.12,1.21,1.01,1.01,"35,243","92,037,900"
"Feb 23, 2018",1.09,1.12,0.990724,1.12,"29,789","89,624,400"
"Feb 22, 2018",1.08,1.18,0.977390,1.08,"339,474","89,353,100"
