Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.97,2.07,1.89,2.07,"437,730","48,549,800"
"Mar 22, 2018",2.03,2.06,1.93,1.97,"453,765","50,013,000"
"Mar 21, 2018",1.96,2.08,1.95,2.03,"518,795","48,331,700"
"Mar 20, 2018",1.84,1.97,1.81,1.96,"475,012","45,438,600"
"Mar 19, 2018",1.75,1.84,1.74,1.83,"444,060","43,252,300"
"Mar 18, 2018",1.75,1.77,1.63,1.76,"384,948","43,183,400"
"Mar 17, 2018",1.90,1.90,1.74,1.76,"347,506","46,776,100"
"Mar 16, 2018",1.88,1.92,1.84,1.90,"460,443","46,434,200"
"Mar 15, 2018",1.88,1.92,1.80,1.88,"474,302","46,309,600"
"Mar 14, 2018",2.14,2.19,1.84,1.88,"510,926","52,844,000"
"Mar 13, 2018",2.32,2.37,2.12,2.15,"814,637","57,288,100"
"Mar 12, 2018",2.53,2.58,2.32,2.33,"359,829","62,389,700"
"Mar 11, 2018",2.33,2.57,2.26,2.54,"445,194","57,417,500"
"Mar 10, 2018",2.48,2.52,2.33,2.34,"496,320","61,079,300"
"Mar 09, 2018",2.41,2.50,2.18,2.49,"534,096","59,351,900"
"Mar 08, 2018",2.51,2.57,2.31,2.41,"390,819","61,896,200"
"Mar 07, 2018",2.74,2.76,2.42,2.52,"577,520","67,420,700"
"Mar 06, 2018",3.10,3.10,2.66,2.72,"1,065,200","76,408,100"
"Mar 05, 2018",3.13,3.15,3.06,3.10,"529,196","77,220,600"
"Mar 04, 2018",3.12,3.15,3.02,3.15,"325,667","76,864,800"
"Mar 03, 2018",3.08,3.17,3.08,3.13,"379,751","75,970,200"
"Mar 02, 2018",3.03,3.10,3.01,3.08,"516,402","74,629,000"
"Mar 01, 2018",3.02,3.17,2.95,3.05,"623,715","74,467,200"
"Feb 28, 2018",3.17,3.24,3.00,3.03,"526,618","78,060,400"
"Feb 27, 2018",3.25,3.38,3.16,3.17,"752,534","80,084,500"
"Feb 26, 2018",3.03,3.29,3.01,3.24,"712,803","74,698,700"
"Feb 25, 2018",3.07,3.16,2.96,3.03,"683,301","75,596,900"
"Feb 24, 2018",3.35,3.39,3.01,3.06,"676,676","82,426,700"
"Feb 23, 2018",3.29,3.54,3.21,3.35,"691,403","80,970,500"
"Feb 22, 2018",3.60,3.70,3.26,3.29,"669,832","88,656,200"
