Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",3.88,4.04,3.67,3.86,"1,634,950","216,564,000"
"Mar 22, 2018",4.07,4.20,3.79,3.87,"1,067,960","227,171,000"
"Mar 21, 2018",4.11,4.43,3.88,4.08,"2,363,480","229,496,000"
"Mar 20, 2018",3.79,4.18,3.68,4.13,"1,658,500","211,662,000"
"Mar 19, 2018",3.46,3.79,3.43,3.79,"2,218,540","193,104,000"
"Mar 18, 2018",3.60,3.60,2.92,3.43,"1,409,010","200,961,000"
"Mar 17, 2018",3.86,3.88,3.58,3.61,"476,707","215,078,000"
"Mar 16, 2018",3.94,4.04,3.84,3.86,"1,157,290","219,644,000"
"Mar 15, 2018",3.93,3.98,3.53,3.93,"1,243,430","219,127,000"
"Mar 14, 2018",4.52,4.74,3.88,3.94,"2,207,530","252,244,000"
"Mar 13, 2018",4.43,4.62,4.34,4.53,"1,033,880","247,000,000"
"Mar 12, 2018",4.64,4.82,4.33,4.45,"868,027","258,807,000"
"Mar 11, 2018",4.42,4.74,4.23,4.66,"1,324,660","246,090,000"
"Mar 10, 2018",4.64,4.80,4.42,4.43,"976,307","258,780,000"
"Mar 09, 2018",4.73,4.79,4.20,4.61,"1,782,520","263,628,000"
"Mar 08, 2018",5.05,5.18,4.65,4.77,"2,255,050","281,443,000"
"Mar 07, 2018",5.59,5.68,4.81,5.03,"3,504,570","311,387,000"
"Mar 06, 2018",5.98,5.98,5.52,5.59,"2,120,470","332,991,000"
"Mar 05, 2018",6.14,6.31,5.96,5.98,"2,440,810","342,118,000"
"Mar 04, 2018",6.38,6.51,6.01,6.12,"2,609,320","355,388,000"
"Mar 03, 2018",6.05,6.56,6.04,6.43,"4,322,270","336,667,000"
"Mar 02, 2018",5.86,6.08,5.72,6.05,"2,291,290","326,528,000"
"Mar 01, 2018",5.37,6.05,5.31,5.92,"2,098,160","299,144,000"
"Feb 28, 2018",5.67,5.82,5.34,5.38,"1,811,280","315,462,000"
"Feb 27, 2018",5.44,5.95,5.34,5.68,"3,535,640","302,853,000"
"Feb 26, 2018",5.36,5.48,5.05,5.45,"2,077,750","298,473,000"
"Feb 25, 2018",5.15,5.89,5.04,5.36,"7,002,680","286,743,000"
"Feb 24, 2018",5.28,5.35,4.90,5.17,"1,523,230","293,673,000"
"Feb 23, 2018",5.04,5.37,4.88,5.28,"2,021,340","280,370,000"
"Feb 22, 2018",5.32,5.50,4.85,5.06,"1,376,730","295,706,000"
