Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",2.28,2.52,2.10,2.20,"10,004","9,035,770"
"Mar 25, 2018",2.25,2.40,2.22,2.28,"21,447","8,926,870"
"Mar 24, 2018",2.55,2.63,2.27,2.28,"15,756","10,126,400"
"Mar 23, 2018",2.65,2.65,2.36,2.52,"7,350","10,505,800"
"Mar 22, 2018",2.59,2.69,2.49,2.65,"9,044","9,897,000"
"Mar 21, 2018",2.50,2.76,2.48,2.61,"15,976","9,561,200"
"Mar 20, 2018",2.73,2.73,2.49,2.50,"11,946","10,429,400"
"Mar 19, 2018",2.39,2.72,2.34,2.70,"5,462","9,121,040"
"Mar 18, 2018",2.38,2.47,1.89,2.40,"17,600","9,083,040"
"Mar 17, 2018",2.53,2.63,2.36,2.38,"15,428","9,652,470"
"Mar 16, 2018",2.51,2.68,2.39,2.52,"18,209","9,575,520"
"Mar 15, 2018",2.49,2.52,2.29,2.51,"22,227","9,501,510"
"Mar 14, 2018",2.65,3.00,2.42,2.49,"23,587","10,135,800"
"Mar 13, 2018",2.61,2.75,2.47,2.65,"25,464","9,972,180"
"Mar 12, 2018",2.64,2.83,2.52,2.60,"14,267","10,106,200"
"Mar 11, 2018",2.49,2.73,2.19,2.65,"26,880","9,497,780"
"Mar 10, 2018",2.81,2.96,2.44,2.49,"15,342","10,723,500"
"Mar 09, 2018",2.81,2.85,2.60,2.81,"8,942","10,753,500"
"Mar 08, 2018",3.18,3.24,2.72,2.83,"20,128","12,165,700"
"Mar 07, 2018",3.42,3.88,3.07,3.29,"76,463","13,057,700"
"Mar 06, 2018",3.80,3.80,3.35,3.44,"43,242","14,512,500"
"Mar 05, 2018",4.11,4.28,3.79,3.81,"29,813","15,718,100"
"Mar 04, 2018",4.43,4.47,3.99,4.11,"22,505","16,915,400"
"Mar 03, 2018",4.18,4.60,4.10,4.43,"40,231","15,971,500"
"Mar 02, 2018",4.35,4.74,4.15,4.19,"36,398","16,623,700"
"Mar 01, 2018",3.80,4.42,3.77,4.36,"22,275","14,530,900"
"Feb 28, 2018",3.88,4.47,3.62,3.80,"31,971","14,820,700"
"Feb 27, 2018",4.37,4.75,3.87,3.88,"33,471","16,708,600"
"Feb 26, 2018",3.26,4.39,3.24,4.36,"46,447","12,447,200"
"Feb 25, 2018",3.86,3.96,3.25,3.25,"25,899","14,737,800"
"Feb 24, 2018",3.62,4.58,3.34,3.86,"18,914","13,849,200"
"Feb 23, 2018",3.46,3.86,3.30,3.63,"20,176","13,231,300"
"Feb 22, 2018",3.64,4.02,3.39,3.47,"28,163","13,925,100"
"Feb 21, 2018",4.06,4.07,3.59,3.65,"12,925","15,524,200"
"Feb 20, 2018",5.30,5.54,3.90,3.90,"71,056","20,268,400"
"Feb 19, 2018",4.82,5.64,4.66,5.30,"23,571","18,417,200"
"Feb 18, 2018",5.31,5.62,4.22,4.84,"53,331","20,287,900"
"Feb 17, 2018",5.32,6.13,4.87,5.30,"58,082","20,314,300"
"Feb 16, 2018",5.40,5.66,5.17,5.32,"57,087","20,632,100"
"Feb 15, 2018",5.11,6.29,4.82,5.41,"119,509","19,507,100"
"Feb 14, 2018",4.50,5.86,4.50,5.10,"51,141","17,185,400"
"Feb 13, 2018",4.66,4.85,4.44,4.51,"37,863","17,795,000"
"Feb 12, 2018",4.27,4.71,4.19,4.65,"32,519","16,331,800"
"Feb 11, 2018",4.31,4.45,3.97,4.25,"23,990","16,484,400"
"Feb 10, 2018",4.42,4.93,4.23,4.32,"33,359","16,871,000"
"Feb 09, 2018",4.26,4.59,3.91,4.41,"44,635","16,288,700"
"Feb 08, 2018",3.99,4.83,3.96,4.25,"19,144","15,249,300"
"Feb 07, 2018",4.09,4.47,3.76,4.02,"31,390","15,614,700"
"Feb 06, 2018",3.81,4.29,3.15,4.13,"34,183","14,572,900"
"Feb 05, 2018",4.13,5.18,3.49,3.81,"44,797","15,765,700"
"Feb 04, 2018",4.28,5.07,3.93,4.17,"30,593","16,351,100"
"Feb 03, 2018",4.49,5.05,4.17,4.28,"25,502","17,137,600"
"Feb 02, 2018",4.39,4.63,3.91,4.47,"24,381","16,769,600"
"Feb 01, 2018",4.84,5.39,4.17,4.40,"27,608","18,509,500"
"Jan 31, 2018",4.82,5.01,4.63,4.83,"15,402","18,419,400"
"Jan 30, 2018",5.71,5.72,4.54,4.87,"27,646","21,800,500"
"Jan 29, 2018",5.82,5.96,5.59,5.70,"63,154","22,245,500"
"Jan 28, 2018",5.95,6.18,5.45,5.83,"51,295","22,737,600"
"Jan 27, 2018",6.02,6.26,5.76,5.92,"38,286","22,998,900"
"Jan 26, 2018",5.36,6.18,5.18,5.94,"41,834","20,469,900"
"Jan 25, 2018",5.83,5.95,5.24,5.37,"62,203","22,268,700"
"Jan 24, 2018",5.67,5.97,5.14,5.72,"41,559","21,673,700"
"Jan 23, 2018",5.99,6.20,5.30,5.66,"39,128","22,884,800"
"Jan 22, 2018",6.09,6.65,5.53,6.00,"51,083","23,255,400"
"Jan 21, 2018",6.96,7.02,5.79,6.19,"77,314","26,580,100"
"Jan 20, 2018",6.04,7.21,6.00,6.92,"72,836","23,068,000"
"Jan 19, 2018",5.09,6.25,5.05,5.97,"60,231","19,433,100"
"Jan 18, 2018",4.91,5.74,4.57,5.20,"222,556","18,766,600"
"Jan 17, 2018",4.18,5.69,3.72,4.91,"206,578","15,982,700"
"Jan 16, 2018",7.50,7.54,3.38,4.20,"628,912","28,656,000"
"Jan 15, 2018",7.86,8.15,6.24,7.15,"657,348","30,038,600"
"Jan 14, 2018",10.00,10.52,6.77,7.92,"1,135,220","38,226,100"
"Jan 13, 2018",9.55,10.93,8.81,10.03,"708,440","36,489,600"
"Jan 12, 2018",9.52,10.01,9.09,9.57,"111,579","36,368,500"
"Jan 11, 2018",9.99,10.13,7.56,9.46,"995,753","38,186,900"
"Jan 10, 2018",10.31,10.33,7.94,10.05,"788,786","39,382,600"
"Jan 09, 2018",10.58,10.95,7.58,10.30,"833,458","40,434,000"
"Jan 08, 2018",11.65,14.62,7.48,10.46,"1,017,060","44,517,000"
"Jan 07, 2018",11.78,12.91,10.88,11.66,"351,609","45,018,400"
"Jan 06, 2018",12.83,12.95,10.24,11.85,"1,243,890","49,024,600"
"Jan 05, 2018",11.00,15.15,10.98,12.48,"1,249,720","42,048,200"
"Jan 04, 2018",8.80,12.81,8.24,11.56,"1,063,490","33,622,400"
"Jan 03, 2018",6.41,8.82,6.04,8.78,"264,266","24,481,300"
"Jan 02, 2018",5.84,6.70,5.49,6.42,"165,579","22,324,300"
"Jan 01, 2018",5.36,5.89,4.64,5.89,"272,769","20,468,400"
"Dec 31, 2017",4.68,5.72,4.52,5.34,"254,927","17,880,700"
"Dec 30, 2017",5.12,5.13,4.37,4.73,"87,307","19,571,200"
"Dec 29, 2017",5.17,5.33,4.82,5.13,"397,620","19,752,200"
"Dec 28, 2017",5.18,5.18,4.57,5.12,"253,542","19,791,300"
"Dec 27, 2017",5.30,6.11,4.91,5.26,"1,406,220","20,269,800"
"Dec 26, 2017",5.23,6.07,5.02,5.68,"803,191","19,983,400"
"Dec 25, 2017",5.34,6.30,4.76,5.25,"1,258,750","20,407,800"
"Dec 24, 2017",5.49,5.49,4.27,5.29,"710,221","20,977,600"
"Dec 23, 2017",4.35,5.83,4.35,5.43,"681,254","16,639,800"
"Dec 22, 2017",4.81,5.25,3.85,4.46,"970,978","18,383,200"
"Dec 21, 2017",5.26,5.43,4.46,4.88,"584,605","20,096,300"
"Dec 20, 2017",4.43,5.46,3.95,5.38,"505,382","16,941,700"
"Dec 19, 2017",4.16,5.41,3.79,4.41,"416,698","15,899,300"
"Dec 18, 2017",4.53,5.98,3.79,4.17,"494,679","17,304,700"
"Dec 17, 2017",5.93,5.93,4.07,4.52,"696,984","22,649,500"
"Dec 16, 2017",6.06,6.20,5.22,5.93,"1,058,630","23,166,200"
"Dec 15, 2017",5.96,6.49,5.49,6.05,"809,983","22,762,200"
"Dec 14, 2017",5.31,6.23,5.27,5.95,"342,394","20,284,600"
"Dec 13, 2017",5.41,6.41,5.12,5.44,"557,016","20,667,600"
"Dec 12, 2017",6.50,6.64,5.39,5.97,"436,589","24,847,400"
"Dec 11, 2017",6.12,6.69,6.09,6.49,"184,601","23,377,900"
"Dec 10, 2017",6.05,6.37,5.37,6.17,"139,790","23,129,700"
"Dec 09, 2017",6.50,6.60,5.32,6.03,"95,640","24,841,600"
"Dec 08, 2017",7.10,7.55,6.09,6.52,"134,148","27,131,000"
"Dec 07, 2017",5.69,7.24,5.58,7.11,"1,022,100","21,749,800"
"Dec 06, 2017",4.57,5.76,4.57,5.69,"798,677","17,470,300"
"Dec 05, 2017",4.71,4.90,4.34,4.58,"323,674","17,988,300"
"Dec 04, 2017",4.34,4.99,4.10,4.69,"413,738","16,594,300"
"Dec 03, 2017",4.39,4.86,4.22,4.26,"315,358","16,761,400"
"Dec 02, 2017",4.36,4.61,4.28,4.38,"273,822","16,661,000"
"Dec 01, 2017",4.13,4.51,3.72,4.35,"544,778","15,782,100"
"Nov 30, 2017",3.68,4.20,3.33,4.10,"624,788","14,069,900"
"Nov 29, 2017",4.19,4.48,3.46,3.63,"204,395","16,020,500"
"Nov 28, 2017",4.05,4.43,3.93,4.20,"326,573","15,460,300"
"Nov 27, 2017",3.81,4.16,3.68,3.92,"287,217","14,539,500"
"Nov 26, 2017",3.76,4.00,3.59,3.82,"163,506","14,369,500"
"Nov 25, 2017",3.50,3.96,3.36,3.70,"203,239","13,386,800"
"Nov 24, 2017",3.30,3.66,3.30,3.52,"115,931","12,622,500"
"Nov 23, 2017",3.18,3.51,3.11,3.31,"76,848","12,146,200"
"Nov 22, 2017",3.17,3.53,3.12,3.18,"32,814","12,126,300"
"Nov 21, 2017",3.12,3.76,2.94,3.17,"163,893","11,911,000"
"Nov 20, 2017",3.16,3.48,2.99,3.12,"129,934","12,088,900"
"Nov 19, 2017",2.76,3.45,2.75,3.17,"123,222","10,542,600"
"Nov 18, 2017",3.06,3.34,2.76,2.76,"147,557","11,699,400"
"Nov 17, 2017",3.12,3.18,2.94,2.98,"29,370","11,914,300"
"Nov 16, 2017",3.13,3.20,2.83,3.12,"31,480","11,960,000"
"Nov 15, 2017",2.78,3.13,2.78,3.11,"19,095","10,628,900"
"Nov 14, 2017",2.80,3.07,2.76,2.78,"21,036","10,693,900"
"Nov 13, 2017",2.64,3.03,2.53,2.79,"37,452","10,106,200"
"Nov 12, 2017",3.41,3.41,2.51,2.64,"39,774","13,015,500"
"Nov 11, 2017",2.85,3.54,2.64,3.41,"20,908","10,894,500"
"Nov 10, 2017",3.05,3.10,2.73,2.86,"27,284","11,635,200"
"Nov 09, 2017",3.24,3.40,2.87,3.04,"53,701","12,384,500"
"Nov 08, 2017",3.11,3.42,2.92,3.24,"33,374","11,893,700"
"Nov 07, 2017",2.62,3.20,2.56,3.12,"69,434","10,027,200"
"Nov 06, 2017",2.63,3.05,2.53,2.63,"23,769","10,012,900"
"Nov 05, 2017",2.98,3.14,2.34,2.62,"37,389","11,368,200"
"Nov 04, 2017",2.99,3.29,2.90,2.99,"19,571","11,387,900"
"Nov 03, 2017",2.91,3.08,2.88,3.00,"21,239","11,067,100"
"Nov 02, 2017",2.82,3.10,2.52,2.91,"36,465","10,734,800"
"Nov 01, 2017",2.86,3.00,2.57,2.79,"46,879","10,881,700"
"Oct 31, 2017",2.77,3.01,2.69,2.86,"12,641","10,562,700"
"Oct 30, 2017",3.05,3.11,2.77,2.78,"24,068","11,614,100"
"Oct 29, 2017",2.94,3.19,2.82,3.06,"31,131","11,195,900"
"Oct 28, 2017",3.15,3.20,2.82,2.94,"25,038","11,999,200"
"Oct 27, 2017",3.03,3.19,2.95,3.14,"21,809","11,544,000"
"Oct 26, 2017",3.54,3.54,3.02,3.03,"55,816","13,497,700"
"Oct 25, 2017",3.25,3.55,3.11,3.54,"44,823","12,394,900"
"Oct 24, 2017",3.45,3.54,3.11,3.25,"23,257","13,130,500"
"Oct 23, 2017",3.64,3.70,3.33,3.45,"19,920","13,861,900"
"Oct 22, 2017",3.65,4.03,3.36,3.65,"24,837","13,918,500"
"Oct 21, 2017",4.40,4.53,3.91,3.91,"36,913","16,752,100"
"Oct 20, 2017",4.00,6.38,3.82,4.40,"133,330","15,231,400"
"Oct 19, 2017",3.80,4.23,3.71,3.98,"30,270","14,464,700"
"Oct 18, 2017",3.94,4.10,3.55,3.82,"30,368","15,020,600"
"Oct 17, 2017",3.95,4.54,3.25,3.94,"15,435","15,045,700"
"Oct 16, 2017",3.82,4.12,3.78,3.95,"8,383","14,538,900"
"Oct 15, 2017",3.89,4.40,3.81,3.82,"19,146","14,798,500"
"Oct 14, 2017",3.63,4.03,3.61,3.88,"23,377","13,813,400"
"Oct 13, 2017",3.95,4.14,3.42,3.63,"34,976","15,058,300"
"Oct 12, 2017",3.88,4.00,3.62,3.94,"20,151","14,768,200"
"Oct 11, 2017",3.71,3.96,3.45,3.87,"22,162","14,139,200"
"Oct 10, 2017",3.61,3.98,3.57,3.71,"27,281","13,738,400"
"Oct 09, 2017",3.69,3.80,3.24,3.61,"26,973","14,054,600"
"Oct 08, 2017",4.19,4.24,3.56,3.69,"17,236","15,954,600"
"Oct 07, 2017",4.23,4.25,3.63,4.20,"15,268","16,100,700"
"Oct 06, 2017",4.45,4.72,4.08,4.23,"11,183","16,952,700"
"Oct 05, 2017",3.26,4.61,3.26,4.45,"26,832","12,424,300"
"Oct 04, 2017",4.46,4.56,3.20,3.26,"17,335","16,988,400"
"Oct 03, 2017",4.97,4.97,4.38,4.45,"27,922","18,929,200"
"Oct 02, 2017",4.09,4.97,3.52,4.97,"74,087","15,582,700"
"Oct 01, 2017",4.58,4.70,3.62,4.09,"26,501","17,436,900"
"Sep 30, 2017",4.48,4.99,3.96,4.58,"43,377","17,066,800"
"Sep 29, 2017",4.65,4.80,3.39,4.48,"67,449","17,691,600"
"Sep 28, 2017",4.83,5.30,4.63,4.65,"25,818","18,389,500"
"Sep 27, 2017",4.76,5.20,4.28,4.83,"32,729","18,138,200"
"Sep 26, 2017",5.09,5.20,4.76,4.77,"16,712","19,389,200"
"Sep 25, 2017",4.70,5.14,4.54,5.09,"60,319","17,897,000"
"Sep 24, 2017",4.95,5.42,4.37,4.70,"17,430","18,865,600"
"Sep 23, 2017",5.36,5.65,4.69,4.96,"40,471","20,390,500"
"Sep 22, 2017",5.49,5.59,4.37,5.37,"100,921","20,917,700"
"Sep 21, 2017",6.04,6.15,5.45,5.50,"54,271","22,982,600"
"Sep 20, 2017",6.00,6.51,5.93,6.06,"27,906","22,860,900"
"Sep 19, 2017",6.67,6.68,5.96,6.01,"56,977","25,388,400"
"Sep 18, 2017",5.67,6.73,5.67,6.65,"131,908","21,564,200"
"Sep 17, 2017",5.58,5.96,5.41,5.68,"20,257","21,245,600"
"Sep 16, 2017",5.70,6.25,5.41,5.58,"31,680","21,708,000"
"Sep 15, 2017",5.20,6.11,4.85,5.90,"99,775","19,797,400"
"Sep 14, 2017",5.92,6.16,4.77,5.12,"70,225","22,549,500"
"Sep 13, 2017",6.12,6.25,5.41,5.92,"87,588","23,306,600"
"Sep 12, 2017",5.81,6.65,5.72,6.12,"87,710","22,117,000"
"Sep 11, 2017",5.97,6.24,5.76,5.81,"30,770","22,739,700"
"Sep 10, 2017",6.26,6.26,5.69,5.96,"33,389","23,830,800"
"Sep 09, 2017",6.17,6.45,5.94,6.25,"31,901","23,476,200"
"Sep 08, 2017",6.39,6.51,5.91,6.16,"66,107","24,322,700"
"Sep 07, 2017",6.59,6.99,6.23,6.38,"81,881","25,101,700"
"Sep 06, 2017",6.38,7.37,5.93,6.61,"140,571","24,200,400"
"Sep 05, 2017",5.78,6.90,5.56,6.37,"88,652","21,898,200"
"Sep 04, 2017",6.71,6.71,5.73,5.80,"87,272","25,336,800"
"Sep 03, 2017",6.47,6.75,5.78,6.71,"61,146","24,408,100"
"Sep 02, 2017",6.96,7.12,6.29,6.47,"41,191","26,264,600"
"Sep 01, 2017",7.17,8.06,6.71,6.95,"189,337","27,048,900"
"Aug 31, 2017",6.68,8.27,6.68,7.17,"92,824","25,211,600"
"Aug 30, 2017",6.74,7.10,5.56,6.70,"134,879","25,445,800"
"Aug 29, 2017",6.63,6.85,6.16,6.75,"83,838","25,014,900"
"Aug 28, 2017",6.85,6.85,6.14,6.66,"57,104","25,829,600"
