Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.220531,0.220872,0.139358,0.146226,"27,476","9,725,400"
"Mar 28, 2018",0.217900,0.236681,0.212145,0.220273,"11,428","9,609,400"
"Mar 27, 2018",0.225794,0.242724,0.210405,0.217950,"13,036","9,957,530"
"Mar 26, 2018",0.228155,0.244647,0.213636,0.226136,"9,646","10,061,600"
"Mar 25, 2018",0.240200,0.241745,0.227184,0.228208,"5,322","10,592,800"
"Mar 24, 2018",0.257306,0.265146,0.243301,0.243552,"5,037","11,347,200"
"Mar 23, 2018",0.260280,0.260280,0.237441,0.249796,"13,096","11,478,300"
"Mar 22, 2018",0.297468,0.305698,0.248155,0.260286,"14,936","13,118,300"
"Mar 21, 2018",0.285105,0.337681,0.284068,0.298012,"45,824","12,573,100"
"Mar 20, 2018",0.294472,0.311208,0.275933,0.284416,"11,037","12,986,200"
"Mar 19, 2018",0.273672,0.298337,0.246533,0.291223,"29,549","12,068,900"
"Mar 18, 2018",0.280589,0.282395,0.223438,0.274830,"24,298","12,374,000"
"Mar 17, 2018",0.335281,0.335281,0.276079,0.281273,"17,664","14,785,900"
"Mar 16, 2018",0.318623,0.351590,0.294011,0.334729,"23,742","14,051,300"
"Mar 15, 2018",0.331440,0.339297,0.296265,0.318815,"50,265","14,616,500"
"Mar 14, 2018",0.415612,0.425294,0.332649,0.336826,"14,938","18,328,500"
"Mar 13, 2018",0.414279,0.465218,0.386007,0.412894,"44,759","18,269,700"
"Mar 12, 2018",0.463003,0.463720,0.386392,0.416581,"51,556","20,418,500"
"Mar 11, 2018",0.460061,0.477511,0.417181,0.469179,"75,066","20,288,700"
"Mar 10, 2018",0.471240,0.496801,0.440035,0.461654,"21,778","20,781,700"
"Mar 09, 2018",0.489423,0.496381,0.415991,0.471037,"33,454","21,583,500"
"Mar 08, 2018",0.509255,0.549807,0.473934,0.492540,"35,755","22,458,200"
"Mar 07, 2018",0.497328,0.606798,0.472884,0.505217,"78,043","21,932,200"
"Mar 06, 2018",0.485290,0.503385,0.467649,0.497318,"83,371","21,401,300"
"Mar 05, 2018",0.481387,0.494853,0.461141,0.484410,"84,426","21,229,200"
"Mar 04, 2018",0.522019,0.522229,0.465758,0.489377,"91,664","23,021,000"
"Mar 03, 2018",0.498756,0.532813,0.477289,0.520715,"94,997","21,995,200"
"Mar 02, 2018",0.561029,0.574847,0.491102,0.505680,"130,086","24,741,400"
"Mar 01, 2018",0.505862,0.593795,0.494499,0.568073,"198,181","22,308,500"
"Feb 28, 2018",0.553167,0.575324,0.505846,0.513306,"163,579","24,394,600"
"Feb 27, 2018",0.529437,0.612892,0.510339,0.555100,"241,441","23,348,200"
"Feb 26, 2018",0.559723,0.581314,0.509302,0.527926,"205,283","24,683,800"
"Feb 25, 2018",0.635503,0.635503,0.543862,0.570947,"221,829","28,025,700"
"Feb 24, 2018",0.642348,0.668186,0.587697,0.635033,"131,607","28,327,600"
"Feb 23, 2018",0.550185,0.704678,0.524417,0.644974,"232,413","24,263,100"
"Feb 22, 2018",0.573084,0.798930,0.522190,0.556449,"104,295","25,273,000"
"Feb 21, 2018",0.567209,0.575932,0.513857,0.573755,"126,082","25,013,900"
"Feb 20, 2018",0.620019,0.675382,0.560747,0.566800,"166,342","27,342,800"
"Feb 19, 2018",0.607078,0.691679,0.582595,0.625513,"200,932","26,772,100"
"Feb 18, 2018",0.685979,0.690989,0.599951,0.610226,"159,173","30,251,700"
"Feb 17, 2018",0.682971,0.719292,0.663254,0.685135,"145,861","30,119,000"
"Feb 16, 2018",0.702105,0.707683,0.659314,0.681975,"110,237","30,962,800"
"Feb 15, 2018",0.690836,0.721749,0.647554,0.698921,"170,676","30,465,900"
"Feb 14, 2018",0.611728,0.734097,0.596774,0.690662,"118,677","26,977,200"
"Feb 13, 2018",0.660270,0.663252,0.607107,0.613221,"94,262","29,117,900"
"Feb 12, 2018",0.622559,0.682083,0.619578,0.666414,"111,865","27,454,800"
"Feb 11, 2018",0.624419,0.670651,0.570670,0.616447,"150,772","27,536,900"
"Feb 10, 2018",0.595530,0.667450,0.563527,0.625352,"231,189","26,262,900"
"Feb 09, 2018",0.613366,0.615884,0.445758,0.592399,"182,782","27,049,400"
"Feb 08, 2018",0.454588,0.625802,0.454588,0.625802,"97,859","20,047,300"
"Feb 07, 2018",0.463047,0.525715,0.429971,0.456610,"104,189","20,420,400"
"Feb 06, 2018",0.366942,0.485938,0.270914,0.470463,"178,318","16,182,100"
"Feb 05, 2018",0.523580,0.558332,0.340851,0.369288,"118,692","23,089,900"
"Feb 04, 2018",0.640172,0.646674,0.497207,0.527754,"98,747","28,231,600"
"Feb 03, 2018",0.628037,0.653518,0.557086,0.639662,"101,929","27,696,400"
"Feb 02, 2018",0.615693,0.683591,0.538591,0.624758,"161,501","27,152,100"
"Feb 01, 2018",0.755578,0.772401,0.562213,0.619967,"178,790","33,321,000"
"Jan 31, 2018",0.770863,0.794155,0.712239,0.759460,"183,073","33,995,100"
"Jan 30, 2018",0.863480,0.864298,0.704375,0.774427,"206,394","38,079,500"
"Jan 29, 2018",0.899897,0.908962,0.816596,0.863141,"170,111","39,685,500"
"Jan 28, 2018",0.929200,0.952412,0.873637,0.898316,"183,629","40,977,700"
"Jan 27, 2018",0.888142,0.956616,0.842408,0.921494,"261,381","39,167,000"
"Jan 26, 2018",0.842816,0.900289,0.745840,0.886142,"355,396","37,168,200"
"Jan 25, 2018",0.743545,0.847981,0.737005,0.846180,"330,659","32,790,300"
"Jan 24, 2018",0.670591,0.731444,0.641127,0.731142,"194,686","29,573,000"
"Jan 23, 2018",0.657953,0.704775,0.600503,0.671017,"223,765","29,015,700"
"Jan 22, 2018",0.671144,0.715805,0.599197,0.682829,"275,138","29,597,500"
"Jan 21, 2018",0.736533,0.737616,0.637238,0.661565,"167,176","32,481,100"
"Jan 20, 2018",0.673017,0.762637,0.655429,0.737546,"209,693","29,680,000"
"Jan 19, 2018",0.654611,0.679541,0.604601,0.667529,"241,231","28,868,300"
"Jan 18, 2018",0.588137,0.711053,0.567709,0.659038,"257,308","25,936,900"
"Jan 17, 2018",0.604900,0.628201,0.403562,0.592076,"441,592","26,676,100"
"Jan 16, 2018",0.802204,0.802204,0.484190,0.607081,"425,090","35,377,200"
"Jan 15, 2018",0.881213,0.881213,0.742159,0.809109,"545,236","38,861,500"
"Jan 14, 2018",0.910221,0.912088,0.773394,0.858473,"356,203","40,140,700"
"Jan 13, 2018",0.760667,0.988295,0.753854,0.882183,"643,907","33,545,400"
"Jan 12, 2018",0.743594,0.801455,0.705788,0.765843,"359,371","32,792,500"
"Jan 11, 2018",0.888733,0.888733,0.714513,0.748966,"406,302","39,193,100"
"Jan 10, 2018",0.862257,0.888560,0.720453,0.888560,"508,874","38,025,500"
"Jan 09, 2018",0.826759,0.897707,0.803024,0.860459,"422,135","36,460,100"
"Jan 08, 2018",0.862257,0.873634,0.734396,0.828330,"544,717","38,025,600"
"Jan 07, 2018",0.885747,0.958420,0.801111,0.857804,"528,519","39,061,500"
"Jan 06, 2018",0.834684,0.922079,0.782796,0.864829,"472,780","36,809,600"
"Jan 05, 2018",0.876712,0.954392,0.788953,0.835340,"579,512","38,663,000"
"Jan 04, 2018",1.00,1.04,0.839091,0.883314,"740,563","44,302,900"
"Jan 03, 2018",0.833467,1.01,0.778016,0.999176,"816,464","36,755,900"
"Jan 02, 2018",0.619687,0.852486,0.614482,0.838122,"1,057,440","27,328,200"
"Jan 01, 2018",0.601086,0.627579,0.543250,0.619989,"351,696","26,507,900"
"Dec 31, 2017",0.439609,0.633469,0.425435,0.574033,"496,796","19,386,700"
"Dec 30, 2017",0.504629,0.524988,0.396366,0.445120,"253,097","22,254,100"
"Dec 29, 2017",0.400615,0.504540,0.386077,0.504477,"338,044","17,667,100"
"Dec 28, 2017",0.383223,0.402823,0.321961,0.394606,"281,165","16,900,100"
"Dec 27, 2017",0.396772,0.436072,0.369223,0.383840,"275,246","17,497,700"
"Dec 26, 2017",0.353260,0.413975,0.343229,0.397209,"207,266","15,578,800"
"Dec 25, 2017",0.431419,0.454036,0.326262,0.354105,"309,704","19,025,600"
"Dec 24, 2017",0.481856,0.498839,0.376549,0.428269,"322,331","21,249,800"
"Dec 23, 2017",0.324564,0.502153,0.319906,0.470003,"257,315","14,313,300"
"Dec 22, 2017",0.423615,0.430550,0.294749,0.321301,"258,940","18,681,400"
"Dec 21, 2017",0.367186,0.436780,0.360146,0.422256,"296,780","16,192,900"
"Dec 20, 2017",0.419680,0.420289,0.317647,0.366415,"256,258","18,507,900"
"Dec 19, 2017",0.427958,0.449515,0.398312,0.420624,"346,128","18,872,900"
"Dec 18, 2017",0.328558,0.469669,0.315532,0.454460,"440,295","14,489,400"
"Dec 17, 2017",0.324174,0.349591,0.312096,0.327552,"163,709","14,296,100"
"Dec 16, 2017",0.272557,0.327959,0.271278,0.322469,"98,798","12,019,800"
"Dec 15, 2017",0.298045,0.326609,0.267698,0.272447,"157,241","13,143,800"
"Dec 14, 2017",0.229142,0.307106,0.224918,0.300002,"225,727","10,105,200"
"Dec 13, 2017",0.229300,0.271190,0.213410,0.229763,"151,758","10,112,100"
"Dec 12, 2017",0.219735,0.253399,0.214329,0.228134,"96,158","9,690,320"
"Dec 11, 2017",0.186687,0.237146,0.185933,0.220503,"97,823","8,232,920"
"Dec 10, 2017",0.184910,0.195204,0.156663,0.187972,"39,044","8,154,510"
"Dec 09, 2017",0.205564,0.208408,0.162707,0.183261,"44,144","9,065,390"
"Dec 08, 2017",0.215620,0.223327,0.172451,0.206522,"66,068","9,508,840"
"Dec 07, 2017",0.202565,0.223690,0.187222,0.212181,"85,235","8,933,140"
"Dec 06, 2017",0.174487,0.224221,0.170129,0.200489,"165,389","7,694,860"
"Dec 05, 2017",0.160405,0.176169,0.155227,0.175137,"106,498","7,073,870"
"Dec 04, 2017",0.141121,0.158502,0.132188,0.158502,"94,334","6,223,440"
"Dec 03, 2017",0.133945,0.159119,0.132855,0.140685,"56,115","5,906,970"
"Dec 02, 2017",0.147581,0.152463,0.124598,0.134650,"46,142","6,508,320"
"Dec 01, 2017",0.121803,0.148901,0.109619,0.147976,"75,747","5,371,500"
"Nov 30, 2017",0.119205,0.134336,0.105982,0.122450,"46,066","5,256,930"
"Nov 29, 2017",0.121082,0.145524,0.109492,0.118910,"59,407","5,339,740"
"Nov 28, 2017",0.139361,0.148301,0.114349,0.121332,"124,733","6,145,830"
"Nov 27, 2017",0.129159,0.152118,0.128490,0.138410,"51,310","5,695,890"
"Nov 26, 2017",0.120711,0.138614,0.120015,0.129165,"46,022","5,323,360"
"Nov 25, 2017",0.115184,0.128587,0.111188,0.120809,"33,706","5,079,600"
"Nov 24, 2017",0.129372,0.138067,0.110017,0.115512,"60,467","5,705,300"
"Nov 23, 2017",0.136105,0.148949,0.121048,0.129423,"97,027","6,002,230"
"Nov 22, 2017",0.101813,0.148160,0.097850,0.135695,"68,731","4,489,930"
"Nov 21, 2017",0.113135,0.116758,0.090015,0.101620,"103,354","4,989,240"
"Nov 20, 2017",0.117188,0.119868,0.111936,0.114134,"32,523","5,168,000"
"Nov 19, 2017",0.126725,0.126963,0.116467,0.117548,"34,219","5,588,580"
"Nov 18, 2017",0.130378,0.130378,0.117949,0.126578,"24,677","5,749,680"
"Nov 17, 2017",0.136709,0.139482,0.115211,0.130276,"58,545","6,028,850"
"Nov 16, 2017",0.133724,0.139668,0.123366,0.136927,"42,095","5,897,210"
"Nov 15, 2017",0.118826,0.144560,0.116348,0.133029,"79,287","5,240,220"
"Nov 14, 2017",0.111079,0.131101,0.104528,0.117841,"49,801","4,898,600"
"Nov 13, 2017",0.110622,0.130526,0.102592,0.110726,"57,345","4,878,410"
"Nov 12, 2017",0.116416,0.124743,0.097373,0.109815,"45,421","5,133,950"
"Nov 11, 2017",0.120161,0.129716,0.112653,0.116186,"18,023","5,299,090"
"Nov 10, 2017",0.155234,0.157491,0.115903,0.120880,"49,202","6,845,800"
"Nov 09, 2017",0.108088,0.158092,0.105838,0.153793,"80,077","4,766,700"
"Nov 08, 2017",0.102027,0.111050,0.099809,0.108043,"55,862","4,499,380"
"Nov 07, 2017",0.109311,0.114567,0.098661,0.102060,"36,171","4,820,610"
"Nov 06, 2017",0.105622,0.111581,0.097527,0.109703,"25,658","4,657,920"
"Nov 05, 2017",0.104594,0.116718,0.103404,0.103536,"19,470","4,612,610"
"Nov 04, 2017",0.104407,0.117000,0.093775,0.104783,"39,322","4,604,370"
"Nov 03, 2017",0.099175,0.112596,0.094812,0.104628,"26,173","4,373,630"
"Nov 02, 2017",0.103888,0.106392,0.094177,0.099301,"36,927","4,581,470"
"Nov 01, 2017",0.116322,0.121083,0.098611,0.103664,"33,309","5,129,790"
"Oct 31, 2017",0.110017,0.121721,0.108841,0.117644,"26,627","4,851,740"
"Oct 30, 2017",0.110752,0.113728,0.100878,0.110508,"29,118","4,884,140"
"Oct 29, 2017",0.106219,0.117397,0.102537,0.107945,"30,076","4,684,260"
"Oct 28, 2017",0.110831,0.113042,0.103333,0.106445,"24,164","4,887,650"
"Oct 27, 2017",0.111529,0.118544,0.106549,0.110534,"26,453","4,918,450"
"Oct 26, 2017",0.120110,0.121959,0.107813,0.111210,"42,643","5,296,850"
"Oct 25, 2017",0.117970,0.125237,0.109150,0.119779,"34,310","5,202,470"
"Oct 24, 2017",0.122927,0.128171,0.114834,0.117524,"36,352","5,421,090"
"Oct 23, 2017",0.129057,0.133946,0.110737,0.122448,"47,505","5,691,400"
"Oct 22, 2017",0.123779,0.141431,0.120759,0.129180,"67,639","5,458,640"
"Oct 21, 2017",0.117652,0.131941,0.115825,0.124340,"49,676","5,188,460"
"Oct 20, 2017",0.125927,0.127610,0.111980,0.118184,"46,686","5,553,370"
"Oct 19, 2017",0.109952,0.139009,0.107481,0.125638,"52,838","4,848,880"
"Oct 18, 2017",0.114566,0.114566,0.097201,0.110240,"29,518","5,052,360"
"Oct 17, 2017",0.119024,0.120742,0.107486,0.114871,"24,869","5,248,940"
"Oct 16, 2017",0.119082,0.140094,0.109862,0.118236,"24,193","5,251,520"
"Oct 15, 2017",0.101692,0.118936,0.090564,0.118936,"54,258","4,484,600"
"Oct 14, 2017",0.106959,0.111704,0.098220,0.101116,"32,954","4,716,880"
"Oct 13, 2017",0.118977,0.122996,0.096271,0.106746,"57,768","5,246,870"
"Oct 12, 2017",0.122568,0.129909,0.115740,0.118592,"66,007","5,405,230"
