Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.308107,0.310795,0.274188,0.286785,"654,276","15,270,600"
"Mar 05, 2018",0.318925,0.321696,0.293461,0.311892,"421,547","15,788,800"
"Mar 04, 2018",0.314061,0.321532,0.301572,0.317259,"734,368","15,547,900"
"Mar 03, 2018",0.315534,0.325302,0.279576,0.316585,"780,904","15,620,900"
"Mar 02, 2018",0.313623,0.325791,0.275808,0.315951,"583,132","15,526,200"
"Mar 01, 2018",0.325518,0.325518,0.303749,0.314595,"1,164,090","16,115,100"
"Feb 28, 2018",0.330451,0.336709,0.308060,0.325452,"758,929","16,359,300"
"Feb 27, 2018",0.354295,0.359149,0.321228,0.330482,"485,368","17,539,800"
"Feb 26, 2018",0.316405,0.357311,0.315503,0.350358,"522,318","15,664,000"
"Feb 25, 2018",0.348750,0.349941,0.312056,0.316385,"648,033","17,265,300"
"Feb 24, 2018",0.372796,0.379365,0.341939,0.350468,"1,543,200","18,455,700"
"Feb 23, 2018",0.342354,0.389539,0.337327,0.373259,"1,614,580","16,948,600"
"Feb 22, 2018",0.350664,0.368547,0.336788,0.344095,"1,237,050","17,360,000"
"Feb 21, 2018",0.369205,0.375497,0.338618,0.350488,"794,754","18,277,900"
"Feb 20, 2018",0.383502,0.387446,0.357042,0.370136,"474,866","18,985,700"
"Feb 19, 2018",0.374680,0.406380,0.371429,0.383763,"661,319","17,478,200"
"Feb 18, 2018",0.405818,0.407424,0.370135,0.375771,"1,204,100","18,930,700"
"Feb 17, 2018",0.402600,0.428232,0.400686,0.405618,"658,078","18,780,600"
"Feb 16, 2018",0.395274,0.415263,0.382168,0.401907,"1,190,190","18,438,800"
"Feb 15, 2018",0.398718,0.421833,0.376566,0.396608,"745,415","18,599,500"
"Feb 14, 2018",0.396860,0.411202,0.376687,0.399077,"1,064,270","18,512,800"
"Feb 13, 2018",0.359478,0.447878,0.342914,0.395467,"3,110,420","16,769,000"
"Feb 12, 2018",0.329592,0.366965,0.327075,0.358883,"703,250","15,374,900"
"Feb 11, 2018",0.347934,0.354827,0.296773,0.328977,"464,989","16,160,900"
"Feb 10, 2018",0.357731,0.374184,0.319875,0.349600,"688,052","16,616,000"
"Feb 09, 2018",0.339881,0.367221,0.322020,0.354046,"807,213","15,786,900"
"Feb 08, 2018",0.352377,0.390493,0.292468,0.339788,"2,774,200","16,367,300"
"Feb 07, 2018",0.415195,0.447499,0.350256,0.353065,"1,812,080","19,285,100"
"Feb 06, 2018",0.341841,0.420348,0.285284,0.417399,"1,586,080","15,877,900"
"Feb 05, 2018",0.352152,0.772754,0.263792,0.342120,"2,165,260","16,356,800"
