Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.25,1.25,1.22,1.24,"270,631","49,325,200"
"Mar 22, 2018",1.25,1.26,1.22,1.25,"267,466","49,562,700"
"Mar 21, 2018",1.14,1.26,1.14,1.24,"307,893","74,562,600"
"Mar 20, 2018",1.15,1.21,1.02,1.14,"303,570","75,407,000"
"Mar 19, 2018",0.650063,1.19,0.626342,1.15,"279,658","42,562,400"
"Mar 18, 2018",0.599034,0.667545,0.512194,0.651312,"175,453","39,221,300"
"Mar 17, 2018",0.603190,0.706943,0.598245,0.602291,"272,978","39,493,400"
"Mar 16, 2018",0.676348,0.680356,0.602932,0.603793,"105,891","44,283,400"
"Mar 15, 2018",0.692797,0.714021,0.635657,0.670730,"1,317,810",-
"Mar 14, 2018",0.832772,1.00,0.662031,0.686879,"1,428,050",-
"Mar 13, 2018",0.799480,0.859662,0.723163,0.823656,"1,016,250",-
"Mar 12, 2018",0.905091,0.923498,0.719518,0.816397,"3,020,660",-
"Mar 11, 2018",0.914107,0.928181,0.807454,0.909903,"1,633,550",-
"Mar 10, 2018",0.973758,1.01,0.911705,0.921052,"3,329,530",-
"Mar 09, 2018",0.902296,0.975311,0.836432,0.973825,"685,396",-
"Mar 08, 2018",1.11,1.13,0.854524,0.905159,"609,378",-
"Mar 07, 2018",1.29,1.30,1.08,1.11,"1,582,090",-
"Mar 06, 2018",1.28,1.37,1.24,1.30,"2,149,660",-
"Mar 05, 2018",1.31,1.31,1.08,1.28,"1,824,990",-
"Mar 04, 2018",1.37,1.39,1.29,1.30,"3,450,090",-
"Mar 03, 2018",1.44,1.50,1.30,1.37,"2,123,530",-
"Mar 02, 2018",1.49,1.56,1.37,1.43,"712,402",-
"Mar 01, 2018",1.76,1.87,1.46,1.47,"4,301,860",-
"Feb 28, 2018",1.81,1.95,1.69,1.69,"1,242,120",-
"Feb 27, 2018",1.58,1.85,1.58,1.81,"1,373,750",-
"Feb 26, 2018",1.78,1.83,1.54,1.58,"277,990",-
"Feb 25, 2018",1.71,1.80,1.64,1.79,"328,056",-
"Feb 24, 2018",2.47,2.52,1.53,1.70,"1,103,540",-
"Feb 23, 2018",2.03,2.47,1.92,2.46,"1,163,600",-
"Feb 22, 2018",1.89,2.34,1.86,1.99,"432,161",-
