Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",0.222033,0.234198,0.140023,0.191838,"1,997,480","14,510,200"
"Mar 25, 2018",0.244194,0.257283,0.206282,0.210362,"2,159,600","15,958,400"
"Mar 24, 2018",0.270497,0.272031,0.233550,0.260592,"2,445,910","17,677,400"
"Mar 23, 2018",0.242170,0.263810,0.200886,0.242936,"2,032,550","15,826,100"
"Mar 22, 2018",0.208247,0.264438,0.208247,0.263653,"2,511,200","13,609,200"
"Mar 21, 2018",0.253847,0.282456,0.194818,0.211409,"2,066,460","16,589,300"
"Mar 20, 2018",0.207108,0.282529,0.159966,0.274505,"2,602,640","13,534,800"
"Mar 19, 2018",0.186044,0.259098,0.125268,0.219627,"2,077,770","12,158,300"
"Mar 18, 2018",0.216010,0.244160,0.161983,0.187239,"1,761,710","14,116,500"
"Mar 17, 2018",0.259221,0.262466,0.135764,0.196301,"1,844,580","16,940,400"
"Mar 16, 2018",0.257606,0.274497,0.130719,0.145312,"1,322,170","16,834,900"
"Mar 15, 2018",0.258505,0.273498,0.240795,0.258207,"2,345,120","16,893,700"
"Mar 14, 2018",0.303410,0.308988,0.253114,0.272466,"2,503,990","19,828,300"
"Mar 13, 2018",0.287534,0.318910,0.281754,0.301662,"2,939,140","18,790,800"
"Mar 12, 2018",0.323991,0.332604,0.277136,0.308662,"2,879,880","21,173,200"
"Mar 11, 2018",0.302642,0.331879,0.273791,0.317964,"3,118,110","19,778,100"
"Mar 10, 2018",0.321024,0.343637,0.290140,0.307551,"2,756,190","20,979,400"
"Mar 09, 2018",0.311792,0.339494,0.275778,0.302878,"2,908,960","20,376,100"
"Mar 08, 2018",0.414349,0.424985,0.301644,0.333714,"3,300,750","27,078,300"
"Mar 07, 2018",0.424138,0.465566,0.396661,0.418852,"4,247,570","27,718,000"
"Mar 06, 2018",0.403573,0.464304,0.396827,0.450933,"5,190,730","26,374,000"
"Mar 05, 2018",0.464157,0.483296,0.381674,0.404379,"5,793,330","30,333,300"
"Mar 04, 2018",0.397434,0.497360,0.347913,0.447688,"7,471,370","25,972,900"
"Mar 03, 2018",0.475616,0.497373,0.286737,0.462962,"4,703,180","31,082,200"
"Mar 02, 2018",0.464232,0.500164,0.417149,0.475709,"2,188,850","30,338,200"
"Mar 01, 2018",0.466858,0.484269,0.461514,0.465238,"3,644,040","30,509,800"
"Feb 28, 2018",0.495909,0.526204,0.466167,0.467253,"4,721,290","32,408,400"
"Feb 27, 2018",0.493971,0.518367,0.474100,0.494012,"5,385,200","32,281,700"
"Feb 26, 2018",0.474858,0.510337,0.445792,0.482727,"5,121,290","31,032,700"
"Feb 25, 2018",0.462116,0.490195,0.437696,0.468723,"4,791,950","30,199,900"
"Feb 24, 2018",0.514678,0.612464,0.452381,0.459168,"4,567,940","33,634,900"
"Feb 23, 2018",0.478897,0.646021,0.444275,0.582505,"5,708,250","31,296,600"
"Feb 22, 2018",0.504939,0.581495,0.473203,0.505882,"4,902,310","32,998,500"
"Feb 21, 2018",0.609065,0.636043,0.456753,0.496275,"4,624,690","39,803,300"
"Feb 20, 2018",0.608167,0.779639,0.481764,0.612706,"5,581,940","39,744,500"
"Feb 19, 2018",0.550614,0.742037,0.546761,0.680467,"5,656,890","35,983,400"
"Feb 18, 2018",0.634630,0.655279,0.547026,0.559921,"5,209,690","41,474,000"
"Feb 17, 2018",0.683964,0.707552,0.548944,0.594321,"5,836,350","44,698,000"
"Feb 16, 2018",0.650599,0.690810,0.581016,0.673656,"6,420,320","42,517,600"
"Feb 15, 2018",0.668774,0.678587,0.596526,0.652604,"6,404,300","43,705,300"
"Feb 14, 2018",0.551193,0.665429,0.547654,0.624778,"5,956,510","36,021,300"
"Feb 13, 2018",0.613056,0.628764,0.538317,0.585872,"5,755,790","40,064,100"
"Feb 12, 2018",0.535755,0.631646,0.531122,0.622365,"5,955,840","35,012,300"
"Feb 11, 2018",0.533827,0.659136,0.473679,0.573752,"5,339,930","34,886,300"
"Feb 10, 2018",0.656272,0.720062,0.432729,0.591802,"5,210,320","42,888,300"
"Feb 09, 2018",0.580828,0.661427,0.551240,0.654838,"6,468,790","37,957,900"
"Feb 08, 2018",0.537615,0.632792,0.537615,0.581956,"5,304,260","35,133,900"
"Feb 07, 2018",0.593004,0.631158,0.428148,0.552463,"4,877,220","38,753,700"
"Feb 06, 2018",0.547670,0.641705,0.370992,0.606833,"5,662,920","35,791,000"
"Feb 05, 2018",0.862167,0.892102,0.533466,0.533466,"4,810,280","56,343,800"
"Feb 04, 2018",0.999064,1.01,0.813770,0.864987,"7,422,310","65,290,200"
"Feb 03, 2018",1.13,1.22,0.873514,0.956968,"8,104,780","73,606,500"
"Feb 02, 2018",1.14,1.19,0.863747,1.05,"10,248,400","74,600,400"
"Feb 01, 2018",1.40,1.49,1.09,1.11,"10,729,400","91,217,900"
"Jan 31, 2018",1.07,1.40,1.01,1.34,"11,868,700",-
"Jan 30, 2018",1.20,1.32,1.02,1.12,"10,300,300",-
"Jan 29, 2018",1.41,1.41,1.14,1.23,"10,980,400",-
"Jan 28, 2018",1.15,1.44,1.09,1.40,"12,557,300",-
"Jan 27, 2018",1.26,1.28,1.03,1.15,"9,842,510",-
"Jan 26, 2018",1.17,1.31,1.15,1.25,"11,255,000",-
"Jan 25, 2018",1.15,1.60,1.11,1.16,"11,266,300",-
"Jan 24, 2018",1.12,1.18,1.02,1.12,"11,695,000",-
"Jan 23, 2018",1.13,1.19,1.03,1.11,"1,663,280",-
"Jan 22, 2018",1.21,1.25,1.03,1.13,"2,073,610",-
"Jan 21, 2018",1.42,1.50,1.14,1.21,"2,262,350",-
"Jan 20, 2018",1.09,1.59,1.09,1.41,"3,272,900",-
"Jan 19, 2018",1.14,1.21,1.06,1.08,"2,693,570",-
"Jan 18, 2018",1.15,1.28,1.10,1.17,"3,175,420",-
"Jan 17, 2018",1.06,1.22,0.873097,1.14,"3,706,130",-
"Jan 16, 2018",1.55,1.59,0.897492,1.08,"1,587,120",-
"Jan 15, 2018",1.73,2.00,1.53,1.53,"2,302,330",-
"Jan 14, 2018",1.72,1.79,1.46,1.74,"2,801,560",-
"Jan 13, 2018",1.74,1.94,1.63,1.72,"3,326,780",-
"Jan 12, 2018",1.53,1.84,1.48,1.77,"3,191,280",-
"Jan 11, 2018",2.05,2.07,1.56,1.57,"3,082,530",-
"Jan 10, 2018",2.07,2.23,1.90,2.04,"4,926,050",-
"Jan 09, 2018",1.21,2.28,1.20,2.08,"9,340,410",-
"Jan 08, 2018",1.24,1.75,0.973316,1.21,"3,643,350",-
"Jan 07, 2018",1.18,1.81,1.06,1.22,"4,596,670",-
"Jan 06, 2018",0.697146,1.23,0.637376,1.21,"3,594,520",-
"Jan 05, 2018",0.739659,0.890716,0.679635,0.717735,"2,388,210",-
"Jan 04, 2018",0.753674,0.820675,0.720735,0.720735,"1,823,450",-
"Jan 03, 2018",0.721222,0.781672,0.684083,0.756326,"1,539,770",-
"Jan 02, 2018",0.669695,0.771835,0.657274,0.717235,"858,803",-
"Jan 01, 2018",0.646766,0.750373,0.615268,0.659258,"557,442",-
"Dec 31, 2017",0.619968,0.655082,0.555829,0.645754,"382,081",-
"Dec 30, 2017",0.653489,0.676962,0.548556,0.621988,"394,424",-
"Dec 29, 2017",0.630211,0.704155,0.610191,0.632239,"446,022",-
"Dec 28, 2017",0.652753,0.665095,0.576373,0.627664,"583,492",-
"Dec 27, 2017",0.672947,0.718593,0.626380,0.654304,"925,878",-
"Dec 26, 2017",0.648653,0.724393,0.620766,0.673847,"279,454",-
"Dec 25, 2017",0.633444,0.720742,0.588785,0.665087,"578,741",-
"Dec 24, 2017",0.697199,0.697199,0.549127,0.631187,"337,449",-
"Dec 23, 2017",0.605692,0.738469,0.605692,0.690938,"473,520",-
"Dec 22, 2017",0.803584,0.805641,0.473339,0.621167,"507,603",-
"Dec 21, 2017",1.00,1.05,0.765612,0.803251,"833,931",-
"Dec 20, 2017",1.06,1.09,0.865945,0.995978,"618,145",-
"Dec 19, 2017",0.891689,1.30,0.891689,1.07,"1,311,500",-
"Dec 18, 2017",0.545047,0.955891,0.494350,0.923040,"1,402,320",-
"Dec 17, 2017",0.465939,0.555637,0.465108,0.543526,"668,684",-
"Dec 16, 2017",0.447073,0.521746,0.374214,0.467657,"321,833",-
"Dec 15, 2017",0.324743,0.517810,0.271627,0.459991,"356,085",-
"Dec 14, 2017",0.283248,0.334678,0.266042,0.313036,"223,647",-
"Dec 13, 2017",0.238937,0.302933,0.200113,0.283571,"61,046",-
"Dec 12, 2017",0.249483,0.273212,0.201545,0.243496,"110,783",-
"Dec 11, 2017",0.204161,0.266905,0.200462,0.251692,"99,028",-
"Dec 10, 2017",0.221542,0.222989,0.189714,0.206144,"62,742",-
"Dec 09, 2017",0.221804,0.233416,0.211718,0.220989,"41,340",-
"Dec 08, 2017",0.206701,0.228862,0.188442,0.220120,"91,047",-
"Dec 07, 2017",0.217796,0.253896,0.200381,0.203733,"188,541",-
"Dec 06, 2017",0.249615,0.251215,0.216633,0.217028,"131,398",-
"Dec 05, 2017",0.258401,0.263890,0.236230,0.252393,"123,205",-
"Dec 04, 2017",0.241359,0.267312,0.236581,0.258128,"165,105",-
"Dec 03, 2017",0.261369,0.278654,0.238085,0.246351,"54,807",-
