Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.149499,0.149855,0.130405,0.143826,"5,741,060","92,287,600"
"Mar 22, 2018",0.158753,0.163497,0.144985,0.149104,"4,541,910","98,000,800"
"Mar 21, 2018",0.155898,0.167847,0.153548,0.158777,"5,083,600","96,238,300"
"Mar 20, 2018",0.147045,0.157357,0.143193,0.155496,"4,551,590","90,773,100"
"Mar 19, 2018",0.138246,0.147943,0.132267,0.145568,"5,378,090","85,341,100"
"Mar 18, 2018",0.128866,0.139709,0.103420,0.138708,"5,820,580","79,550,600"
"Mar 17, 2018",0.143742,0.148297,0.126525,0.129370,"4,340,810","88,734,100"
"Mar 16, 2018",0.146017,0.151456,0.137897,0.143862,"4,533,250","90,138,300"
"Mar 15, 2018",0.143693,0.145778,0.134163,0.145778,"4,870,150","88,704,000"
"Mar 14, 2018",0.169291,0.178133,0.139208,0.143499,"5,912,600","104,506,000"
"Mar 13, 2018",0.175040,0.178509,0.164373,0.168989,"3,547,160","108,054,000"
"Mar 12, 2018",0.192021,0.192483,0.165098,0.175658,"12,487,800","118,537,000"
"Mar 11, 2018",0.160473,0.198824,0.155812,0.192066,"3,010,020","99,062,100"
"Mar 10, 2018",0.171808,0.189770,0.158583,0.161038,"2,269,250","106,060,000"
"Mar 09, 2018",0.167965,0.173280,0.141508,0.172533,"2,009,580","103,687,000"
"Mar 08, 2018",0.190445,0.194147,0.166072,0.168865,"1,867,400","117,564,000"
"Mar 07, 2018",0.205222,0.208505,0.161384,0.191088,"3,215,200","126,686,000"
"Mar 06, 2018",0.232764,0.233476,0.196123,0.206340,"2,958,820","143,688,000"
"Mar 05, 2018",0.236969,0.237372,0.223488,0.231903,"2,679,570","146,284,000"
"Mar 04, 2018",0.224794,0.246489,0.221693,0.237941,"4,744,120","138,769,000"
"Mar 03, 2018",0.237013,0.246530,0.220363,0.224548,"3,678,900","146,312,000"
"Mar 02, 2018",0.255288,0.258855,0.233522,0.237578,"4,005,910","157,593,000"
"Mar 01, 2018",0.252367,0.259753,0.249092,0.255535,"2,684,090","155,790,000"
"Feb 28, 2018",0.270266,0.272759,0.250607,0.251737,"2,389,310","166,839,000"
"Feb 27, 2018",0.266547,0.275265,0.262246,0.270154,"2,785,200","164,543,000"
"Feb 26, 2018",0.257530,0.270987,0.245955,0.265592,"2,458,400","158,977,000"
"Feb 25, 2018",0.256105,0.259416,0.245326,0.257710,"2,457,630","158,097,000"
"Feb 24, 2018",0.268984,0.278891,0.243255,0.256237,"2,518,600","166,048,000"
"Feb 23, 2018",0.254570,0.272015,0.242590,0.268724,"2,945,740","157,150,000"
"Feb 22, 2018",0.263186,0.282726,0.243172,0.254273,"3,033,380","162,468,000"
