Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.876438,0.905054,0.808380,0.840205,"468,958","45,574,800"
"Mar 22, 2018",0.942496,0.958926,0.847150,0.876210,"420,617","49,009,800"
"Mar 21, 2018",0.955859,1.01,0.936083,0.943351,"425,690","49,704,700"
"Mar 20, 2018",0.873815,0.987452,0.826596,0.953610,"599,502","45,438,400"
"Mar 19, 2018",0.805546,0.868003,0.783580,0.856747,"362,281","41,888,400"
"Mar 18, 2018",0.880059,0.880059,0.681005,0.808896,"619,625","45,763,100"
"Mar 17, 2018",0.946166,1.05,0.862159,0.903015,"3,064,830","49,200,700"
"Mar 16, 2018",0.824956,0.909365,0.778210,0.862748,"394,570","42,897,700"
"Mar 15, 2018",0.790328,0.839782,0.726324,0.833307,"571,217","41,097,000"
"Mar 14, 2018",1.01,1.04,0.749447,0.797524,"1,041,430","52,678,600"
"Mar 13, 2018",1.02,1.08,0.995583,1.01,"356,036","53,094,000"
"Mar 12, 2018",1.11,1.13,0.993946,1.03,"361,505","57,558,100"
"Mar 11, 2018",1.01,1.12,0.964311,1.10,"512,466","52,429,300"
"Mar 10, 2018",1.12,1.16,1.00,1.01,"387,927","58,388,400"
"Mar 09, 2018",1.16,1.16,0.942279,1.12,"557,450","60,079,300"
"Mar 08, 2018",1.33,1.33,1.13,1.16,"1,056,330","69,067,200"
"Mar 07, 2018",1.41,1.51,1.16,1.27,"2,270,060","73,260,000"
"Mar 06, 2018",1.56,1.56,1.38,1.41,"682,605","80,864,300"
"Mar 05, 2018",1.48,1.58,1.44,1.58,"1,523,530","76,992,600"
"Mar 04, 2018",1.52,1.55,1.40,1.47,"1,358,710","79,136,200"
"Mar 03, 2018",1.54,1.73,1.45,1.54,"3,773,070","80,185,200"
"Mar 02, 2018",1.24,2.01,1.23,1.54,"24,907,600","64,400,600"
"Mar 01, 2018",1.12,1.27,1.07,1.26,"826,656","58,113,800"
"Feb 28, 2018",1.19,1.22,1.11,1.12,"376,684","61,804,900"
"Feb 27, 2018",1.13,1.25,1.12,1.20,"778,800","58,810,200"
"Feb 26, 2018",1.17,1.17,1.07,1.13,"480,030","60,890,800"
"Feb 25, 2018",1.15,1.19,1.11,1.17,"290,887","59,684,100"
"Feb 24, 2018",1.20,1.25,1.12,1.14,"395,828","62,464,900"
"Feb 23, 2018",1.17,1.29,1.13,1.20,"517,687","60,645,500"
"Feb 22, 2018",1.19,1.46,1.15,1.17,"1,451,670","61,899,300"
