Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.137383,0.138332,0.128386,0.136324,"2,874","10,370,700"
"Mar 22, 2018",0.149933,0.154415,0.127779,0.137468,"6,064","11,318,000"
"Mar 21, 2018",0.152069,0.156340,0.138701,0.149631,"51,431","11,479,300"
"Mar 20, 2018",0.159330,0.159330,0.143979,0.152156,"12,415","12,027,400"
"Mar 19, 2018",0.146845,0.158267,0.135700,0.158100,"32,208","11,084,900"
"Mar 18, 2018",0.142591,0.149709,0.115260,0.147519,"42,579","10,763,800"
"Mar 17, 2018",0.145986,0.153066,0.131230,0.141972,"15,491","11,020,100"
"Mar 16, 2018",0.139417,0.150243,0.133025,0.145907,"8,771","10,524,300"
"Mar 15, 2018",0.145731,0.152868,0.133315,0.139594,"13,705","11,000,900"
"Mar 14, 2018",0.168170,0.170999,0.139695,0.145792,"15,143","12,694,700"
"Mar 13, 2018",0.161367,0.169050,0.153134,0.168158,"23,365","12,181,200"
"Mar 12, 2018",0.172211,0.180037,0.158859,0.161935,"2,814","12,999,800"
"Mar 11, 2018",0.161426,0.175397,0.156499,0.172629,"3,492","12,185,600"
"Mar 10, 2018",0.172546,0.179268,0.161175,0.161994,"5,265","13,025,100"
"Mar 09, 2018",0.170569,0.173329,0.152265,0.172629,"14,228","12,875,800"
"Mar 08, 2018",0.185182,0.189272,0.170746,0.171141,"9,639","13,978,900"
"Mar 07, 2018",0.190905,0.198231,0.171970,0.185293,"24,908","14,410,900"
"Mar 06, 2018",0.201572,0.201572,0.189977,0.191322,"26,573","15,216,200"
"Mar 05, 2018",0.209881,0.212520,0.201823,0.201823,"38,419","15,843,400"
"Mar 04, 2018",0.205058,0.209767,0.200874,0.209767,"68,201","15,479,300"
"Mar 03, 2018",0.221504,0.227114,0.205100,0.205244,"39,426","16,720,800"
"Mar 02, 2018",0.232084,0.233764,0.207107,0.221618,"25,675","17,519,400"
"Mar 01, 2018",0.220291,0.233797,0.217493,0.232457,"9,999","16,762,200"
"Feb 28, 2018",0.228141,0.243418,0.220005,0.220180,"17,686","17,359,500"
"Feb 27, 2018",0.258073,0.264093,0.227843,0.228297,"37,475","19,637,100"
"Feb 26, 2018",0.217593,0.267362,0.214805,0.257035,"44,990","16,556,900"
"Feb 25, 2018",0.218800,0.229242,0.213506,0.217447,"27,772","16,648,700"
"Feb 24, 2018",0.221490,0.227844,0.211154,0.218936,"18,271","16,853,400"
"Feb 23, 2018",0.215923,0.237355,0.211833,0.222001,"17,246","16,429,800"
"Feb 22, 2018",0.232778,0.240620,0.216309,0.216309,"59,380","17,712,300"
