Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",4.20,4.21,3.95,4.04,"229,974","14,553,000"
"Mar 22, 2018",4.45,4.49,4.18,4.20,"240,592","15,438,800"
"Mar 21, 2018",4.44,4.81,4.37,4.47,"445,508","15,392,500"
"Mar 20, 2018",4.28,4.46,4.11,4.43,"202,611","14,826,500"
"Mar 19, 2018",4.07,4.64,3.61,4.24,"731,228","14,112,300"
"Mar 18, 2018",3.48,4.59,3.03,4.25,"719,857","12,052,100"
"Mar 17, 2018",3.94,3.94,3.47,3.49,"104,116","13,642,000"
"Mar 16, 2018",3.89,4.00,3.74,3.93,"140,419","13,461,000"
"Mar 15, 2018",3.93,4.04,3.67,3.89,"198,683","13,618,600"
"Mar 14, 2018",4.72,4.78,3.90,3.93,"141,368","16,334,700"
"Mar 13, 2018",5.05,5.18,4.68,4.72,"614,936","17,488,500"
"Mar 12, 2018",5.32,5.38,4.94,5.07,"293,306","18,436,500"
"Mar 11, 2018",5.18,5.50,5.03,5.34,"476,518","17,950,700"
"Mar 10, 2018",5.39,5.44,5.17,5.18,"549,535","18,671,900"
"Mar 09, 2018",5.38,5.57,4.63,5.39,"671,532","18,608,900"
"Mar 08, 2018",5.77,6.15,5.27,5.41,"1,435,680","19,967,700"
"Mar 07, 2018",6.20,6.42,5.49,5.79,"910,888","21,467,600"
"Mar 06, 2018",6.96,6.96,6.20,6.27,"564,470","24,078,100"
"Mar 05, 2018",7.36,7.36,6.71,6.96,"1,559,250","25,454,400"
"Mar 04, 2018",6.64,7.30,6.27,6.89,"1,413,110","22,985,300"
"Mar 03, 2018",6.79,7.55,6.50,6.57,"1,969,570","23,488,600"
"Mar 02, 2018",6.61,9.18,6.38,6.89,"9,898,100","22,859,700"
"Mar 01, 2018",5.73,6.73,5.63,6.63,"950,702","19,808,000"
"Feb 28, 2018",5.84,6.05,5.66,5.72,"398,992","20,190,300"
"Feb 27, 2018",5.88,6.06,5.72,5.84,"244,142","20,321,400"
"Feb 26, 2018",5.60,5.97,5.41,5.86,"456,938","19,360,100"
"Feb 25, 2018",5.96,6.88,5.54,5.61,"1,299,980","20,590,000"
"Feb 24, 2018",5.94,6.93,5.69,5.95,"678,903","20,541,300"
"Feb 23, 2018",5.39,6.06,5.29,5.95,"234,238","18,620,500"
"Feb 22, 2018",5.78,6.26,5.38,5.39,"227,160","19,976,700"
