Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.045945,0.048633,0.042864,0.044708,"759,100","20,949,600"
"Mar 24, 2018",0.048156,0.050943,0.046042,0.046352,"662,413","21,934,200"
"Mar 23, 2018",0.050587,0.050870,0.047106,0.047624,"486,444","23,041,500"
"Mar 22, 2018",0.049759,0.052173,0.049227,0.050368,"509,500","22,664,600"
"Mar 21, 2018",0.048055,0.052436,0.048014,0.049769,"447,179","21,886,400"
"Mar 20, 2018",0.043921,0.048554,0.041425,0.047913,"453,170","19,991,100"
"Mar 19, 2018",0.042845,0.045405,0.040899,0.043660,"536,267","19,501,400"
"Mar 18, 2018",0.044442,0.044442,0.035655,0.042999,"570,429","20,228,400"
"Mar 17, 2018",0.048435,0.049731,0.043664,0.044423,"459,566",-
"Mar 16, 2018",0.046049,0.054800,0.043108,0.048221,"751,011",-
"Mar 15, 2018",0.047883,0.048501,0.041318,0.046118,"352,830",-
"Mar 14, 2018",0.052357,0.056761,0.046304,0.047920,"248,108",-
"Mar 13, 2018",0.053965,0.058120,0.051380,0.052341,"282,168",-
"Mar 12, 2018",0.058256,0.059111,0.052567,0.054071,"217,386",-
"Mar 11, 2018",0.055088,0.058419,0.051026,0.058419,"369,960",-
"Mar 10, 2018",0.054137,0.057183,0.052757,0.055316,"338,960",-
"Mar 09, 2018",0.055965,0.056431,0.048770,0.054159,"283,280",-
"Mar 08, 2018",0.063299,0.063894,0.054501,0.056091,"332,119",-
"Mar 07, 2018",0.070095,0.072458,0.055764,0.062780,"564,321",-
"Mar 06, 2018",0.081588,0.082029,0.067808,0.070245,"1,331,120",-
"Mar 05, 2018",0.076545,0.088861,0.076332,0.081407,"704,700",-
"Mar 04, 2018",0.073566,0.078656,0.070640,0.076538,"434,627",-
"Mar 03, 2018",0.080400,0.080400,0.069091,0.073600,"415,812",-
"Mar 02, 2018",0.077237,0.082859,0.074272,0.080461,"565,818",-
"Mar 01, 2018",0.078868,0.079128,0.073853,0.077289,"389,228",-
"Feb 28, 2018",0.079143,0.089170,0.075499,0.078875,"668,784",-
"Feb 27, 2018",0.082394,0.088332,0.075174,0.079003,"535,537",-
"Feb 26, 2018",0.081254,0.086338,0.079995,0.082601,"240,768",-
"Feb 25, 2018",0.086569,0.088938,0.079224,0.081211,"450,496",-
"Feb 24, 2018",0.088600,0.093355,0.084103,0.086754,"677,493",-
"Feb 23, 2018",0.079727,0.091584,0.077836,0.088542,"1,013,540",-
"Feb 22, 2018",0.081989,0.091445,0.078805,0.080161,"913,683",-
"Feb 21, 2018",0.079802,0.085080,0.079194,0.085023,"770,317",-
