Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",0.106308,0.107095,0.099980,0.101268,"1,312,360","22,324,700"
"Mar 20, 2018",0.106793,0.204021,0.095357,0.105178,"1,363,000","22,426,400"
"Mar 19, 2018",0.098654,0.105863,0.094012,0.105863,"1,084,420","20,717,300"
"Mar 18, 2018",0.098109,0.101482,0.078293,0.096216,"1,738,820","20,602,800"
"Mar 17, 2018",0.124550,0.124550,0.096881,0.097445,"1,308,630","26,155,500"
"Mar 16, 2018",0.137198,0.141149,0.122112,0.122872,"3,125,650","28,811,600"
"Mar 15, 2018",0.127855,0.146245,0.109757,0.137232,"4,747,190","26,849,500"
"Mar 14, 2018",0.133010,0.157743,0.121580,0.128481,"6,372,470","27,932,000"
"Mar 13, 2018",0.122870,0.156581,0.111929,0.133429,"4,463,330","25,802,600"
"Mar 12, 2018",0.135755,0.139554,0.117201,0.122604,"1,540,830","28,508,600"
"Mar 11, 2018",0.115336,0.138427,0.109282,0.131301,"1,432,690","24,220,500"
"Mar 10, 2018",0.118004,0.127191,0.114086,0.116577,"989,880","24,780,900"
"Mar 09, 2018",0.124051,0.128744,0.101440,0.118063,"1,606,760","26,050,800"
"Mar 08, 2018",0.135773,0.173005,0.116844,0.125770,"1,348,810","28,512,400"
"Mar 07, 2018",0.139885,0.153918,0.125522,0.135282,"5,076,280","29,375,800"
"Mar 06, 2018",0.154152,0.154152,0.137464,0.139028,"1,439,660","32,371,900"
"Mar 05, 2018",0.162162,0.162738,0.151497,0.155253,"2,110,840","34,054,100"
"Mar 04, 2018",0.169664,0.169664,0.150309,0.163702,"2,910,920","35,629,400"
"Mar 03, 2018",0.167352,0.208206,0.161155,0.166750,"19,689,200","35,144,000"
"Mar 02, 2018",0.159300,0.182295,0.137067,0.168702,"14,098,900","33,453,100"
"Mar 01, 2018",0.122759,0.191674,0.120345,0.163968,"20,695,700","25,779,500"
"Feb 28, 2018",0.137606,0.139729,0.122475,0.122636,"920,612","28,897,200"
"Feb 27, 2018",0.131351,0.145708,0.130009,0.137018,"2,628,330","27,583,600"
"Feb 26, 2018",0.124690,0.133946,0.119051,0.131071,"1,015,740","26,185,000"
"Feb 25, 2018",0.125113,0.128714,0.117281,0.124510,"986,549","26,273,700"
"Feb 24, 2018",0.130346,0.136587,0.118720,0.123897,"811,770","27,372,700"
"Feb 23, 2018",0.125542,0.136846,0.124047,0.132160,"3,449,830","26,363,800"
"Feb 22, 2018",0.131812,0.139700,0.118683,0.123763,"972,721","27,680,500"
"Feb 21, 2018",0.138548,0.144496,0.125015,0.132533,"1,802,290","29,095,100"
"Feb 20, 2018",0.166965,0.167869,0.135567,0.137753,"2,232,560","35,062,700"
"Feb 19, 2018",0.160291,0.171855,0.159451,0.167075,"1,712,020","33,661,000"
"Feb 18, 2018",0.178568,0.203514,0.160203,0.160203,"5,007,490","37,499,200"
"Feb 17, 2018",0.164818,0.179283,0.162078,0.178115,"2,218,770","34,611,700"
"Feb 16, 2018",0.165018,0.166506,0.155290,0.166506,"1,331,820","34,653,700"
"Feb 15, 2018",0.166550,0.187895,0.153754,0.165713,"2,710,000","34,975,500"
"Feb 14, 2018",0.152831,0.166871,0.149209,0.164946,"1,597,160","32,094,500"
"Feb 13, 2018",0.159343,0.167699,0.150481,0.153583,"1,423,080","33,461,900"
"Feb 12, 2018",0.148631,0.163888,0.147058,0.159105,"1,708,190","31,212,500"
"Feb 11, 2018",0.165664,0.165664,0.141156,0.147690,"1,351,550","34,789,500"
"Feb 10, 2018",0.170624,0.199215,0.149871,0.165249,"6,238,050","35,831,000"
"Feb 09, 2018",0.152794,0.179394,0.141659,0.171033,"2,793,360","32,086,700"
"Feb 08, 2018",0.132762,0.160599,0.132762,0.152518,"2,004,790","27,879,900"
"Feb 07, 2018",0.136903,0.169991,0.119641,0.133218,"3,842,690","28,749,700"
"Feb 06, 2018",0.119750,0.143221,0.092730,0.139332,"2,506,930","25,147,400"
