Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.097856,0.103011,0.089739,0.098843,"8,191,200","47,854,700"
"Mar 22, 2018",0.105636,0.113869,0.094828,0.097601,"7,919,410","51,628,000"
"Mar 21, 2018",0.100099,0.112904,0.098514,0.105611,"9,507,810","48,921,500"
"Mar 20, 2018",0.094748,0.101697,0.086373,0.099703,"6,536,970","46,306,300"
"Mar 19, 2018",0.084276,0.096340,0.080506,0.094034,"7,207,390","41,188,500"
"Mar 18, 2018",0.088816,0.088816,0.069250,0.084284,"7,005,690","43,407,400"
"Mar 17, 2018",0.098648,0.098668,0.088285,0.089021,"5,962,940","48,212,300"
"Mar 16, 2018",0.101273,0.103590,0.094199,0.098422,"8,888,590","49,495,300"
"Mar 15, 2018",0.092219,0.110173,0.089255,0.101029,"16,252,100","45,070,400"
"Mar 14, 2018",0.103433,0.116372,0.090615,0.092306,"7,395,920","50,551,300"
"Mar 13, 2018",0.106501,0.109457,0.101659,0.103503,"5,761,030","52,050,400"
"Mar 12, 2018",0.111329,0.115298,0.102894,0.106892,"8,997,030","54,410,400"
"Mar 11, 2018",0.102173,0.115356,0.097811,0.111488,"4,240,140","49,935,100"
"Mar 10, 2018",0.109804,0.115887,0.101977,0.102543,"3,837,170","53,665,000"
"Mar 09, 2018",0.115214,0.116396,0.095393,0.110331,"4,294,940","56,309,000"
"Mar 08, 2018",0.125071,0.126946,0.113454,0.115920,"4,929,850","61,126,100"
"Mar 07, 2018",0.149246,0.149246,0.118095,0.125522,"7,089,790","72,941,600"
"Mar 06, 2018",0.154108,0.158365,0.142194,0.148201,"12,948,800","75,317,700"
"Mar 05, 2018",0.141568,0.154477,0.141041,0.146068,"6,833,630","69,189,000"
"Mar 04, 2018",0.142206,0.143166,0.135529,0.141664,"8,497,030","69,500,600"
"Mar 03, 2018",0.151037,0.153404,0.140629,0.142682,"9,242,740","73,816,700"
"Mar 02, 2018",0.142823,0.157854,0.138826,0.151549,"11,983,900","69,802,200"
"Mar 01, 2018",0.133457,0.150385,0.128464,0.143170,"10,532,000","65,465,100"
"Feb 28, 2018",0.145260,0.146106,0.133332,0.133421,"6,009,950","71,254,600"
"Feb 27, 2018",0.147093,0.148788,0.141223,0.145504,"6,165,680","72,154,100"
"Feb 26, 2018",0.141176,0.156560,0.138026,0.146895,"7,018,240","69,251,600"
"Feb 25, 2018",0.139402,0.149358,0.136430,0.140859,"6,364,730","68,381,200"
"Feb 24, 2018",0.152597,0.157788,0.135654,0.139501,"6,200,330","74,853,800"
"Feb 23, 2018",0.146939,0.156208,0.143427,0.152656,"4,611,320","72,078,300"
"Feb 22, 2018",0.157240,0.174761,0.146601,0.147347,"4,535,650","77,131,500"
