Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.086505,0.122063,0.068415,0.094155,876,"10,592,600"
"Mar 28, 2018",0.078330,0.091861,0.067079,0.086404,"4,028","9,588,230"
"Mar 27, 2018",0.084195,0.088928,0.067159,0.078348,"1,585","10,302,500"
"Mar 26, 2018",0.100834,0.136692,0.084146,0.084322,"1,833","12,334,200"
"Mar 25, 2018",0.098531,0.128051,0.056877,0.100911,"2,183","12,048,400"
"Mar 24, 2018",0.124820,0.124928,0.092120,0.099906,"1,920","15,257,500"
"Mar 23, 2018",0.162596,0.190200,0.102926,0.123028,"4,068","19,868,200"
"Mar 22, 2018",0.116844,0.235170,0.116197,0.162600,"4,445","14,272,600"
"Mar 21, 2018",0.152466,0.158723,0.107383,0.117058,"4,762","18,617,200"
"Mar 20, 2018",0.144360,0.153218,0.099661,0.152190,"1,174","17,621,200"
"Mar 19, 2018",0.136777,0.245242,0.043444,0.142767,"4,696","16,689,700"
"Mar 18, 2018",0.299087,0.299087,0.077313,0.137356,"1,665","36,482,100"
"Mar 17, 2018",0.334174,0.334174,0.062056,0.299816,997,"40,747,500"
"Mar 16, 2018",0.345308,0.346385,0.327171,0.333625,373,"42,090,300"
"Mar 15, 2018",0.330335,0.345089,0.317808,0.344773,236,"40,250,900"
"Mar 14, 2018",0.366760,0.374028,0.321748,0.330483,136,"44,673,500"
"Mar 13, 2018",0.364765,0.386486,0.356876,0.366717,127,"44,414,700"
"Mar 12, 2018",0.408880,0.421341,0.354098,0.366748,129,"49,768,500"
"Mar 11, 2018",0.353744,0.410172,0.341696,0.410172,204,"43,042,200"
"Mar 10, 2018",0.398611,0.406732,0.351747,0.354966,"1,946","48,484,300"
"Mar 09, 2018",0.365770,0.400519,0.350975,0.398443,"1,873","44,473,900"
"Mar 08, 2018",0.396440,0.422821,0.361828,0.366799,184,"48,186,000"
"Mar 07, 2018",0.425951,0.442293,0.378231,0.397000,700,"51,754,600"
