Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.009242,0.009337,0.008602,0.009050,"166,235","17,442,000"
"Mar 22, 2018",0.009540,0.010181,0.008768,0.009242,"116,614","18,004,300"
"Mar 21, 2018",0.009066,0.009956,0.008156,0.009528,"200,528","17,110,300"
"Mar 20, 2018",0.009168,0.009267,0.008431,0.009081,"191,649","17,302,700"
"Mar 19, 2018",0.008681,0.009341,0.008322,0.009114,"114,545","16,384,100"
"Mar 18, 2018",0.008393,0.008826,0.006650,0.008826,"225,924","15,839,000"
"Mar 17, 2018",0.009270,0.009466,0.008254,0.008290,"99,358","17,495,600"
"Mar 16, 2018",0.009498,0.009622,0.008841,0.009237,"101,892","17,924,600"
"Mar 15, 2018",0.009485,0.010558,0.008970,0.009396,"91,012","17,901,400"
"Mar 14, 2018",0.010669,0.011116,0.009235,0.009485,"103,410","20,135,000"
"Mar 13, 2018",0.010774,0.011128,0.010516,0.010718,"82,427","20,332,700"
"Mar 12, 2018",0.010980,0.011577,0.010430,0.010807,"100,790","20,722,400"
"Mar 11, 2018",0.010077,0.011489,0.009643,0.011004,"126,393","19,018,900"
"Mar 10, 2018",0.011217,0.011737,0.010066,0.010106,"136,513","21,160,200"
"Mar 09, 2018",0.011005,0.011345,0.009685,0.011217,"217,341","20,760,000"
"Mar 08, 2018",0.011354,0.012089,0.010140,0.011044,"251,821","21,419,400"
"Mar 07, 2018",0.013012,0.013469,0.010935,0.011642,"212,455","24,546,000"
"Mar 06, 2018",0.013565,0.013975,0.012604,0.012999,"384,295","25,589,800"
"Mar 05, 2018",0.013289,0.013987,0.013122,0.013581,"332,004","25,068,100"
"Mar 04, 2018",0.013978,0.014072,0.013096,0.013422,"263,768","26,346,200"
"Mar 03, 2018",0.013984,0.014487,0.013327,0.013992,"274,041","26,358,400"
"Mar 02, 2018",0.015216,0.015222,0.013498,0.013932,"687,512","28,680,900"
"Mar 01, 2018",0.015135,0.016220,0.014377,0.014990,"540,216","28,528,700"
"Feb 28, 2018",0.015063,0.016308,0.014755,0.014755,"319,363","28,392,300"
"Feb 27, 2018",0.016826,0.017780,0.015050,0.015067,"556,256","31,715,500"
"Feb 26, 2018",0.014530,0.017866,0.014392,0.016785,"445,928","27,290,600"
"Feb 25, 2018",0.015512,0.015657,0.013693,0.014517,"439,264","29,135,400"
"Feb 24, 2018",0.016697,0.017163,0.014652,0.015539,"219,513","31,360,300"
"Feb 23, 2018",0.015167,0.017103,0.014644,0.016713,"371,617","28,487,600"
"Feb 22, 2018",0.016001,0.016727,0.014451,0.015182,"265,520","30,053,300"
