Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.035338,0.036237,0.030091,0.034039,"32,363","17,023,300"
"Mar 22, 2018",0.036590,0.039803,0.034080,0.034919,"52,847","17,626,400"
"Mar 21, 2018",0.034227,0.043344,0.032959,0.036858,"67,494","16,487,800"
"Mar 20, 2018",0.031417,0.037463,0.027715,0.034157,"90,165","15,134,500"
"Mar 19, 2018",0.017528,0.030897,0.016299,0.030563,"87,471","8,443,760"
"Mar 18, 2018",0.019769,0.019769,0.013721,0.017595,"53,644","9,523,170"
"Mar 17, 2018",0.021950,0.022483,0.017243,0.019842,"43,683","10,573,700"
"Mar 16, 2018",0.024872,0.026086,0.022046,0.022046,"34,390","11,981,300"
"Mar 15, 2018",0.025199,0.025562,0.023706,0.024890,"29,976","12,139,000"
"Mar 14, 2018",0.029195,0.030474,0.024377,0.025193,"36,430","14,063,900"
"Mar 13, 2018",0.029923,0.031134,0.028489,0.029195,"21,023","14,414,700"
"Mar 12, 2018",0.029107,0.031978,0.028292,0.030083,"31,020","14,021,300"
"Mar 11, 2018",0.027984,0.030701,0.026777,0.029190,"34,684","13,480,400"
"Mar 10, 2018",0.029954,0.030822,0.027944,0.028083,"35,134","14,429,500"
"Mar 09, 2018",0.031422,0.032464,0.025355,0.029768,"38,137","15,136,500"
"Mar 08, 2018",0.033771,0.035106,0.026832,0.031638,"71,178","16,268,000"
"Mar 07, 2018",0.037692,0.040274,0.032364,0.033845,"34,273","18,156,800"
"Mar 06, 2018",0.044761,0.044761,0.037239,0.037748,"41,134","21,562,400"
"Mar 05, 2018",0.042146,0.045448,0.040225,0.044965,"64,277","20,302,300"
"Mar 04, 2018",0.042547,0.043121,0.039372,0.041659,"51,470","20,495,800"
"Mar 03, 2018",0.041673,0.046212,0.041592,0.042616,"59,156","20,074,500"
"Mar 02, 2018",0.040840,0.045050,0.040517,0.041770,"61,005","19,673,400"
"Mar 01, 2018",0.040517,0.044063,0.035522,0.040933,"102,188","19,517,700"
"Feb 28, 2018",0.047308,0.048054,0.040456,0.040456,"129,015","22,789,100"
"Feb 27, 2018",0.048346,0.050220,0.045669,0.047386,"52,840","23,289,300"
"Feb 26, 2018",0.047882,0.050317,0.045960,0.048249,"68,597","23,065,900"
"Feb 25, 2018",0.049465,0.050079,0.046788,0.048166,"50,689","23,828,400"
"Feb 24, 2018",0.054207,0.056183,0.048313,0.049541,"46,960","26,112,600"
"Feb 23, 2018",0.051909,0.055983,0.049476,0.053772,"55,999","25,005,400"
"Feb 22, 2018",0.054473,0.059301,0.051560,0.051560,"69,449","26,240,700"
