Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",2.04,2.15,1.88,2.07,"217,335","24,187,800"
"Mar 22, 2018",2.06,2.11,1.91,2.04,"127,388","24,337,500"
"Mar 21, 2018",1.94,2.46,1.92,2.04,"1,504,170","22,933,500"
"Mar 20, 2018",1.65,2.05,1.59,1.93,"291,089","19,486,100"
"Mar 19, 2018",1.59,1.72,1.51,1.63,"154,318","18,834,300"
"Mar 18, 2018",1.66,1.67,1.33,1.60,"233,646","19,623,100"
"Mar 17, 2018",1.90,1.93,1.62,1.65,"86,547","22,419,800"
"Mar 16, 2018",1.95,1.98,1.81,1.90,"160,060","23,066,500"
"Mar 15, 2018",1.88,2.01,1.72,1.95,"377,138","22,221,300"
"Mar 14, 2018",2.33,2.55,1.88,1.88,"333,521","27,490,500"
"Mar 13, 2018",2.53,2.81,2.31,2.35,"446,856","29,828,500"
"Mar 12, 2018",2.57,2.70,2.21,2.54,"346,922","30,353,500"
"Mar 11, 2018",2.38,2.74,2.24,2.61,"413,499","28,135,100"
"Mar 10, 2018",2.67,2.73,2.33,2.48,"453,689","31,472,500"
"Mar 09, 2018",2.98,3.01,2.29,2.68,"847,930","35,179,900"
"Mar 08, 2018",3.17,3.35,2.95,2.97,"364,606","37,402,600"
"Mar 07, 2018",3.64,3.73,3.00,3.18,"880,366","42,955,700"
"Mar 06, 2018",3.43,4.20,3.43,3.74,"5,303,480","40,400,800"
"Mar 05, 2018",3.64,4.36,3.44,3.47,"2,929,010","42,842,200"
"Mar 04, 2018",3.75,3.78,3.51,3.65,"341,119","44,129,600"
"Mar 03, 2018",4.02,4.22,3.62,3.75,"1,596,710","47,327,000"
"Mar 02, 2018",3.55,4.79,3.48,3.97,"5,806,450","41,837,600"
"Mar 01, 2018",3.19,3.61,3.10,3.54,"1,134,100","37,590,800"
"Feb 28, 2018",2.94,3.50,2.90,3.18,"500,198","34,547,000"
"Feb 27, 2018",2.90,3.04,2.77,2.94,"200,396","34,050,800"
"Feb 26, 2018",2.64,2.92,2.59,2.88,"173,626","31,072,600"
"Feb 25, 2018",2.71,2.81,2.59,2.63,"99,764","31,874,700"
"Feb 24, 2018",2.90,3.00,2.60,2.68,"155,186","34,131,500"
"Feb 23, 2018",2.79,3.08,2.69,2.92,"205,283","32,805,800"
"Feb 22, 2018",2.80,3.00,2.62,2.79,"232,332","32,906,200"
