Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.013218,0.013268,0.012052,0.012555,"4,099,130","440,033,000"
"Mar 22, 2018",0.013240,0.013903,0.012266,0.013222,"5,155,100","440,530,000"
"Mar 21, 2018",0.013651,0.014162,0.012842,0.013262,"6,628,440","453,853,000"
"Mar 20, 2018",0.011902,0.013857,0.011045,0.013578,"6,491,530","395,437,000"
"Mar 19, 2018",0.010926,0.012001,0.010683,0.011767,"4,838,740","362,791,000"
"Mar 18, 2018",0.009713,0.011064,0.008956,0.010829,"5,498,350","322,280,000"
"Mar 17, 2018",0.011594,0.011594,0.009628,0.009733,"2,347,350","384,419,000"
"Mar 16, 2018",0.011780,0.012145,0.011263,0.011521,"2,022,010","390,350,000"
"Mar 15, 2018",0.012091,0.012218,0.010804,0.011648,"3,922,380","400,317,000"
"Mar 14, 2018",0.013659,0.014346,0.011810,0.012166,"3,853,260","451,166,000"
"Mar 13, 2018",0.014360,0.014789,0.013590,0.013778,"4,523,810","474,314,000"
"Mar 12, 2018",0.013951,0.016075,0.013685,0.014338,"9,126,530","460,824,000"
"Mar 11, 2018",0.012875,0.014365,0.012385,0.013945,"2,377,630","425,138,000"
"Mar 10, 2018",0.013585,0.014141,0.012870,0.013003,"2,799,510","448,282,000"
"Mar 09, 2018",0.014141,0.014371,0.011849,0.013750,"6,668,280","466,316,000"
"Mar 08, 2018",0.015321,0.016123,0.014024,0.014189,"6,111,220","504,863,000"
"Mar 07, 2018",0.017835,0.018119,0.014241,0.015438,"12,180,500","587,295,000"
"Mar 06, 2018",0.020268,0.020268,0.017662,0.017895,"5,984,640","666,972,000"
"Mar 05, 2018",0.019891,0.020538,0.019625,0.020404,"6,560,710","654,152,000"
"Mar 04, 2018",0.020173,0.020245,0.019025,0.020017,"5,738,800","662,971,000"
"Mar 03, 2018",0.020736,0.021333,0.020030,0.020198,"6,888,900","680,965,000"
"Mar 02, 2018",0.021588,0.022263,0.020528,0.020912,"13,311,300","708,481,000"
"Mar 01, 2018",0.019203,0.023155,0.019084,0.021690,"27,037,500","629,803,000"
"Feb 28, 2018",0.021923,0.022204,0.019267,0.019284,"8,767,140","718,485,000"
"Feb 27, 2018",0.022190,0.022433,0.021150,0.022040,"8,828,730","726,709,000"
"Feb 26, 2018",0.020995,0.022525,0.020838,0.022123,"9,791,580","687,075,000"
"Feb 25, 2018",0.021126,0.021633,0.020124,0.021089,"8,595,780","690,907,000"
"Feb 24, 2018",0.022574,0.023369,0.020370,0.021028,"9,997,190","737,769,000"
"Feb 23, 2018",0.021751,0.023282,0.021007,0.022598,"12,192,500","710,439,000"
"Feb 22, 2018",0.024187,0.026225,0.021465,0.021909,"15,988,100","789,449,000"
