Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.064295,0.076497,0.059734,0.067705,"3,813,600","38,577,200"
"Mar 22, 2018",0.065964,0.068509,0.060337,0.064293,"738,247","39,578,200"
"Mar 21, 2018",0.064513,0.068075,0.062491,0.066176,"978,619","38,707,800"
"Mar 20, 2018",0.062112,0.065036,0.058522,0.064281,"1,344,330","37,267,200"
"Mar 19, 2018",0.057734,0.063058,0.057066,0.061425,"472,730","34,640,400"
"Mar 18, 2018",0.058943,0.058943,0.048656,0.057977,"651,310","35,365,900"
"Mar 17, 2018",0.064955,0.065445,0.058142,0.059082,"399,843","38,973,100"
"Mar 16, 2018",0.065788,0.069134,0.061660,0.065070,"637,039","39,472,600"
"Mar 15, 2018",0.065046,0.072718,0.058381,0.066347,"1,585,200","39,027,400"
"Mar 14, 2018",0.077441,0.078769,0.063112,0.064997,"605,347","46,464,600"
"Mar 13, 2018",0.077236,0.080146,0.074143,0.077294,"637,439","46,341,400"
"Mar 12, 2018",0.083059,0.086181,0.074060,0.077388,"712,708","49,835,500"
"Mar 11, 2018",0.075255,0.084003,0.072967,0.083479,"740,789","45,153,100"
"Mar 10, 2018",0.083751,0.086774,0.074922,0.075423,"862,520","50,250,700"
"Mar 09, 2018",0.085317,0.088354,0.070289,0.083588,"3,588,140","51,189,900"
"Mar 08, 2018",0.080475,0.096265,0.077870,0.086258,"3,742,820","48,285,100"
"Mar 07, 2018",0.096475,0.102091,0.078692,0.080723,"1,557,390","57,885,100"
"Mar 06, 2018",0.105731,0.105874,0.095854,0.096563,"1,009,900","63,438,800"
"Mar 05, 2018",0.110897,0.111624,0.106202,0.106202,"1,059,270","66,538,200"
"Mar 04, 2018",0.114453,0.114756,0.107153,0.111030,"1,139,380","68,672,000"
"Mar 03, 2018",0.120180,0.123804,0.113397,0.116163,"1,575,270","72,108,200"
"Mar 02, 2018",0.118956,0.122130,0.116886,0.120443,"1,426,680","71,373,500"
"Mar 01, 2018",0.109214,0.125210,0.108271,0.119866,"2,388,520","65,528,600"
"Feb 28, 2018",0.114506,0.121587,0.107305,0.108801,"3,224,900","68,703,400"
"Feb 27, 2018",0.119011,0.125182,0.112093,0.114688,"2,878,480","71,406,500"
"Feb 26, 2018",0.133619,0.143333,0.111008,0.117952,"9,558,660","80,171,100"
"Feb 25, 2018",0.106477,0.141959,0.100666,0.133023,"18,848,600","63,886,500"
"Feb 24, 2018",0.108706,0.112300,0.097635,0.105767,"1,498,550","65,223,600"
"Feb 23, 2018",0.106199,0.109606,0.103181,0.109187,"1,982,760","63,719,100"
"Feb 22, 2018",0.121207,0.124251,0.106471,0.106991,"3,263,740","72,724,400"
