Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.177231,0.178507,0.146268,0.165148,"1,099,210","92,463,300"
"Mar 22, 2018",0.191681,0.197022,0.167895,0.177242,"546,769","100,002,000"
"Mar 21, 2018",0.187336,0.206163,0.183128,0.192214,"402,439","97,735,200"
"Mar 20, 2018",0.181620,0.194176,0.172046,0.188428,"457,850","94,753,100"
"Mar 19, 2018",0.171125,0.201694,0.167450,0.179873,"672,066","89,277,800"
"Mar 18, 2018",0.173673,0.173673,0.142733,0.172365,"489,570","90,607,200"
"Mar 17, 2018",0.198357,0.199166,0.170650,0.173974,"200,033","103,485,000"
"Mar 16, 2018",0.192938,0.203679,0.183505,0.198134,"349,846","100,658,000"
"Mar 15, 2018",0.209962,0.261324,0.184665,0.195661,"635,188","109,539,000"
"Mar 14, 2018",0.257932,0.263443,0.205115,0.210291,"723,906","134,566,000"
"Mar 13, 2018",0.262464,0.272070,0.243130,0.255453,"447,195","136,930,000"
"Mar 12, 2018",0.279584,0.292046,0.245223,0.263982,"631,796","145,862,000"
"Mar 11, 2018",0.262701,0.288237,0.254214,0.280013,"379,215","137,054,000"
"Mar 10, 2018",0.299973,0.312666,0.262340,0.263530,"504,754","156,499,000"
"Mar 09, 2018",0.265294,0.301410,0.241990,0.300390,"667,017","138,532,000"
"Mar 08, 2018",0.300810,0.306464,0.253070,0.265634,"965,520","139,032,000"
"Mar 07, 2018",0.340425,0.344009,0.294318,0.301727,"554,380","157,099,000"
"Mar 06, 2018",0.367424,0.367424,0.332802,0.339678,"433,435","169,559,000"
"Mar 05, 2018",0.359049,0.380751,0.358171,0.367783,"544,286","165,692,000"
"Mar 04, 2018",0.372814,0.386165,0.354826,0.360532,"363,084","171,939,000"
"Mar 03, 2018",0.373596,0.414888,0.359509,0.373228,"901,588","172,061,000"
"Mar 02, 2018",0.359189,0.432270,0.353480,0.372367,"2,409,880","165,426,000"
"Mar 01, 2018",0.331850,0.368763,0.330557,0.357597,"576,275","152,834,000"
"Feb 28, 2018",0.359038,0.359780,0.331885,0.331885,"877,622","165,356,000"
"Feb 27, 2018",0.401480,0.407083,0.349650,0.362172,"1,317,020","184,903,000"
"Feb 26, 2018",0.353447,0.411286,0.350483,0.399285,"2,487,780","162,781,000"
"Feb 25, 2018",0.320139,0.355460,0.317645,0.351748,"818,277","147,441,000"
"Feb 24, 2018",0.320312,0.331431,0.300732,0.320564,"685,591","147,521,000"
"Feb 23, 2018",0.312299,0.343459,0.297092,0.322044,"584,760","143,830,000"
"Feb 22, 2018",0.342089,0.362295,0.306412,0.309009,"657,212","155,840,000"
