Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",0.240433,0.257693,0.220718,0.241479,"9,421,270","55,121,100"
"Mar 29, 2018",0.295149,0.319550,0.232996,0.240351,"10,719,100","67,665,300"
"Mar 28, 2018",0.288824,0.308725,0.280130,0.294869,"10,171,300","66,215,200"
"Mar 27, 2018",0.322046,0.323351,0.283913,0.290957,"9,023,430","73,831,700"
"Mar 26, 2018",0.359983,0.367305,0.303041,0.322205,"11,665,700","82,529,000"
"Mar 25, 2018",0.379524,0.399536,0.355510,0.359810,"11,106,100","87,008,800"
"Mar 24, 2018",0.397001,0.416938,0.382006,0.383567,"9,886,790","91,015,700"
"Mar 23, 2018",0.413259,0.414312,0.383739,0.392837,"7,930,880","94,743,000"
"Mar 22, 2018",0.448475,0.469209,0.391296,0.414043,"8,325,580","102,817,000"
"Mar 21, 2018",0.438964,0.461452,0.432339,0.448525,"19,314,300","100,636,000"
"Mar 20, 2018",0.434574,0.439569,0.405471,0.439569,"7,331,640","99,629,700"
"Mar 19, 2018",0.442955,0.456605,0.403374,0.431316,"10,962,700","101,551,000"
"Mar 18, 2018",0.457909,0.457909,0.351900,0.442111,"8,901,850","104,979,000"
"Mar 17, 2018",0.516418,0.517194,0.437053,0.459429,"11,937,300","118,393,000"
"Mar 16, 2018",0.568689,0.572956,0.515280,0.515503,"18,138,600","130,377,000"
"Mar 15, 2018",0.532877,0.580867,0.473850,0.568912,"13,675,100","122,166,000"
"Mar 14, 2018",0.605782,0.618086,0.520750,0.531430,"8,307,750","138,880,000"
"Mar 13, 2018",0.631064,0.666000,0.573378,0.609988,"13,701,000","144,677,000"
"Mar 12, 2018",0.612381,0.671308,0.591729,0.635707,"11,982,800","140,393,000"
"Mar 11, 2018",0.602949,0.629713,0.571163,0.612636,"10,119,600","138,231,000"
"Mar 10, 2018",0.640933,0.688178,0.597860,0.606693,"8,993,680","146,939,000"
"Mar 09, 2018",0.713988,0.732326,0.567584,0.642468,"9,875,170","163,688,000"
"Mar 08, 2018",0.602559,0.800100,0.591020,0.723584,"36,186,300","138,142,000"
"Mar 07, 2018",0.641708,0.659895,0.569134,0.603100,"11,931,500","147,117,000"
