Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.130622,0.135377,0.119942,0.131594,"87,910","106,725,000"
"Mar 22, 2018",0.139427,0.160581,0.125436,0.130435,"150,830","113,490,000"
"Mar 21, 2018",0.143946,0.148581,0.123514,0.139261,"138,384","116,732,000"
"Mar 20, 2018",0.154279,0.156521,0.141675,0.144179,"120,352","124,649,000"
"Mar 19, 2018",0.155258,0.163641,0.146670,0.150779,"120,833","124,958,000"
"Mar 18, 2018",0.161079,0.161079,0.128718,0.155997,"178,682","129,181,000"
"Mar 17, 2018",0.173051,0.178174,0.157148,0.161308,"122,967","138,246,000"
"Mar 16, 2018",0.177907,0.187057,0.173529,0.174006,"165,532","141,601,000"
"Mar 15, 2018",0.182742,0.185930,0.171594,0.178004,"122,455","144,896,000"
"Mar 14, 2018",0.206218,0.211850,0.179934,0.182680,"135,344","162,859,000"
"Mar 13, 2018",0.202909,0.215590,0.195702,0.208286,"125,132","159,619,000"
"Mar 12, 2018",0.209680,0.216290,0.197267,0.204753,"111,973","164,292,000"
"Mar 11, 2018",0.189400,0.212852,0.183080,0.209437,"87,856","147,804,000"
"Mar 10, 2018",0.210400,0.222670,0.189027,0.190198,"172,478","163,499,000"
"Mar 09, 2018",0.188750,0.209079,0.168752,0.208280,"170,960","146,090,000"
"Mar 08, 2018",0.191883,0.197834,0.173214,0.189704,"128,967","147,908,000"
"Mar 07, 2018",0.221747,0.225959,0.170097,0.192092,"163,600","170,230,000"
"Mar 06, 2018",0.231043,0.235176,0.214761,0.221978,"139,487","176,636,000"
"Mar 05, 2018",0.240194,0.245736,0.229239,0.231717,"153,406","182,857,000"
"Mar 04, 2018",0.246340,0.254379,0.231052,0.240341,"161,465","186,743,000"
"Mar 03, 2018",0.258000,0.262677,0.240096,0.246619,"170,529","194,744,000"
"Mar 02, 2018",0.245082,0.266423,0.209441,0.255697,"208,331","184,187,000"
"Mar 01, 2018",0.200054,0.267140,0.193541,0.263692,"238,363","149,679,000"
"Feb 28, 2018",0.211659,0.234861,0.195698,0.199703,"177,204","157,694,000"
"Feb 27, 2018",0.243532,0.250024,0.172643,0.203551,"256,338","179,756,000"
"Feb 26, 2018",0.237006,0.250801,0.210408,0.242712,"145,569","174,831,000"
"Feb 25, 2018",0.256090,0.262472,0.209638,0.228986,"215,530","188,277,000"
"Feb 24, 2018",0.261679,0.277630,0.229953,0.265144,"224,369","191,431,000"
"Feb 23, 2018",0.251137,0.267372,0.234213,0.261892,"192,365","182,896,000"
"Feb 22, 2018",0.252442,0.280684,0.239137,0.251626,"143,557","183,001,000"
