Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.031891,0.033601,0.029319,0.033601,"54,031","12,915,800"
"Mar 22, 2018",0.034942,0.036298,0.031019,0.031894,"46,914","14,151,400"
"Mar 21, 2018",0.035148,0.038114,0.034736,0.034924,"107,295","14,235,000"
"Mar 20, 2018",0.034196,0.036056,0.031566,0.034981,"151,598","13,849,200"
"Mar 19, 2018",0.031350,0.034190,0.029584,0.033932,"488,521","12,696,700"
"Mar 18, 2018",0.032297,0.032297,0.024652,0.031285,"312,159","13,080,000"
"Mar 17, 2018",0.035817,0.037849,0.031302,0.032342,"375,608","14,505,700"
"Mar 16, 2018",0.029356,0.038603,0.028459,0.036110,"630,990","11,889,100"
"Mar 15, 2018",0.032392,0.033028,0.028119,0.029867,"581,940","13,118,700"
"Mar 14, 2018",0.038342,0.039441,0.031668,0.032351,"1,084,960","15,528,300"
"Mar 13, 2018",0.034362,0.044486,0.033818,0.038524,"815,382","13,916,300"
"Mar 12, 2018",0.032921,0.037093,0.031133,0.034420,"1,841,510","13,332,900"
"Mar 11, 2018",0.028068,0.035627,0.027042,0.032992,"588,589","11,367,600"
"Mar 10, 2018",0.028314,0.031456,0.027418,0.028030,"953,117","11,467,100"
"Mar 09, 2018",0.027957,0.028650,0.023142,0.028316,"329,734","11,322,400"
"Mar 08, 2018",0.036295,0.036943,0.027388,0.027714,"320,375","14,699,500"
"Mar 07, 2018",0.037898,0.038638,0.030208,0.036221,"442,641","15,348,500"
"Mar 06, 2018",0.044423,0.044423,0.037965,0.038311,"406,941","17,991,200"
"Mar 05, 2018",0.043321,0.046154,0.041101,0.044447,"633,147","17,544,800"
"Mar 04, 2018",0.043961,0.046777,0.037688,0.043486,"602,253","17,804,000"
"Mar 03, 2018",0.046753,0.048270,0.040040,0.043249,"451,185","18,934,900"
"Mar 02, 2018",0.050749,0.051265,0.046472,0.048049,"620,635","20,553,300"
"Mar 01, 2018",0.045710,0.051740,0.044824,0.050668,"627,960","18,512,300"
"Feb 28, 2018",0.051749,0.052826,0.042157,0.045775,"547,543","20,958,500"
"Feb 27, 2018",0.051604,0.055462,0.050629,0.051882,"492,911","20,899,500"
"Feb 26, 2018",0.049607,0.052629,0.044608,0.051115,"607,279","20,091,000"
"Feb 25, 2018",0.050536,0.050946,0.047441,0.049503,"381,008","20,467,200"
"Feb 24, 2018",0.053926,0.055113,0.046931,0.050677,"850,437","21,840,100"
"Feb 23, 2018",0.051327,0.056477,0.049042,0.053731,"1,015,560","20,787,400"
"Feb 22, 2018",0.053072,0.055663,0.050073,0.051255,"842,731","21,494,200"
