Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.330635,0.330635,0.268279,0.274135,"35,423","13,867,200"
"Mar 28, 2018",0.302906,0.331436,0.296624,0.330383,"35,726","12,704,000"
"Mar 27, 2018",0.342985,0.342985,0.292539,0.303093,"82,923","14,384,600"
"Mar 26, 2018",0.382551,0.386426,0.323124,0.337253,"79,843","16,043,400"
"Mar 25, 2018",0.388741,0.395073,0.366078,0.383052,"75,402","16,302,600"
"Mar 24, 2018",0.415968,0.497760,0.392063,0.393874,"274,410","17,444,200"
"Mar 23, 2018",0.361389,0.408504,0.343369,0.408504,"117,998","15,155,100"
"Mar 22, 2018",0.375784,0.384665,0.341191,0.361414,"42,082","15,758,500"
"Mar 21, 2018",0.357552,0.386248,0.351279,0.385302,"33,773","14,993,700"
"Mar 20, 2018",0.321259,0.358125,0.316547,0.356452,"38,393","13,471,600"
"Mar 19, 2018",0.338907,0.349641,0.316788,0.320487,"51,723","14,211,400"
"Mar 18, 2018",0.329385,0.339583,0.295920,0.338505,"22,969","13,811,900"
"Mar 17, 2018",0.351220,0.359750,0.324596,0.330446,"25,618","14,727,300"
"Mar 16, 2018",0.339066,0.362629,0.327276,0.350844,"23,960","14,217,400"
"Mar 15, 2018",0.362228,0.364532,0.317472,0.339115,"68,655","15,188,400"
"Mar 14, 2018",0.394250,0.420603,0.340980,0.361815,"58,040","16,530,900"
"Mar 13, 2018",0.403083,0.417695,0.385173,0.394158,"28,607","16,901,000"
"Mar 12, 2018",0.407613,0.427030,0.386860,0.404323,"41,136","17,090,600"
"Mar 11, 2018",0.374292,0.413205,0.359033,0.408895,"63,716","15,693,300"
"Mar 10, 2018",0.424303,0.433617,0.373270,0.373645,"76,886","17,789,800"
"Mar 09, 2018",0.440727,0.444827,0.399796,0.424528,"40,429","18,478,200"
"Mar 08, 2018",0.458860,0.471604,0.432957,0.443755,"64,501","19,238,100"
"Mar 07, 2018",0.517063,0.532233,0.410091,0.459768,"119,493","21,677,900"
"Mar 06, 2018",0.558800,0.562773,0.504876,0.517706,"144,418","23,427,400"
"Mar 05, 2018",0.516202,0.598948,0.511429,0.560311,"166,418","20,431,400"
"Mar 04, 2018",0.537658,0.552798,0.511476,0.515173,"89,408","21,280,300"
"Mar 03, 2018",0.577730,0.606511,0.532063,0.539686,"169,370","22,865,600"
"Mar 02, 2018",0.456603,0.592537,0.456518,0.573929,"397,065","18,071,200"
"Mar 01, 2018",0.432714,0.480574,0.429535,0.457334,"55,681","17,125,500"
"Feb 28, 2018",0.512597,0.548536,0.431989,0.431989,"34,618","20,286,700"
"Feb 27, 2018",0.445455,0.522208,0.443591,0.513506,"40,473","17,629,100"
"Feb 26, 2018",0.500324,0.503983,0.427299,0.444858,"76,971","19,800,200"
"Feb 25, 2018",0.459679,0.505372,0.432486,0.499207,"25,104","18,191,400"
"Feb 24, 2018",0.478041,0.504096,0.439361,0.460300,"59,240","18,917,900"
"Feb 23, 2018",0.437167,0.497449,0.422582,0.483336,"52,392","17,300,000"
"Feb 22, 2018",0.466502,0.487331,0.423288,0.425783,"49,654","18,460,600"
"Feb 21, 2018",0.543302,0.543302,0.455537,0.467243,"69,870","21,499,400"
"Feb 20, 2018",0.767933,1.00,0.538889,0.543601,"69,984","30,388,000"
"Feb 19, 2018",0.490175,0.782442,0.480940,0.766144,"57,029","19,396,500"
"Feb 18, 2018",0.568509,0.600676,0.491068,0.492352,"74,522","22,495,800"
"Feb 17, 2018",0.507478,0.619471,0.486401,0.571567,"91,972","20,080,500"
"Feb 16, 2018",0.484896,0.531162,0.443739,0.506894,"116,458","19,186,600"
"Feb 15, 2018",0.523201,0.553454,0.460288,0.486292,"198,809","20,701,900"
"Feb 14, 2018",0.437878,0.524078,0.425833,0.522836,"195,526","17,325,500"
"Feb 13, 2018",0.516278,0.516860,0.433916,0.439325,"105,537","20,418,800"
"Feb 12, 2018",0.479881,0.520655,0.470074,0.515392,"59,395","18,703,500"
