Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",8.59,8.65,7.62,7.79,"51,845","9,525,340"
"Mar 22, 2018",8.35,8.61,7.69,8.59,"43,717","9,237,460"
"Mar 21, 2018",8.02,8.54,7.61,8.36,"53,797","8,844,760"
"Mar 20, 2018",7.43,8.27,6.87,8.00,"65,120","8,178,690"
"Mar 19, 2018",7.08,7.71,6.81,7.35,"45,737","7,771,740"
"Mar 18, 2018",6.84,7.52,6.15,7.44,"40,652","7,487,110"
"Mar 17, 2018",7.27,7.74,6.71,6.85,"26,664","7,941,450"
"Mar 16, 2018",7.63,7.80,6.84,7.25,"65,817","8,315,250"
"Mar 15, 2018",8.44,8.87,6.90,7.63,"53,425","9,172,400"
"Mar 14, 2018",9.72,10.19,7.94,8.53,"87,998","10,540,500"
"Mar 13, 2018",10.10,10.91,9.63,9.72,"50,061","10,927,300"
"Mar 12, 2018",9.89,11.29,9.33,10.22,"71,686","10,674,200"
"Mar 11, 2018",9.78,11.16,8.90,9.92,"114,213","10,524,200"
"Mar 10, 2018",9.81,10.99,8.89,9.81,"49,278","10,527,800"
"Mar 09, 2018",11.06,11.19,9.01,9.80,"52,457","11,850,100"
"Mar 08, 2018",10.88,11.40,9.67,11.13,"62,407","11,619,000"
"Mar 07, 2018",11.68,12.15,9.82,10.89,"70,110","12,440,900"
"Mar 06, 2018",13.00,13.01,11.59,11.69,"44,822","13,818,600"
"Mar 05, 2018",13.45,14.07,12.78,13.04,"103,052","14,260,100"
"Mar 04, 2018",13.13,13.70,12.58,13.46,"74,876","13,883,700"
"Mar 03, 2018",14.23,14.84,13.04,13.15,"52,664","15,006,000"
"Mar 02, 2018",13.54,15.12,13.49,14.25,"112,096","14,237,100"
"Mar 01, 2018",12.90,14.61,12.59,13.57,"96,682","13,536,000"
"Feb 28, 2018",14.26,14.72,12.77,12.88,"91,370","14,917,900"
"Feb 27, 2018",10.28,14.79,10.28,14.25,"224,889","10,726,200"
"Feb 26, 2018",10.85,12.54,10.25,10.25,"90,203","11,297,600"
"Feb 25, 2018",11.48,12.32,10.16,10.84,"69,873","11,916,400"
"Feb 24, 2018",10.60,12.87,9.92,11.38,"90,697","10,972,200"
"Feb 23, 2018",9.13,10.83,9.01,10.61,"51,479","9,422,470"
"Feb 22, 2018",9.01,10.94,8.77,9.13,"139,265","9,277,000"
