Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.297881,0.297881,0.266992,0.284493,"165,163","57,125,800"
"Mar 22, 2018",0.302273,0.312274,0.273230,0.298447,"130,526","57,968,000"
"Mar 21, 2018",0.280649,0.313928,0.276271,0.303390,"327,238","53,821,200"
"Mar 20, 2018",0.278573,0.285819,0.262199,0.280693,"210,457","53,423,000"
"Mar 19, 2018",0.274347,0.290319,0.254809,0.275630,"239,529","52,612,500"
"Mar 18, 2018",0.285587,0.288580,0.229325,0.274008,"230,979","54,768,200"
"Mar 17, 2018",0.291497,0.311780,0.269872,0.286291,"227,080","55,901,500"
"Mar 16, 2018",0.295931,0.303595,0.265397,0.291096,"204,081","56,751,800"
"Mar 15, 2018",0.301422,0.304465,0.235777,0.296157,"161,967","57,804,800"
"Mar 14, 2018",0.358921,0.367441,0.287104,0.301412,"166,363","68,824,500"
"Mar 13, 2018",0.359996,0.374188,0.341750,0.359527,"73,393","69,030,500"
"Mar 12, 2018",0.382262,0.388771,0.345655,0.361367,"101,914","73,300,300"
"Mar 11, 2018",0.360048,0.387294,0.331420,0.382884,"66,345","69,040,600"
"Mar 10, 2018",0.375494,0.394218,0.351385,0.352934,"114,839","72,002,300"
"Mar 09, 2018",0.358152,0.384627,0.244434,0.376458,"469,699","68,677,000"
"Mar 08, 2018",0.447336,0.452094,0.358418,0.359386,"242,422","85,778,400"
"Mar 07, 2018",0.468969,0.487369,0.398830,0.448023,"186,628","89,926,600"
"Mar 06, 2018",0.515860,0.528932,0.420976,0.468877,"165,291","98,918,000"
"Mar 05, 2018",0.518090,0.534871,0.509921,0.516485,"103,100","99,345,700"
"Mar 04, 2018",0.554734,0.554990,0.502020,0.518138,"190,710","106,372,000"
"Mar 03, 2018",0.540311,0.598465,0.530802,0.555104,"177,261","103,607,000"
"Mar 02, 2018",0.550121,0.555345,0.499928,0.540719,"242,333","105,488,000"
"Mar 01, 2018",0.434806,0.568297,0.415940,0.550898,"563,346","83,375,700"
"Feb 28, 2018",0.437440,0.496693,0.404650,0.447124,"196,987","83,389,400"
"Feb 27, 2018",0.458556,0.485448,0.419083,0.437624,"225,107","87,414,600"
"Feb 26, 2018",0.453572,0.470931,0.420360,0.457344,"178,544","86,464,600"
"Feb 25, 2018",0.471345,0.494467,0.446463,0.454519,"94,952","89,852,700"
"Feb 24, 2018",0.500951,0.529545,0.448575,0.471878,"163,747","95,496,500"
"Feb 23, 2018",0.474429,0.512850,0.445346,0.491037,"109,420","90,440,500"
"Feb 22, 2018",0.480842,0.505384,0.432172,0.475016,"152,408","91,211,100"
