Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.234330,0.277149,0.232562,0.271129,"7,639","19,232,300"
"Mar 24, 2018",0.264086,0.283306,0.237171,0.237171,"41,131","21,674,400"
"Mar 23, 2018",0.275351,0.293367,0.246752,0.261672,"38,273","22,599,000"
"Mar 22, 2018",0.306025,0.318641,0.269990,0.275398,"22,601","25,116,500"
"Mar 21, 2018",0.301563,0.329773,0.296361,0.305277,"8,842","24,750,300"
"Mar 20, 2018",0.317828,0.323936,0.277558,0.299721,"41,109","26,085,300"
"Mar 19, 2018",0.291350,0.315707,0.271225,0.315310,"26,375","23,912,100"
"Mar 18, 2018",0.286854,0.302098,0.235392,0.292506,"20,726","23,543,100"
"Mar 17, 2018",0.302094,0.314853,0.279000,0.287113,"17,443","24,793,900"
"Mar 16, 2018",0.310515,0.321706,0.290185,0.301999,"17,731","25,485,100"
"Mar 15, 2018",0.303038,0.316457,0.274084,0.311437,"34,462","24,871,400"
"Mar 14, 2018",0.319927,0.355413,0.268557,0.302824,"39,836","26,257,500"
"Mar 13, 2018",0.328252,0.343246,0.291734,0.342691,"46,175","26,940,800"
"Mar 12, 2018",0.333176,0.352926,0.285970,0.328589,"117,469","27,344,900"
"Mar 11, 2018",0.351389,0.359320,0.320465,0.344877,"113,853","28,839,700"
"Mar 10, 2018",0.357351,0.382660,0.329689,0.352440,"134,619","29,329,100"
"Mar 09, 2018",0.385607,0.389496,0.328326,0.357532,"46,078","31,648,100"
"Mar 08, 2018",0.392379,0.400037,0.341587,0.386316,"38,826","32,203,900"
"Mar 07, 2018",0.411713,0.456945,0.350552,0.392980,"58,929","33,790,700"
"Mar 06, 2018",0.391784,0.413404,0.364004,0.411331,"91,557","32,155,100"
"Mar 05, 2018",0.403005,0.440654,0.391796,0.391863,"61,268","33,076,000"
"Mar 04, 2018",0.486143,0.504507,0.402481,0.402887,"251,852","39,899,500"
"Mar 03, 2018",0.465617,0.524191,0.440236,0.486216,"101,636","38,214,900"
"Mar 02, 2018",0.431767,0.467946,0.394228,0.465983,"118,556","35,436,600"
"Mar 01, 2018",0.429160,0.460698,0.411217,0.431891,"60,232","35,222,700"
"Feb 28, 2018",0.444206,0.450137,0.401604,0.429023,"35,228","36,430,900"
"Feb 27, 2018",0.459581,0.462361,0.395019,0.444046,"217,739","37,691,900"
"Feb 26, 2018",0.473892,0.489669,0.435053,0.458322,"51,901","38,865,500"
"Feb 25, 2018",0.441003,0.479638,0.434359,0.473582,"86,305","36,168,200"
"Feb 24, 2018",0.437145,0.480702,0.412488,0.442039,"59,420","35,851,800"
"Feb 23, 2018",0.457605,0.500897,0.435167,0.437516,"99,029","37,529,800"
"Feb 22, 2018",0.479578,0.500049,0.398576,0.458034,"33,518","39,331,900"
"Feb 21, 2018",0.506812,0.517945,0.472551,0.480373,"78,173","41,565,400"
"Feb 10, 2018",0.544001,0.563556,0.512141,0.518524,259,"43,080,200"
"Feb 09, 2018",0.504930,0.545304,0.486851,0.544193,272,"39,986,100"
"Feb 08, 2018",0.447372,0.509000,0.447372,0.504302,"21,907","35,428,000"
"Feb 07, 2018",0.457701,0.539051,0.426130,0.448518,"28,524","36,246,000"
"Feb 06, 2018",0.521630,0.533754,0.336777,0.498783,"38,481","41,308,600"
"Feb 05, 2018",0.495504,0.541708,0.371309,0.519778,"11,554","39,239,700"
"Feb 04, 2018",0.539092,0.609847,0.434913,0.500353,"25,480","42,691,500"
"Feb 03, 2018",0.584006,0.625842,0.469935,0.576721,"46,762","46,248,300"
"Feb 02, 2018",0.650289,0.650289,0.395815,0.581192,"40,906","51,497,300"
"Feb 01, 2018",0.698959,0.749470,0.555856,0.652582,"81,295","55,341,800"
"Jan 31, 2018",0.673320,0.764980,0.618030,0.697627,"67,992","53,311,700"
"Jan 30, 2018",0.644325,0.948744,0.537295,0.671001,"52,073","51,015,900"
"Jan 29, 2018",0.712411,0.743064,0.614984,0.644046,"27,396","56,406,800"
"Jan 28, 2018",0.705792,0.761655,0.663389,0.713463,"68,774","55,882,800"
"Jan 27, 2018",0.714252,0.915354,0.598067,0.700862,"52,371","54,233,800"
"Jan 26, 2018",0.633772,0.744508,0.500366,0.714198,"79,156","48,122,900"
"Jan 25, 2018",0.553362,0.779918,0.548638,0.635985,"44,825",-
"Jan 24, 2018",0.732524,0.783334,0.540341,0.549320,"34,538",-
"Jan 23, 2018",0.782757,0.838867,0.626233,0.732305,"47,213",-
"Jan 22, 2018",0.773342,0.854193,0.639207,0.784185,"29,044",-
"Jan 21, 2018",1.01,1.01,0.636787,0.769706,"27,905",-
"Jan 20, 2018",0.839777,1.01,0.830776,1.01,"48,722",-
"Jan 19, 2018",1.01,1.07,0.713065,0.834398,"66,025",-
"Jan 18, 2018",0.844853,1.09,0.789677,1.02,"56,639",-
"Jan 17, 2018",0.812644,0.890526,0.614288,0.835443,"111,885",-
"Jan 16, 2018",1.22,1.29,0.667917,0.815646,"77,851",-
"Jan 15, 2018",1.43,1.49,1.08,1.18,"108,262",-
"Jan 14, 2018",1.87,2.22,0.785080,1.43,"204,218",-
"Jan 13, 2018",2.00,2.23,1.85,1.87,"84,706",-
"Jan 12, 2018",2.07,2.08,1.82,1.84,"68,430",-
