Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.430981,0.435876,0.409142,0.418633,"7,379,980","10,571,800"
"Mar 05, 2018",0.450366,0.454005,0.422970,0.430254,"10,178,000","11,047,300"
"Mar 04, 2018",0.448021,0.461461,0.403077,0.448934,"3,826,480","10,989,700"
"Mar 03, 2018",0.411708,0.477058,0.398424,0.447501,"2,138,180","10,099,000"
"Mar 02, 2018",0.404508,0.414219,0.390290,0.412122,"4,765,350","9,922,410"
"Mar 01, 2018",0.397446,0.416354,0.381979,0.406527,"5,623,090","9,749,170"
"Feb 28, 2018",0.426669,0.432476,0.381361,0.396788,"3,388,170","10,461,700"
"Feb 27, 2018",0.399959,0.433533,0.386244,0.427938,"3,113,510","9,806,810"
"Feb 26, 2018",0.409720,0.434486,0.399844,0.402398,"5,059,070","10,046,100"
"Feb 25, 2018",0.392418,0.408468,0.378964,0.408468,"3,731,620","9,621,920"
"Feb 24, 2018",0.420765,0.430865,0.371872,0.392531,"8,528,150","10,317,000"
"Feb 23, 2018",0.360772,0.423335,0.354301,0.421759,"8,725,620","8,845,980"
"Feb 22, 2018",0.379297,0.416094,0.359102,0.361168,"9,062,080","9,300,200"
"Feb 21, 2018",0.409766,0.414224,0.369734,0.380632,"5,808,560","10,047,300"
"Feb 20, 2018",0.456331,0.460378,0.413951,0.415606,"3,393,670","11,189,000"
"Feb 19, 2018",0.431863,0.471846,0.420780,0.456376,"6,265,830","10,589,100"
"Feb 18, 2018",0.479625,0.480653,0.429713,0.429941,"11,113,700","11,760,200"
"Feb 17, 2018",0.523748,0.530100,0.461835,0.477379,"4,765,080","12,842,100"
"Feb 16, 2018",0.453853,0.548028,0.425945,0.524003,"12,780,500","10,745,700"
"Feb 15, 2018",0.517176,0.581886,0.417369,0.454201,"5,001,150","12,245,000"
"Feb 14, 2018",0.539821,0.582844,0.417131,0.527932,"7,956,820","12,781,100"
"Feb 13, 2018",0.580408,0.604331,0.485386,0.538953,"2,572,130","13,742,100"
"Feb 12, 2018",0.502309,0.606093,0.485264,0.581755,"5,066,200","11,893,000"
"Feb 11, 2018",0.465878,0.588562,0.411194,0.499811,"5,058,030","11,030,400"
"Feb 10, 2018",0.413004,0.472242,0.382147,0.472242,"5,766,620","9,778,520"
"Feb 09, 2018",0.369781,0.415207,0.354420,0.413645,"5,026,410","8,755,150"
"Feb 08, 2018",0.371572,0.399971,0.361900,0.369692,"6,644,760","8,797,550"
"Feb 07, 2018",0.387125,0.444095,0.327608,0.377789,"2,914,600","9,165,800"
"Feb 06, 2018",0.303721,0.394817,0.259011,0.389024,"4,046,840","7,191,070"
"Feb 05, 2018",0.444201,0.450932,0.289129,0.306002,"3,519,370","10,517,200"
"Feb 04, 2018",0.477666,0.517898,0.422337,0.436785,"4,632,000","11,309,500"
"Feb 03, 2018",0.768951,0.801924,0.422455,0.481334,"3,219,680","18,206,100"
"Feb 02, 2018",0.769885,0.769885,0.340319,0.732149,"5,468,990","18,228,300"
"Feb 01, 2018",0.674710,0.921226,0.601497,0.772609,"25,370","15,873,600"
"Jan 31, 2018",0.573949,0.737330,0.573035,0.673425,"50,142","13,503,100"
"Jan 30, 2018",0.702829,0.750123,0.549782,0.571973,"13,973","16,535,200"
"Jan 29, 2018",0.775056,0.780217,0.576819,0.702518,"22,433","18,234,400"
"Jan 28, 2018",0.617486,0.801138,0.617486,0.776201,"15,482","14,527,300"
"Jan 27, 2018",0.662557,0.717145,0.572058,0.613172,"15,798","15,355,700"
"Jan 26, 2018",0.628103,0.688167,0.501937,0.662507,"16,149","14,557,200"
"Jan 25, 2018",0.711344,0.734108,0.513692,0.630295,"29,186",-
"Jan 24, 2018",0.677279,0.724402,0.566969,0.706148,"49,428",-
"Jan 23, 2018",0.577015,0.837731,0.486719,0.677076,"85,477",-
"Jan 22, 2018",0.570027,0.759769,0.514052,0.578067,"86,416",-
"Jan 21, 2018",0.691312,0.860739,0.567185,0.567347,"38,841",-
"Jan 20, 2018",0.876943,0.963826,0.565798,0.689818,"53,510",-
"Jan 19, 2018",0.819701,0.958395,0.725524,0.871326,"15,599",-
"Jan 18, 2018",1.02,1.05,0.743702,0.825828,"59,901",-
"Jan 17, 2018",1.11,1.28,0.704262,1.01,"41,576",-
"Jan 16, 2018",1.14,1.36,0.774979,1.11,"20,981",-
"Jan 15, 2018",1.67,1.67,1.03,1.28,"38,633",-
"Jan 14, 2018",2.22,2.22,1.20,1.67,"75,976",-
"Jan 13, 2018",1.71,3.48,1.71,2.22,"44,239",-
"Jan 12, 2018",1.39,1.59,1.37,1.59,"32,846",-
