Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",3.64,3.91,3.33,3.53,"1,482,780","11,206,800"
"Mar 05, 2018",3.77,3.96,3.55,3.66,"645,689","11,618,600"
"Mar 04, 2018",3.70,3.92,3.43,3.92,"1,522,700","11,399,100"
"Mar 03, 2018",3.86,4.09,3.63,3.75,"2,870,650","11,904,200"
"Mar 02, 2018",3.71,4.51,3.39,3.86,"9,333,570","11,431,000"
"Mar 01, 2018",2.75,5.62,2.73,3.78,"31,927,000","8,488,130"
"Feb 28, 2018",2.99,3.10,2.75,2.75,"66,709","9,205,780"
"Feb 27, 2018",2.94,3.48,2.84,2.92,"281,105","9,075,840"
"Feb 26, 2018",2.92,3.08,2.76,2.98,"110,215","8,990,530"
"Feb 25, 2018",2.93,2.99,2.64,2.92,"90,362","9,037,620"
"Feb 24, 2018",3.25,3.39,2.80,2.94,"113,371","10,020,700"
"Feb 23, 2018",3.18,3.33,3.00,3.25,"62,828","9,809,370"
"Feb 22, 2018",3.49,3.81,3.10,3.18,"86,127","10,747,200"
"Feb 21, 2018",3.76,3.76,3.33,3.44,"59,309","11,584,200"
"Feb 20, 2018",4.13,4.24,3.73,3.76,"163,176","12,736,300"
"Feb 19, 2018",3.91,4.23,3.91,4.13,"569,194","12,040,600"
"Feb 18, 2018",4.26,4.30,3.69,3.92,"159,114","13,120,600"
"Feb 17, 2018",4.10,4.40,3.87,4.29,"241,565","12,629,300"
"Feb 16, 2018",4.05,4.09,3.82,4.09,"79,594","12,482,200"
"Feb 15, 2018",3.93,3.98,3.67,3.93,"145,392","12,105,500"
"Feb 14, 2018",3.71,3.99,3.57,3.92,"242,925","11,451,200"
"Feb 13, 2018",4.00,4.02,3.60,3.67,"169,658","12,346,000"
"Feb 12, 2018",3.47,4.08,3.46,4.02,"1,229,940","10,695,600"
"Feb 11, 2018",3.44,3.84,3.11,3.47,"1,180,440","10,597,000"
"Feb 10, 2018",3.46,4.12,3.07,3.44,"706,044","10,654,500"
"Feb 09, 2018",3.24,3.56,3.01,3.48,"113,582","9,997,380"
"Feb 08, 2018",2.95,3.88,2.95,3.23,"751,821","9,094,110"
"Feb 07, 2018",3.12,3.37,2.91,2.96,"151,849","9,626,840"
"Feb 06, 2018",2.60,3.15,2.21,3.15,"212,741","8,000,430"
"Feb 05, 2018",3.49,3.97,2.53,2.59,"294,650","10,758,600"
"Feb 04, 2018",4.24,4.40,3.35,3.49,"143,655","13,083,000"
"Feb 03, 2018",3.67,4.42,3.32,4.08,"759,698","11,312,500"
"Feb 02, 2018",3.97,3.97,2.98,3.61,"470,835","12,251,900"
"Feb 01, 2018",4.93,4.95,3.75,4.02,"297,860","15,205,800"
"Jan 31, 2018",4.72,4.92,4.28,4.92,"617,330","14,553,700"
"Jan 30, 2018",5.86,6.21,4.58,4.64,"1,517,210","18,078,900"
"Jan 29, 2018",6.09,6.36,5.65,5.81,"1,037,690","18,778,900"
"Jan 28, 2018",6.38,6.38,5.96,6.14,"958,393","19,664,000"
"Jan 27, 2018",5.73,6.35,5.47,6.21,"1,265,330","17,670,700"
"Jan 26, 2018",5.94,6.49,5.22,5.74,"1,867,040","18,299,500"
"Jan 25, 2018",6.37,6.46,5.83,6.04,"612,549","19,637,600"
"Jan 24, 2018",6.36,6.49,5.97,6.25,"799,109","19,622,800"
"Jan 23, 2018",6.42,6.56,5.44,6.37,"832,677","19,780,000"
"Jan 22, 2018",6.83,6.97,5.75,6.44,"2,216,970","21,068,800"
"Jan 21, 2018",7.14,8.03,6.47,7.17,"14,380,900","22,018,900"
"Jan 20, 2018",6.27,7.48,6.22,7.05,"5,945,820","19,321,800"
"Jan 19, 2018",6.15,6.44,5.79,6.44,"4,616,060","18,947,200"
"Jan 18, 2018",5.03,8.06,4.58,6.21,"8,116,510","15,496,300"
"Jan 17, 2018",4.87,5.24,3.66,5.07,"1,021,100","15,002,700"
"Jan 16, 2018",7.24,7.24,4.08,4.79,"1,315,560","22,309,300"
"Jan 15, 2018",7.71,7.72,6.64,7.39,"4,207,690","23,759,700"
"Jan 14, 2018",7.86,8.00,6.77,7.34,"2,283,820","24,241,700"
"Jan 12, 2018",5.94,9.00,5.51,6.56,"8,104,140","18,306,100"
"Jan 11, 2018",6.69,6.89,4.59,5.90,"1,449,590","20,610,100"
"Jan 10, 2018",7.45,7.95,6.10,6.83,"2,090,730","22,967,100"
"Jan 09, 2018",7.26,8.84,6.94,7.44,"4,671,870","22,378,600"
"Jan 08, 2018",7.50,7.50,5.94,7.20,"2,214,510","23,121,200"
"Jan 07, 2018",7.50,7.76,6.97,7.50,"1,625,680","23,136,800"
"Jan 06, 2018",8.27,8.62,6.35,7.51,"4,650,170","25,509,000"
"Jan 05, 2018",9.37,9.89,7.79,8.43,"4,684,950","28,896,400"
"Jan 04, 2018",8.03,15.73,7.90,9.70,"28,522,800","24,740,700"
"Jan 03, 2018",6.59,6.65,5.76,6.65,"1,358,280","20,306,200"
"Jan 02, 2018",6.22,7.06,5.87,6.48,"1,218,230","19,191,200"
"Jan 01, 2018",6.18,6.90,5.67,6.16,"1,232,120","19,039,300"
"Dec 31, 2017",5.83,6.36,5.52,6.24,"521,067","17,986,000"
"Dec 30, 2017",6.58,6.66,5.48,5.99,"1,278,290","20,285,100"
"Dec 29, 2017",7.25,9.73,6.67,6.79,"17,838,100","22,364,200"
"Dec 28, 2017",6.28,6.30,4.77,5.68,"699,324","19,349,600"
"Dec 27, 2017",6.19,6.77,5.99,6.30,"1,723,270","19,078,700"
"Dec 26, 2017",6.60,7.57,5.36,6.18,"1,835,750","20,344,400"
"Dec 25, 2017",6.64,7.48,5.85,6.50,"4,787,640","20,472,900"
"Dec 24, 2017",4.82,8.17,4.15,6.00,"10,455,700","14,860,100"
"Dec 23, 2017",4.34,5.14,4.19,4.77,"387,624","13,381,700"
"Dec 22, 2017",5.02,5.24,3.16,4.26,"411,758","15,475,400"
"Dec 21, 2017",5.09,5.62,4.72,5.00,"763,160","15,702,400"
"Dec 20, 2017",5.47,5.53,4.79,5.08,"478,469","16,865,000"
"Dec 19, 2017",5.78,6.45,5.07,5.29,"938,080","17,821,900"
"Dec 18, 2017",5.50,5.99,5.14,5.78,"515,974","16,941,500"
"Dec 17, 2017",5.29,5.71,4.97,5.48,"426,669","16,314,400"
"Dec 16, 2017",5.43,5.62,5.25,5.29,"410,133","16,752,100"
"Dec 15, 2017",5.74,5.82,5.01,5.31,"387,071","17,694,000"
"Dec 14, 2017",5.72,5.86,5.48,5.69,"592,293","17,620,600"
"Dec 13, 2017",5.88,6.06,5.40,5.73,"331,160","18,112,400"
"Dec 12, 2017",5.66,6.28,5.55,5.95,"1,195,920","17,461,300"
"Dec 11, 2017",5.33,6.15,5.30,5.59,"302,007","16,425,600"
"Dec 10, 2017",5.71,5.73,4.64,5.37,"320,496","17,604,200"
"Dec 09, 2017",6.19,6.31,4.86,5.69,"295,737","19,092,500"
"Dec 08, 2017",7.19,7.20,5.29,6.20,"761,715","22,151,300"
"Dec 07, 2017",10.06,10.22,7.24,7.24,"2,945,930","31,022,100"
"Dec 06, 2017",5.39,11.52,4.83,10.08,"12,196,400","16,606,500"
"Dec 05, 2017",4.63,5.79,4.50,5.40,"1,393,610","14,289,400"
"Dec 04, 2017",4.20,4.62,4.17,4.62,"47,820","12,962,000"
"Dec 03, 2017",3.99,4.50,3.99,4.19,"14,332","12,294,700"
"Dec 02, 2017",4.01,4.52,3.94,3.97,"96,706","12,348,900"
"Dec 01, 2017",3.76,4.23,3.50,4.01,"51,272","11,592,800"
"Nov 30, 2017",3.56,4.13,3.24,3.78,"81,417","10,973,000"
"Nov 29, 2017",4.01,4.28,3.24,3.51,"58,152","12,376,400"
"Nov 28, 2017",3.76,4.24,3.69,4.02,"65,482","11,579,000"
"Nov 27, 2017",3.82,3.93,3.61,3.75,"80,088","11,784,200"
"Nov 26, 2017",3.46,4.20,3.43,3.82,"203,279","10,675,200"
"Nov 25, 2017",3.33,3.50,3.23,3.46,"62,175","10,250,900"
"Nov 24, 2017",3.07,3.37,2.99,3.33,"25,076","9,454,930"
"Nov 23, 2017",3.14,3.15,3.03,3.07,"14,307","9,674,990"
"Nov 22, 2017",3.05,3.18,2.98,3.14,"23,692","9,408,740"
"Nov 21, 2017",2.98,3.43,2.77,3.04,"71,505","9,200,950"
"Nov 20, 2017",2.91,3.77,2.78,2.96,"341,210","8,966,450"
"Nov 19, 2017",2.90,3.12,2.72,2.85,"294,757","8,954,450"
"Nov 18, 2017",2.81,3.10,2.68,2.91,"58,533","8,658,200"
"Nov 17, 2017",3.12,3.19,2.79,2.82,"10,667","9,615,820"
"Nov 16, 2017",2.86,3.13,2.78,3.12,"7,163","8,815,690"
"Nov 15, 2017",2.72,2.90,2.72,2.84,"7,381","8,399,700"
"Nov 14, 2017",2.73,2.77,2.61,2.71,"6,315","8,413,900"
"Nov 13, 2017",2.38,2.81,2.34,2.72,"17,310","7,335,130"
"Nov 12, 2017",2.81,3.14,2.16,2.32,"135,941","8,648,520"
"Nov 11, 2017",2.90,3.13,2.69,2.81,"9,172","8,954,430"
"Nov 10, 2017",3.30,3.45,2.85,2.96,"13,184","10,177,900"
