Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",0.163814,0.180558,0.156722,0.171580,"1,946,330","8,563,500"
"Mar 25, 2018",0.155116,0.172482,0.148270,0.163984,"1,555,710","8,108,790"
"Mar 24, 2018",0.160895,0.175870,0.151528,0.157230,"1,215,330","8,410,920"
"Mar 23, 2018",0.172662,0.175261,0.154230,0.158733,"1,634,890","9,026,050"
"Mar 22, 2018",0.182361,0.194211,0.168385,0.172670,"1,004,030","9,533,050"
"Mar 21, 2018",0.181685,0.199146,0.167830,0.182596,"2,144,720","9,497,710"
"Mar 20, 2018",0.163217,0.190521,0.148179,0.181351,"2,177,660","8,520,860"
"Mar 19, 2018",0.155068,0.186654,0.151169,0.161480,"1,937,040","8,095,470"
"Mar 18, 2018",0.162388,0.162388,0.115580,0.155720,"2,370,170","8,477,580"
"Mar 17, 2018",0.187242,0.187375,0.157443,0.162757,"2,091,460","9,761,980"
"Mar 16, 2018",0.187166,0.199916,0.181024,0.186960,"1,316,230","9,758,040"
"Mar 15, 2018",0.171196,0.204195,0.153452,0.187282,"2,558,250","8,925,460"
"Mar 14, 2018",0.195116,0.212243,0.160708,0.171274,"1,747,030","10,016,400"
"Mar 13, 2018",0.200924,0.214039,0.180792,0.194537,"1,206,040","10,286,400"
"Mar 12, 2018",0.210192,0.226299,0.196644,0.201921,"1,571,920","10,760,900"
"Mar 11, 2018",0.198393,0.227126,0.173092,0.210776,"1,202,550","10,156,900"
"Mar 10, 2018",0.201081,0.222403,0.188621,0.197417,"777,924","10,294,500"
"Mar 09, 2018",0.182600,0.202308,0.165508,0.201083,"726,182","9,348,330"
"Mar 08, 2018",0.173852,0.192147,0.169241,0.183570,"1,072,230","8,900,480"
"Mar 07, 2018",0.206181,0.212876,0.173533,0.174103,"1,249,440","10,555,600"
"Mar 06, 2018",0.230199,0.236335,0.201128,0.206346,"1,505,970","11,785,200"
"Mar 05, 2018",0.235944,0.256249,0.221787,0.230740,"1,138,080","12,067,500"
