Date,Open,High,Low,Close,Volume,Market Cap
"Mar 22, 2018",0.038072,0.039256,0.038031,0.038771,"1,482","7,138,430"
"Mar 21, 2018",0.039460,0.040104,0.037093,0.037979,"1,451","7,398,750"
"Mar 20, 2018",0.030559,0.030559,0.028437,0.028747,389,"5,729,780"
"Mar 19, 2018",0.018815,0.030637,0.018208,0.030317,351,"3,527,830"
"Mar 18, 2018",0.016366,0.019549,0.016009,0.018891,953,"3,068,690"
"Mar 17, 2018",0.030743,0.031156,0.027908,0.028328,54,"5,764,280"
"Mar 16, 2018",0.031191,0.038622,0.029941,0.030723,139,"5,848,270"
"Mar 15, 2018",0.030898,0.031650,0.028958,0.031227,163,"5,793,310"
"Mar 14, 2018",0.035264,0.044197,0.029700,0.030876,"1,017","6,612,060"
"Mar 13, 2018",0.035432,0.035682,0.034814,0.035251,744,"6,643,520"
"Mar 10, 2018",0.036493,0.037467,0.036342,0.036781,"1,823","6,842,490"
"Mar 09, 2018",0.035869,0.036605,0.032391,0.036512,"1,867","6,725,420"
"Mar 08, 2018",0.055485,0.056106,0.035495,0.035935,"1,835","10,403,400"
"Mar 07, 2018",0.041395,0.041709,0.036399,0.037624,945,"7,761,530"
"Mar 06, 2018",0.064748,0.064748,0.041033,0.041354,"2,250","12,140,200"
"Mar 05, 2018",0.043248,0.068026,0.043195,0.064761,"1,310","8,108,950"
"Mar 04, 2018",0.042841,0.067457,0.042042,0.043235,724,"8,032,720"
"Mar 03, 2018",0.067536,0.068320,0.042751,0.042848,122,"12,662,900"
"Mar 02, 2018",0.069538,0.069945,0.065671,0.067589,3,"13,038,300"
"Mar 01, 2018",0.042841,0.070315,0.042710,0.069558,"1,108","8,032,720"
"Feb 28, 2018",0.067480,0.068231,0.042825,0.042827,680,"12,652,600"
"Feb 27, 2018",0.066768,0.068741,0.066485,0.067456,"1,204","12,519,000"
"Feb 26, 2018",0.067090,0.067904,0.050405,0.066585,394,"12,579,300"
"Feb 25, 2018",0.052852,0.067603,0.052401,0.067046,1,"9,909,780"
"Feb 24, 2018",0.075317,0.076643,0.051531,0.052976,"1,429","14,122,000"
"Feb 23, 2018",0.074160,0.075465,0.072773,0.075381,515,"13,905,000"
"Feb 10, 2018",0.095639,0.099077,0.090038,0.091554,25,"17,932,300"
"Feb 09, 2018",8.00,8.09,0.085592,0.095673,26,"1,500,920,000"
"Feb 08, 2018",0.062608,2.32,0.062608,1.68,482,"11,739,100"
"Feb 07, 2018",0.086049,0.091756,0.062635,0.062769,245,"16,134,200"
"Feb 06, 2018",0.075803,0.087046,0.061978,0.086297,"1,984","14,213,100"
"Feb 05, 2018",0.108898,0.111819,0.058277,0.075534,"7,878","20,418,300"
"Feb 04, 2018",0.106847,0.152174,0.081669,0.109963,"21,753","20,033,800"
"Feb 03, 2018",0.282244,0.432303,0.078893,0.106879,"3,423",-
"Feb 02, 2018",0.085911,0.284138,0.080880,0.280884,858,-
"Feb 01, 2018",0.326836,0.331095,0.085576,0.086105,"4,097",-
"Jan 31, 2018",0.095480,0.326213,0.092428,0.326213,"3,548",-
"Jan 30, 2018",0.090824,0.542365,0.069086,0.095151,"7,126",-
"Jan 29, 2018",0.129176,0.164525,0.093408,0.094266,"7,601",-
"Jan 28, 2018",0.163787,0.177011,0.121999,0.129367,"10,150",-
"Jan 27, 2018",0.136718,0.166021,0.093323,0.162643,"22,349",-
"Jan 26, 2018",0.222553,0.378925,0.133919,0.136708,"6,512",-
"Jan 25, 2018",0.148639,0.230003,0.113359,0.223330,"13,686",-
"Jan 24, 2018",0.489622,0.491614,0.131443,0.147553,"20,575",-
"Jan 23, 2018",0.169051,0.554173,0.134756,0.489476,396,-
"Jan 22, 2018",0.223311,0.225864,0.130767,0.169359,"12,769",-
"Jan 21, 2018",0.214343,0.300971,0.184650,0.222261,"11,633",-
"Jan 20, 2018",0.238124,0.394222,0.196080,0.213880,"8,387",-
"Jan 19, 2018",0.177238,0.236599,0.139059,0.236599,"17,817",-
"Jan 18, 2018",0.192189,0.214190,0.157625,0.178563,"15,927",-
"Jan 17, 2018",0.131923,0.194829,0.109998,0.190048,"75,564",-
"Jan 16, 2018",0.191318,0.191771,0.108574,0.132410,"31,009",-
"Jan 15, 2018",0.217960,0.223570,0.158660,0.190935,"38,777",-
"Jan 14, 2018",0.499981,0.515558,0.165716,0.218008,"69,212",-
"Jan 13, 2018",0.299574,0.499511,0.272906,0.499511,"19,927",-
"Jan 12, 2018",0.286952,0.343071,0.258373,0.299611,"233,939",-
"Jan 11, 2018",0.293632,0.342316,0.258662,0.263444,"121,659",-
"Jan 10, 2018",0.320697,0.344994,0.245996,0.294288,"202,883",-
"Jan 09, 2018",0.312454,0.339773,0.302811,0.320559,"8,875",-
"Jan 08, 2018",0.336379,0.404181,0.252254,0.313345,"62,446",-
"Jan 07, 2018",0.181093,0.337296,0.174286,0.337296,"147,654",-
"Jan 06, 2018",0.163230,0.208131,0.142922,0.181165,"71,660",-
"Jan 05, 2018",0.108687,0.173010,0.107761,0.162457,"18,362",-
"Jan 04, 2018",0.112325,0.114053,0.086256,0.109138,"46,559",-
"Jan 03, 2018",0.074093,0.113122,0.073690,0.112146,"43,409",-
"Jan 02, 2018",0.082414,0.101093,0.070928,0.073750,"12,397",-
"Jan 01, 2018",0.107974,0.107974,0.066430,0.082222,"45,424",-
"Dec 31, 2017",0.078586,0.116101,0.070902,0.108111,"12,713",-
