Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",0.418765,0.447966,0.366035,0.412059,"5,929,380","147,779,000"
"Mar 25, 2018",0.410297,0.438538,0.404225,0.416525,"4,915,390","92,764,600"
"Mar 24, 2018",0.408957,0.441281,0.406363,0.418702,"4,558,250","92,461,800"
"Mar 23, 2018",0.420746,0.421104,0.372594,0.408283,"4,913,640","95,127,000"
"Mar 22, 2018",0.453210,0.472484,0.402461,0.420318,"5,398,410","102,467,000"
"Mar 21, 2018",0.453606,0.491383,0.430687,0.451523,"5,757,910","102,556,000"
"Mar 20, 2018",0.414219,0.478302,0.394313,0.455584,"5,647,850","93,651,500"
"Mar 19, 2018",0.388920,0.418330,0.381581,0.406900,"4,337,880","87,931,500"
"Mar 18, 2018",0.382683,0.405369,0.309251,0.391576,"5,442,390","86,521,300"
"Mar 17, 2018",0.459655,0.468526,0.381300,0.384033,"5,138,520","103,924,000"
"Mar 16, 2018",0.433912,0.484281,0.404654,0.452526,"5,129,290","98,103,700"
"Mar 15, 2018",0.451141,0.488342,0.400968,0.433285,"6,271,750","101,999,000"
"Mar 14, 2018",0.561085,0.577490,0.437056,0.450276,"7,681,670","126,857,000"
"Mar 13, 2018",0.598989,0.639725,0.530303,0.564046,"21,074,000","135,426,000"
"Mar 12, 2018",0.462428,0.655167,0.460453,0.596967,"13,343,200","104,551,000"
"Mar 11, 2018",0.405769,0.475194,0.379928,0.463503,"1,771,970","91,741,000"
"Mar 10, 2018",0.442208,0.473176,0.395145,0.408033,"1,756,580","99,979,600"
"Mar 09, 2018",0.426138,0.442059,0.343757,0.438461,"5,542,660","96,346,000"
"Mar 08, 2018",0.411099,0.523505,0.374991,0.422811,"9,870,220","92,946,000"
"Mar 07, 2018",0.449276,0.456235,0.356249,0.410736,"2,351,320","101,578,000"
"Mar 06, 2018",0.501767,0.501767,0.431471,0.443409,"1,727,500","113,445,000"
"Mar 05, 2018",0.512823,0.524207,0.498062,0.504756,"1,632,930","115,945,000"
"Mar 04, 2018",0.531456,0.534740,0.509688,0.516739,"1,274,600","120,158,000"
"Mar 03, 2018",0.558531,0.573233,0.520842,0.531241,"1,771,800","126,279,000"
"Mar 02, 2018",0.574573,0.597546,0.545515,0.558318,"2,208,640","129,906,000"
"Mar 01, 2018",0.553480,0.588258,0.542187,0.576174,"1,732,460","125,137,000"
"Feb 28, 2018",0.578450,0.595068,0.547944,0.551652,"2,379,730","130,783,000"
"Feb 27, 2018",0.543334,0.599979,0.536662,0.578758,"2,703,480","122,843,000"
"Feb 26, 2018",0.549043,0.596009,0.525863,0.543417,"4,020,470","124,134,000"
"Feb 25, 2018",0.512331,0.579223,0.498945,0.544409,"2,616,930","115,834,000"
"Feb 24, 2018",0.537925,0.569566,0.492497,0.515117,"1,663,600","121,620,000"
"Feb 23, 2018",0.501110,0.570186,0.488622,0.543942,"2,451,690","113,297,000"
"Feb 22, 2018",0.541986,0.604708,0.487935,0.501752,"2,800,430","122,538,000"
"Feb 21, 2018",0.573960,0.618051,0.529386,0.543102,"3,049,150","129,767,000"
"Feb 20, 2018",0.676916,0.702809,0.567035,0.578114,"4,905,540","153,045,000"
"Feb 19, 2018",0.667292,0.718636,0.667292,0.675429,"2,669,970","150,869,000"
"Feb 18, 2018",0.786340,0.787658,0.673046,0.673046,"2,151,530","177,785,000"
"Feb 17, 2018",0.761287,0.794064,0.740846,0.785620,"2,795,350","172,120,000"
"Feb 16, 2018",0.737475,0.782726,0.705270,0.772122,"2,826,950","166,737,000"
"Feb 15, 2018",0.753861,0.753861,0.684048,0.738869,"3,231,280","170,442,000"
"Feb 14, 2018",0.676161,0.754595,0.675906,0.752821,"2,512,440","152,874,000"
"Feb 13, 2018",0.737791,0.748881,0.673864,0.675905,"1,689,020","166,808,000"
"Feb 12, 2018",0.633858,0.757895,0.631746,0.735097,"3,187,650","143,310,000"
"Feb 11, 2018",0.700201,0.700201,0.593708,0.628613,"2,608,490","158,309,000"
"Feb 10, 2018",0.762890,0.809779,0.662083,0.700050,"5,752,200","172,483,000"
"Feb 09, 2018",0.649152,0.797046,0.617348,0.787760,"382,877","146,768,000"
