Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",0.157911,0.166161,0.145704,0.153132,"8,662,540","18,179,600"
"Mar 29, 2018",0.204237,0.211384,0.156518,0.158335,"5,048,730","23,512,800"
"Mar 28, 2018",0.178662,0.240810,0.178662,0.204829,"9,650,920","20,568,500"
"Mar 27, 2018",0.190758,0.191219,0.175406,0.178450,"5,523,910","21,961,100"
"Mar 26, 2018",0.191508,0.198862,0.176904,0.191007,"7,816,320","22,047,400"
"Mar 25, 2018",0.199656,0.200680,0.186586,0.191770,"7,242,020","22,985,400"
"Mar 24, 2018",0.201534,0.213189,0.200498,0.202141,"7,108,480","23,201,600"
"Mar 23, 2018",0.189815,0.198671,0.180946,0.198671,"7,388,370","21,852,500"
"Mar 22, 2018",0.196396,0.201712,0.176792,0.188396,"4,678,000","22,610,100"
"Mar 21, 2018",0.181853,0.200329,0.180466,0.196728,"7,786,260","20,935,900"
"Mar 20, 2018",0.173726,0.185823,0.160908,0.181194,"5,915,230","20,000,200"
"Mar 19, 2018",0.167716,0.174698,0.158451,0.171045,"5,762,750","19,308,300"
"Mar 18, 2018",0.168970,0.177425,0.139780,0.168399,"9,546,000","19,452,700"
"Mar 17, 2018",0.182628,0.187926,0.166732,0.169499,"5,762,390","21,025,100"
"Mar 16, 2018",0.185046,0.192618,0.176961,0.182326,"4,766,020","21,303,400"
"Mar 15, 2018",0.186079,0.193388,0.168473,0.186229,"7,685,850","21,422,300"
"Mar 14, 2018",0.198026,0.205341,0.178110,0.186286,"5,685,970","22,797,800"
"Mar 13, 2018",0.193287,0.202123,0.185479,0.197984,"4,593,390","22,252,200"
"Mar 12, 2018",0.208612,0.213185,0.191998,0.193977,"5,784,860","24,016,500"
"Mar 11, 2018",0.194598,0.215465,0.189582,0.209372,"3,976,920","22,403,100"
"Mar 10, 2018",0.196890,0.222298,0.194304,0.195159,"1,767,960","22,665,000"
"Mar 09, 2018",0.212628,0.216648,0.182203,0.196917,"2,867,770","24,476,700"
"Mar 08, 2018",0.215008,0.224739,0.201445,0.213974,"5,453,970","24,750,700"
"Mar 07, 2018",0.250419,0.255397,0.207851,0.215841,"4,514,020","28,827,000"
