Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",0.013779,0.015834,0.012346,0.014519,"31,143","6,889,640"
"Mar 20, 2018",0.015510,0.017084,0.011182,0.013672,"45,068","7,755,020"
"Mar 19, 2018",0.015435,0.017835,0.012750,0.016528,"43,724","7,717,530"
"Mar 18, 2018",0.014399,0.015572,0.009063,0.015252,"49,683","7,199,630"
"Mar 17, 2018",0.016180,0.016406,0.009347,0.014515,"80,673","8,089,860"
"Mar 16, 2018",0.016954,0.017002,0.014257,0.016259,"27,428","8,477,060"
"Mar 15, 2018",0.014998,0.017057,0.010484,0.016512,"115,993","7,498,880"
"Mar 14, 2018",0.013414,0.015117,0.011254,0.014936,"22,891","6,706,860"
"Mar 13, 2018",0.011119,0.017221,0.011046,0.012200,"64,388","5,559,580"
"Mar 12, 2018",0.011509,0.013146,0.010923,0.011128,"13,927","5,754,410"
"Mar 11, 2018",0.013319,0.013319,0.011489,0.011493,"23,443","6,659,530"
"Mar 10, 2018",0.013066,0.015196,0.012283,0.013390,"39,823","6,532,840"
"Mar 09, 2018",0.014523,0.014655,0.011038,0.013099,"27,760","7,261,380"
"Mar 08, 2018",0.015655,0.016444,0.014136,0.014550,"28,736","7,827,360"
"Mar 07, 2018",0.014715,0.016566,0.014004,0.015670,"16,574","7,357,760"
"Mar 06, 2018",0.013374,0.016359,0.013242,0.014660,"19,640","6,686,790"
"Mar 05, 2018",0.018146,0.019255,0.011401,0.013444,"34,435","9,072,840"
"Mar 04, 2018",0.016497,0.018223,0.015456,0.018145,"25,611","8,248,270"
"Mar 03, 2018",0.016545,0.046427,0.015131,0.016429,"10,462","8,272,310"
"Mar 02, 2018",0.018385,0.018385,0.014616,0.016552,"29,630","9,192,330"
"Mar 01, 2018",0.016522,0.018688,0.016189,0.018405,"22,778","8,261,200"
"Feb 28, 2018",0.021827,0.171637,0.016530,0.016546,"20,102","10,913,600"
"Feb 27, 2018",0.021406,0.041622,0.018267,0.020330,"51,898","10,703,100"
"Feb 26, 2018",0.021708,0.024882,0.020310,0.021375,"49,349","10,854,200"
"Feb 25, 2018",0.024430,0.025462,0.019794,0.021729,"45,852","12,215,000"
"Feb 24, 2018",0.026955,0.027644,0.022864,0.024469,"26,900","13,477,400"
"Feb 23, 2018",0.023586,0.028285,0.021661,0.027005,"101,327","11,793,200"
"Feb 22, 2018",0.028543,0.029937,0.018550,0.023653,"93,690","14,271,600"
"Feb 21, 2018",0.032174,0.035956,0.020578,0.028617,"144,061","16,086,900"
"Feb 20, 2018",0.037582,0.040612,0.031945,0.032053,"18,470","18,791,000"
"Feb 19, 2018",0.039006,0.041808,0.036573,0.037504,"18,078","19,503,000"
"Feb 18, 2018",0.040276,0.045087,0.038133,0.039006,"17,380","20,137,800"
"Feb 17, 2018",0.041306,0.046436,0.036285,0.040560,"41,444","20,653,100"
"Feb 16, 2018",0.036626,0.230688,0.036248,0.041399,"59,951","18,313,000"
"Feb 15, 2018",0.031224,0.036684,0.031172,0.036666,"35,294",-
