Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.032342,0.036260,0.029893,0.036260,"301,480","18,623,300"
"Mar 22, 2018",0.032939,0.033577,0.030387,0.032501,"208,271","18,967,000"
"Mar 21, 2018",0.035072,0.037842,0.032294,0.032942,"261,362","20,195,000"
"Mar 20, 2018",0.035250,0.037617,0.032688,0.034969,"291,520","20,297,700"
"Mar 19, 2018",0.032909,0.035104,0.030984,0.033941,"348,706","18,949,600"
"Mar 18, 2018",0.036406,0.036406,0.029035,0.033112,"292,834","20,963,100"
"Mar 17, 2018",0.038268,0.038786,0.034345,0.036389,"111,581","22,035,300"
"Mar 16, 2018",0.040513,0.043344,0.037893,0.038214,"216,017","23,328,100"
"Mar 15, 2018",0.038469,0.041627,0.036911,0.040627,"234,371","22,151,000"
"Mar 14, 2018",0.044007,0.053727,0.038075,0.038769,"504,910","25,340,000"
"Mar 13, 2018",0.038721,0.044313,0.037323,0.043935,"417,194","22,296,600"
"Mar 12, 2018",0.039851,0.042204,0.037027,0.038682,"267,422","22,946,800"
"Mar 11, 2018",0.037944,0.040378,0.036070,0.039643,"343,470","21,848,800"
"Mar 10, 2018",0.037913,0.041039,0.037235,0.037809,"320,412","21,831,200"
"Mar 09, 2018",0.035612,0.042485,0.033998,0.037704,"732,358","20,506,200"
"Mar 08, 2018",0.035041,0.036121,0.033505,0.034869,"264,920","20,177,500"
"Mar 07, 2018",0.039294,0.041106,0.033757,0.034762,"367,256","22,626,400"
"Mar 06, 2018",0.043419,0.043826,0.037523,0.039339,"231,313","25,001,400"
"Mar 05, 2018",0.045195,0.046872,0.041205,0.044315,"329,636","26,024,300"
"Mar 04, 2018",0.048599,0.048712,0.044820,0.045362,"250,606","27,984,400"
"Mar 03, 2018",0.053252,0.053772,0.047502,0.048823,"384,826","30,663,800"
"Mar 02, 2018",0.054810,0.055702,0.051692,0.053038,"419,381","31,560,900"
"Mar 01, 2018",0.053515,0.056932,0.052394,0.055065,"277,638","30,815,000"
"Feb 28, 2018",0.057118,0.057830,0.051822,0.053518,"339,803","32,889,700"
"Feb 27, 2018",0.045974,0.061310,0.045974,0.057147,"686,867","2,647,290"
"Feb 26, 2018",0.039614,0.060457,0.034655,0.046154,"516,999",-
"Feb 25, 2018",0.041676,0.043419,0.036283,0.039611,"328,798",-
"Feb 24, 2018",0.043970,0.046934,0.040754,0.042354,"276,817",-
"Feb 23, 2018",0.044093,0.054587,0.042029,0.042670,"401,200",-
"Feb 22, 2018",0.048065,0.048790,0.043076,0.044214,"294,627",-
