Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.429557,0.433137,0.387192,0.417175,"81,048","8,389,950"
"Mar 22, 2018",0.448279,0.463182,0.424678,0.429567,"133,757","8,755,620"
"Mar 21, 2018",0.473019,0.486126,0.439183,0.450916,"265,392","9,238,840"
"Mar 20, 2018",0.446588,0.489560,0.409848,0.472163,"310,176","8,722,610"
"Mar 19, 2018",0.405391,0.442690,0.375366,0.441736,"197,765","7,917,960"
"Mar 18, 2018",0.429736,0.429736,0.330403,0.409369,"247,017","8,393,460"
"Mar 17, 2018",0.487940,0.487940,0.417936,0.431026,"437,889","9,530,280"
"Mar 16, 2018",0.464260,0.601461,0.464260,0.483246,"4,039,140","9,067,760"
"Mar 15, 2018",0.471414,0.474656,0.395551,0.441842,"169,447","9,207,490"
"Mar 14, 2018",0.563677,0.569703,0.462578,0.474138,"167,506","11,009,500"
"Mar 13, 2018",0.552071,0.603212,0.542716,0.565548,"131,253","10,782,900"
"Mar 12, 2018",0.601487,0.626300,0.541210,0.563305,"168,439","11,748,000"
"Mar 11, 2018",0.573266,0.613689,0.541485,0.603388,"183,613","11,196,800"
"Mar 10, 2018",0.609655,0.614918,0.565951,0.575258,"191,214","11,907,600"
"Mar 09, 2018",0.649230,0.658732,0.518480,0.612815,"334,583","12,680,500"
"Mar 08, 2018",0.718365,0.726900,0.627616,0.653354,"320,671","14,030,800"
"Mar 07, 2018",0.789425,0.803062,0.670354,0.717338,"759,755","15,384,300"
"Mar 06, 2018",0.847890,0.865058,0.773790,0.787078,"767,284","16,471,900"
"Mar 05, 2018",0.906998,0.906998,0.836857,0.841550,"685,088","17,558,000"
"Mar 04, 2018",0.853580,0.914642,0.804459,0.907661,"2,429,190","16,455,400"
"Mar 03, 2018",0.881214,0.887486,0.819800,0.858925,"1,741,940","16,926,000"
"Mar 02, 2018",0.866227,1.06,0.816917,0.915117,"4,725,210","16,582,500"
"Mar 01, 2018",0.756279,0.871334,0.716044,0.870192,"1,460,120","14,424,500"
"Feb 28, 2018",0.776298,0.800325,0.736629,0.753026,"321,416","14,747,100"
"Feb 27, 2018",0.791758,0.802350,0.761013,0.780278,"426,829","14,983,900"
"Feb 26, 2018",0.739996,0.812902,0.722831,0.794496,"210,944","13,883,700"
"Feb 25, 2018",0.755217,0.798181,0.717304,0.739049,"293,122","14,169,300"
"Feb 24, 2018",0.796078,0.824045,0.719380,0.756407,"181,441","14,935,300"
"Feb 23, 2018",0.788915,0.816522,0.747160,0.797084,"284,637","14,762,700"
"Feb 22, 2018",0.816545,0.893751,0.767256,0.789651,"488,502","15,248,200"
